Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-12-20,15,16,23.292,PIT,STL,True,7,4,133,33.25,0,57.1%,19.00,1,7,7.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,41,24,Santonio Holmes
2007,2007-12-30,16,17,23.302,PIT,BAL,True,10,4,98,24.50,1,40.0%,9.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,21,27,Santonio Holmes
2008,2008-09-07,1,1,24.188,PIT,HOU,True,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,,,,,,,False,True,38,17,Santonio Holmes
2008,2008-09-14,2,2,24.195,PIT,CLE,True,7,5,94,18.80,0,71.4%,13.43,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,10,6,Santonio Holmes
2008,2008-09-21,3,3,24.202,PIT,PHI,True,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,5,5.00,0,,0,0,0,,0,0,0,0,,,,,,,True,False,6,15,Santonio Holmes
2008,2008-09-29,4,4,24.210,PIT,BAL,True,7,3,61,20.33,1,42.9%,8.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,28,4.67,0,,1,6,0,,0,0,0,0,,,,,,,False,True,23,20,Santonio Holmes
2008,2008-10-05,5,5,24.216,PIT,JAX,True,8,4,65,16.25,0,50.0%,8.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,15,5.00,0,,0,0,0,,0,0,0,0,,,,,,,True,True,26,21,Santonio Holmes
2008,2008-10-19,6,7,24.230,PIT,CIN,True,7,5,89,17.80,0,71.4%,12.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,21,7.00,0,,0,0,0,,0,0,0,0,,,,,,,True,True,38,10,Santonio Holmes
2008,2008-10-26,7,8,,PIT,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,14,21,Santonio Holmes
2008,2008-11-03,8,9,24.245,PIT,WAS,True,13,3,30,10.00,1,23.1%,2.31,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,30,7.50,0,,1,6,0,,0,0,0,0,,,,,,,True,True,23,6,Santonio Holmes
