Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-10-02,4,4,27.016,ATL,SEA,False,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,True,30,28,Harry Douglas
2011,2011-10-09,5,5,27.023,ATL,GNB,False,5,2,16,8.00,0,40.0%,3.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,14,25,Harry Douglas
2011,2011-10-16,6,6,27.030,ATL,CAR,True,4,2,57,28.50,0,50.0%,14.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,31,17,Harry Douglas
2011,2011-10-23,7,7,27.037,ATL,DET,True,7,4,62,15.50,0,57.1%,8.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,23,16,Harry Douglas
2011,2011-11-06,8,9,27.051,ATL,IND,False,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,True,31,7,Harry Douglas
2011,2011-11-13,9,10,27.058,ATL,NOR,False,14,8,133,16.63,0,57.1%,9.50,1,3,3.00,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,23,26,Harry Douglas
2011,2011-11-20,10,11,27.065,ATL,TEN,True,4,4,51,12.75,0,100.0%,12.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,23,17,Harry Douglas
2011,2011-11-27,11,12,27.072,ATL,MIN,False,5,2,45,22.50,1,40.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,24,14,Harry Douglas
2011,2011-12-04,12,13,27.079,ATL,HOU,False,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,17,Harry Douglas
2011,2011-12-11,13,14,27.086,ATL,CAR,False,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,31,23,Harry Douglas
2011,2011-12-15,14,15,27.090,ATL,JAX,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,41,14,Harry Douglas
2011,2011-12-26,15,16,27.101,ATL,NOR,True,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,16,45,Harry Douglas
2011,2012-01-01,16,17,27.107,ATL,TAM,False,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,True,45,24,Harry Douglas
2012,2012-09-09,1,1,27.359,ATL,KAN,False,4,3,32,10.67,0,75.0%,8.00,0,0,,0,1,8,8.00,0,0,0,,0,,0,0,1,0,0,0,0,0,28,51%,0,0%,1,3%,True,True,40,24,Harry Douglas
2012,2012-09-17,2,2,28.001,ATL,DEN,False,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,39,58%,0,0%,0,0%,False,True,27,21,Harry Douglas
2012,2012-09-23,3,3,28.007,ATL,SDG,False,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,48,67%,0,0%,0,0%,True,True,27,3,Harry Douglas
2012,2012-09-30,4,4,28.014,ATL,CAR,False,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,60%,0,0%,0,0%,False,True,30,28,Harry Douglas
2012,2012-10-07,5,5,28.021,ATL,WAS,False,5,2,34,17.00,0,40.0%,6.80,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,48%,0,0%,0,0%,True,True,24,17,Harry Douglas
2012,2012-10-14,6,6,28.028,ATL,OAK,False,7,5,37,7.40,0,71.4%,5.29,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,67%,0,0%,0,0%,False,True,23,20,Harry Douglas
2012,2012-10-28,7,8,,ATL,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,30,17,Harry Douglas
2012,2012-11-04,8,9,28.049,ATL,DAL,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,34,51%,0,0%,0,0%,False,True,19,13,Harry Douglas
2012,2012-11-11,9,10,28.056,ATL,NOR,False,7,4,49,12.25,0,57.1%,7.00,0,0,,0,0,0,,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,41,56%,0,0%,1,3%,True,False,27,31,Harry Douglas
2012,2012-11-18,10,11,28.063,ATL,ARI,True,6,5,48,9.60,0,83.3%,8.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,73%,0,0%,0,0%,False,True,23,19,Harry Douglas
2012,2012-11-25,11,12,28.070,ATL,TAM,False,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,67%,0,0%,0,0%,True,True,24,23,Harry Douglas
2012,2012-11-29,12,13,28.074,ATL,NOR,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,24,41%,0,0%,0,0%,False,True,23,13,Harry Douglas
2012,2012-12-09,13,14,28.084,ATL,CAR,False,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,77%,0,0%,0,0%,True,False,20,30,Harry Douglas
