Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-12-02,12,13,29.307,TEN,HOU,False,4,4,100.0,,1,0.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,28,20,Rob Bironas
2007,2007-12-09,13,14,29.314,TEN,SDG,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,17,23,Rob Bironas
2007,2007-12-16,14,15,29.321,TEN,KAN,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,26,17,Rob Bironas
2007,2007-12-23,15,16,29.328,TEN,NYJ,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,10,6,Rob Bironas
2007,2007-12-30,16,17,29.335,TEN,IND,False,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,16,10,Rob Bironas
2008,2008-09-07,1,1,30.222,TEN,JAX,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,17,10,Rob Bironas
2008,2008-09-14,2,2,30.229,TEN,CIN,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,24,7,Rob Bironas
2008,2008-09-21,3,3,30.236,TEN,HOU,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,31,12,Rob Bironas
2008,2008-09-28,4,4,30.243,TEN,MIN,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,30,17,Rob Bironas
2008,2008-10-05,5,5,30.250,TEN,BAL,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,13,10,Rob Bironas
2008,2008-10-19,6,7,30.264,TEN,KAN,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,34,10,Rob Bironas
2008,2008-10-27,7,8,30.272,TEN,IND,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,31,21,Rob Bironas
2008,2008-11-02,8,9,30.278,TEN,GNB,False,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,19,16,Rob Bironas
2008,2008-11-09,9,10,30.285,TEN,CHI,False,3,3,100.0,,1,0.0,0,3,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,21,14,Rob Bironas
2008,2008-11-16,10,11,30.292,TEN,JAX,False,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,24,14,Rob Bironas
2008,2008-11-23,11,12,30.299,TEN,NYJ,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,13,34,Rob Bironas
2008,2008-11-27,12,13,30.303,TEN,DET,False,5,5,100.0,4,4,100.0,0,17,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,47,10,Rob Bironas
2008,2008-12-07,13,14,30.313,TEN,CLE,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,28,9,Rob Bironas
2008,2008-12-14,14,15,30.320,TEN,HOU,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,12,13,Rob Bironas
2008,2008-12-21,15,16,30.327,TEN,PIT,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,31,14,Rob Bironas
2008,2008-12-28,16,17,30.334,TEN,IND,False,,,,,1,0.0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,0,23,Rob Bironas
2009,2009-09-10,1,1,31.224,TEN,PIT,False,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,10,13,Rob Bironas
2009,2009-09-20,2,2,31.234,TEN,HOU,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,1,40,40.00,0,,,,,,,False,False,31,34,Rob Bironas
2009,2009-09-27,3,3,31.241,TEN,NYJ,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,24,Rob Bironas
2009,2009-10-04,4,4,31.248,TEN,JAX,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,37,Rob Bironas
2009,2009-10-11,5,5,31.255,TEN,IND,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,9,31,Rob Bironas
2009,2009-10-18,6,6,31.262,TEN,NWE,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,False,0,59,Rob Bironas
2009,2009-11-01,7,8,31.276,TEN,JAX,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,30,13,Rob Bironas
2009,2009-11-08,8,9,31.283,TEN,SFO,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,34,27,Rob Bironas
2009,2009-11-15,9,10,31.290,TEN,BUF,False,5,5,100.0,2,3,66.7,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,41,17,Rob Bironas
2009,2009-11-23,10,11,31.298,TEN,HOU,False,2,2,100.0,2,3,66.7,0,8,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,20,17,Rob Bironas
2009,2009-11-29,11,12,31.304,TEN,ARI,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,20,17,Rob Bironas
2009,2009-12-06,12,13,31.311,TEN,IND,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,27,Rob Bironas
2009,2009-12-13,13,14,31.318,TEN,STL,False,5,5,100.0,4,4,100.0,0,17,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,47,7,Rob Bironas
2009,2009-12-20,14,15,31.325,TEN,MIA,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,27,24,Rob Bironas
2009,2009-12-25,15,16,31.330,TEN,SDG,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,False,17,42,Rob Bironas
2009,2010-01-03,16,17,31.339,TEN,SEA,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,17,13,Rob Bironas
2010,2010-09-12,1,1,32.226,TEN,OAK,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,38,13,Rob Bironas
2010,2010-09-19,2,2,32.233,TEN,PIT,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,11,19,Rob Bironas
2010,2010-09-26,3,3,32.240,TEN,NYG,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,29,10,Rob Bironas
2010,2010-10-03,4,4,32.247,TEN,DEN,False,2,2,100.0,2,3,66.7,0,8,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,False,20,26,Rob Bironas
2010,2010-10-10,5,5,32.254,TEN,DAL,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,34,27,Rob Bironas
2010,2010-10-18,6,6,32.262,TEN,JAX,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,30,3,Rob Bironas
2010,2010-10-24,7,7,32.268,TEN,PHI,False,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,37,19,Rob Bironas
2010,2010-10-31,8,8,32.275,TEN,SDG,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,25,33,Rob Bironas
2010,2010-11-14,9,10,32.289,TEN,MIA,False,2,2,100.0,1,1,100.0,0,5,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,29,Rob Bironas
2010,2010-11-21,10,11,32.296,TEN,WAS,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,16,19,Rob Bironas
2010,2010-11-28,11,12,32.303,TEN,HOU,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,False,0,20,Rob Bironas
2010,2010-12-05,12,13,32.310,TEN,JAX,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,6,17,Rob Bironas
2010,2010-12-09,13,14,32.314,TEN,IND,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,28,30,Rob Bironas
2010,2010-12-19,14,15,32.324,TEN,HOU,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,31,17,Rob Bironas
2010,2010-12-26,15,16,32.331,TEN,KAN,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,14,34,Rob Bironas
2010,2011-01-02,16,17,32.338,TEN,IND,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,20,23,Rob Bironas
2011,2011-09-11,1,1,33.225,TEN,JAX,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,14,16,Rob Bironas
2011,2011-09-18,2,2,33.232,TEN,BAL,False,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,26,13,Rob Bironas
2011,2011-09-25,3,3,33.239,TEN,DEN,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,17,14,Rob Bironas
2011,2011-10-02,4,4,33.246,TEN,CLE,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,31,13,Rob Bironas
2011,2011-10-09,5,5,33.253,TEN,PIT,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,38,Rob Bironas
2011,2011-10-23,6,7,33.267,TEN,HOU,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,7,41,Rob Bironas
2011,2011-10-30,7,8,33.274,TEN,IND,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,27,10,Rob Bironas
2011,2011-11-06,8,9,33.281,TEN,CIN,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,17,24,Rob Bironas
2011,2011-11-13,9,10,33.288,TEN,CAR,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,30,3,Rob Bironas
2011,2011-11-20,10,11,33.295,TEN,ATL,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,23,Rob Bironas
2011,2011-11-27,11,12,33.302,TEN,TAM,False,2,2,100.0,3,4,75.0,0,11,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,True,23,17,Rob Bironas
2011,2011-12-04,12,13,33.309,TEN,BUF,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,23,17,Rob Bironas
2011,2011-12-11,13,14,33.316,TEN,NOR,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,17,22,Rob Bironas
2011,2011-12-18,14,15,33.323,TEN,IND,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,13,27,Rob Bironas
2011,2011-12-24,15,16,33.329,TEN,JAX,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,23,17,Rob Bironas
2011,2012-01-01,16,17,33.337,TEN,HOU,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,23,22,Rob Bironas
2012,2012-09-09,1,1,34.224,TEN,NWE,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,25%,False,False,13,34,Rob Bironas
2012,2012-09-16,2,2,34.231,TEN,SDG,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,True,False,10,38,Rob Bironas
2012,2012-09-23,3,3,34.238,TEN,DET,False,5,5,100.0,3,5,60.0,0,14,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,18,46%,False,True,44,41,Rob Bironas
