Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-29,4,4,,NWE,@,BUF,W 16-10,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Ben Watson
2019,2019-10-06,5,5,,NWE,@,WAS,W 33-7,True,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,True,Ben Watson
2019,2019-10-21,7,7,38.307,NWE,@,NYJ,W 33-0,True,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,76%,0,0%,0,0%,True,Ben Watson
2019,2019-10-27,8,8,38.313,NWE,,CLE,W 27-13,True,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,69%,0,0%,0,0%,False,Ben Watson
2019,2019-11-03,9,9,38.320,NWE,@,BAL,L 20-37,True,5,4,28,7.00,0,80.0%,5.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,True,Ben Watson
2019,2019-11-17,10,11,38.334,NWE,@,PHI,W 17-10,True,4,3,52,17.33,0,75.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,80%,0,0%,0,0%,True,Ben Watson
2019,2019-11-24,11,12,38.341,NWE,,DAL,W 13-9,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,69%,0,0%,0,0%,False,Ben Watson
2019,2019-12-01,12,13,38.348,NWE,@,HOU,L 22-28,True,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,54%,0,0%,0,0%,True,Ben Watson
2019,2019-12-08,13,14,38.355,NWE,,KAN,L 16-23,True,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,48%,0,0%,0,0%,False,Ben Watson
2019,2019-12-15,14,15,38.362,NWE,@,CIN,W 34-13,False,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,34,52%,0,0%,0,0%,True,Ben Watson
2019,2019-12-21,15,16,39.003,NWE,,BUF,W 24-17,False,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,42%,0,0%,0,0%,False,Ben Watson
2019,2019-12-29,16,17,39.011,NWE,,MIA,L 24-27,True,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,66%,0,0%,0,0%,False,Ben Watson
,205 Games,,,,,,,116-89-0,False,861,547,6058,11.07,44,63.5%,7.04,2,10,5.00,0,1,1,1.00,0,44,264,0.0,1,0,1,0,0,9,5,0,3,0,0,,,,,,,False,Ben Watson
