Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-10-28,8.0,8.0,,JAX,PHI,L 18-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,False,18,24
2018.0,2018-11-11,9.0,10.0,23.297,JAX,IND,L 26-29,True,24,53,2.21,1,5,5,56,11.20,1,100.0%,11.20,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,39,52%,0,0%,0,0%,True,Leonard Fournette,False,26,29
2018.0,2018-11-18,10.0,11.0,23.304,JAX,PIT,L 16-20,True,28,95,3.39,1,2,2,46,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,35,51%,0,0%,0,0%,False,Leonard Fournette,False,16,20
2018.0,2018-11-25,11.0,12.0,23.311,JAX,BUF,L 21-24,True,18,95,5.28,2,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,31,44%,0,0%,0,0%,True,Leonard Fournette,False,21,24
2018.0,2018-12-02,12.0,13.0,,JAX,IND,W 6-0,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Leonard Fournette,True,6,0
2018.0,2018-12-06,13.0,14.0,23.322,JAX,TEN,L 9-30,True,14,36,2.57,0,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,55,77%,0,0%,0,0%,True,Leonard Fournette,False,9,30
2018.0,2018-12-16,14.0,15.0,23.332,JAX,WAS,L 13-16,True,11,46,4.18,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,26,50%,0,0%,4,15%,False,Leonard Fournette,False,13,16
2018.0,2018-12-23,15.0,16.0,23.339,JAX,MIA,W 17-7,True,18,43,2.39,1,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,49,73%,0,0%,0,0%,True,Leonard Fournette,True,17,7
2018.0,2018-12-30,16.0,17.0,,JAX,HOU,L 3-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Leonard Fournette,False,3,20
2019.0,2019-09-08,1.0,1.0,24.233,JAX,KAN,L 26-40,True,13,66,5.08,0,6,4,28,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,,,0,0,1,1,0,0,0,0,50,86%,0,0%,0,0%,False,Leonard Fournette,False,26,40
2019.0,2019-09-15,2.0,2.0,24.24,JAX,HOU,L 12-13,True,15,47,3.13,0,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,True,Leonard Fournette,False,12,13
2019.0,2019-09-19,3.0,3.0,24.244,JAX,TEN,W 20-7,True,15,66,4.40,0,8,6,26,4.33,0,75.0%,3.25,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,False,Leonard Fournette,True,20,7
2019.0,2019-09-29,4.0,4.0,24.254,JAX,DEN,W 26-24,True,29,225,7.76,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,71,84%,0,0%,0,0%,True,Leonard Fournette,True,26,24
2019.0,2019-10-06,5.0,5.0,24.261,JAX,CAR,L 27-34,True,23,108,4.70,1,7,4,29,7.25,0,57.1%,4.14,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,76,92%,0,0%,0,0%,True,Leonard Fournette,False,27,34
2019.0,2019-10-13,6.0,6.0,24.268,JAX,NOR,L 6-13,True,20,72,3.60,0,6,6,46,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,55,95%,0,0%,0,0%,False,Leonard Fournette,False,6,13
2019.0,2019-10-20,7.0,7.0,24.275,JAX,CIN,W 27-17,True,29,131,4.52,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,0,0,0,1,0,0,72,90%,0,0%,0,0%,True,Leonard Fournette,True,27,17
2019.0,2019-10-27,8.0,8.0,24.282,JAX,NYJ,W 29-15,True,19,76,4.00,0,7,7,60,8.57,0,100.0%,8.57,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,58,78%,0,0%,0,0%,False,Leonard Fournette,True,29,15
2019.0,2019-11-03,9.0,9.0,24.289,JAX,HOU,L 3-26,True,11,40,3.64,0,6,5,32,6.40,0,83.3%,5.33,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,55,83%,0,0%,0,0%,False,Leonard Fournette,False,3,26
2019.0,2019-11-17,10.0,11.0,24.303,JAX,IND,L 13-33,True,8,23,2.88,0,7,7,34,4.86,0,100.0%,4.86,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,44,71%,0,0%,0,0%,True,Leonard Fournette,False,13,33
2019.0,2019-11-24,11.0,12.0,24.31,JAX,TEN,L 20-42,True,24,97,4.04,2,12,9,62,6.89,0,75.0%,5.17,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,81,95%,0,0%,0,0%,True,Leonard Fournette,False,20,42
2019.0,2019-12-01,12.0,13.0,24.317,JAX,TAM,L 11-28,True,14,38,2.71,0,11,9,53,5.89,0,81.8%,4.82,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,62,91%,0,0%,0,0%,False,Leonard Fournette,False,11,28
2019.0,2019-12-08,13.0,14.0,24.324,JAX,LAC,L 10-45,True,15,50,3.33,0,6,3,13,4.33,0,50.0%,2.17,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,51,77%,0,0%,0,0%,False,Leonard Fournette,False,10,45
2019.0,2019-12-15,14.0,15.0,24.331,JAX,OAK,W 20-16,True,15,42,2.80,0,7,5,31,6.20,0,71.4%,4.43,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,55,96%,0,0%,0,0%,True,Leonard Fournette,True,20,16
2019.0,2019-12-22,15.0,16.0,24.338,JAX,ATL,L 12-24,True,15,71,4.73,0,6,3,34,11.33,0,50.0%,5.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,58,94%,0,0%,0,0%,True,Leonard Fournette,False,12,24
2019.0,2019-12-29,16.0,17.0,,JAX,IND,W 38-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,True,38,20
2020.0,2020-09-13,1.0,1.0,25.239,TAM,NOR,L 23-34,False,5,5,1.00,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,9,13%,0,0%,0,0%,True,Leonard Fournette,False,23,34
2020.0,2020-09-20,2.0,2.0,25.246,TAM,CAR,W 31-17,False,12,103,8.58,2,5,4,13,3.25,0,80.0%,2.60,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,26,43%,0,0%,0,0%,False,Leonard Fournette,True,31,17
2020.0,2020-09-27,3.0,3.0,25.253,TAM,DEN,W 28-10,False,7,15,2.14,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,,,0,0,0,0,0,1,0,0,25,37%,0,0%,0,0%,True,Leonard Fournette,True,28,10
2020.0,2020-10-04,4.0,4.0,,TAM,LAC,W 38-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,True,38,31
2020.0,2020-10-08,5.0,5.0,25.264,TAM,CHI,L 19-20,False,,,,,,,,,,0.0%,,,,,,,,,,,,,0,0,0,,,0,0,0,1,1%,0,0%,0,0%,True,Leonard Fournette,False,19,20
2020.0,2020-10-18,6.0,6.0,,TAM,GNB,W 38-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,True,38,10
2020.0,2020-10-25,7.0,7.0,25.281,TAM,LVR,W 45-20,False,11,50,4.55,0,7,6,47,7.83,0,85.7%,6.71,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,40,56%,0,0%,0,0%,True,Leonard Fournette,True,45,20
2020.0,2020-11-02,8.0,8.0,25.289,TAM,NYG,W 25-23,False,15,52,3.47,0,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,51,73%,0,0%,0,0%,True,Leonard Fournette,True,25,23
2020.0,2020-11-08,9.0,9.0,25.295,TAM,NOR,L 3-38,False,1,0,0.00,0,6,6,41,6.83,0,100.0%,6.83,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,33,66%,0,0%,0,0%,False,Leonard Fournette,False,3,38
2020.0,2020-11-15,10.0,10.0,25.302,TAM,CAR,W 46-23,False,8,19,2.38,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,29,36%,0,0%,0,0%,True,Leonard Fournette,True,46,23
2020.0,2020-11-23,11.0,11.0,25.31,TAM,LAR,L 24-27,False,7,17,2.43,1,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,36,52%,0,0%,0,0%,False,Leonard Fournette,False,24,27
2020.0,2020-11-29,12.0,12.0,25.316,TAM,KAN,L 24-27,False,3,10,3.33,0,3,3,10,3.33,0,100.0%,3.33,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,33,56%,0,0%,0,0%,False,Leonard Fournette,False,24,27
2020.0,2020-12-13,13.0,14.0,,TAM,MIN,W 26-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Leonard Fournette,True,26,14
2020.0,2020-12-20,14.0,15.0,25.337,TAM,ATL,W 31-27,True,14,49,3.50,2,5,3,16,5.33,0,60.0%,3.20,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,45,66%,0,0%,0,0%,True,Leonard Fournette,True,31,27
2020.0,2020-12-26,15.0,16.0,25.343,TAM,DET,W 47-7,True,9,34,3.78,1,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,25,32%,0,0%,0,0%,True,Leonard Fournette,True,47,7
2020.0,2021-01-03,16.0,17.0,25.351,TAM,ATL,W 44-27,True,5,13,2.60,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,30,45%,0,0%,0,0%,False,Leonard Fournette,True,44,27
2021.0,2021-09-09,1.0,1.0,26.234,TAM,DAL,W 31-29,True,9,32,3.56,0,7,5,27,5.40,0,71.4%,3.86,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,42,65%,0,0%,0,0%,False,Leonard Fournette,True,31,29
2021.0,2021-09-19,2.0,2.0,26.244,TAM,ATL,W 48-25,False,11,52,4.73,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,1,0,0,0,0,0,31,49%,0,0%,0,0%,False,Leonard Fournette,True,48,25
2021.0,2021-09-26,3.0,3.0,26.251,TAM,LAR,L 24-34,True,4,8,2.00,0,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,26,36%,0,0%,0,0%,True,Leonard Fournette,False,24,34
2021.0,2021-10-03,4.0,4.0,26.258,TAM,NWE,W 19-17,True,20,92,4.60,0,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,64,82%,0,0%,0,0%,True,Leonard Fournette,True,19,17
2021.0,2021-10-10,5.0,5.0,26.265,TAM,MIA,W 45-17,True,12,67,5.58,1,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,46,62%,0,0%,0,0%,False,Leonard Fournette,True,45,17
2021.0,2021-10-14,6.0,6.0,26.269,TAM,PHI,W 28-22,True,22,81,3.68,2,6,6,46,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,47,63%,0,0%,0,0%,True,Leonard Fournette,True,28,22
2021.0,2021-10-24,7.0,7.0,26.279,TAM,CHI,W 38-3,True,15,81,5.40,1,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,39,53%,0,0%,0,0%,False,Leonard Fournette,True,38,3
2021.0,2021-10-31,8.0,8.0,26.286,TAM,NOR,L 27-36,True,8,26,3.25,0,5,3,17,5.67,0,60.0%,3.40,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0,0,0,0,37,61%,0,0%,0,0%,True,Leonard Fournette,False,27,36
2021.0,2021-11-14,9.0,10.0,26.3,TAM,WAS,L 19-29,True,11,47,4.27,0,9,8,45,5.63,0,88.9%,5.00,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,31,65%,0,0%,0,0%,True,Leonard Fournette,False,19,29
2021.0,2021-11-22,10.0,11.0,26.308,TAM,NYG,W 30-10,True,10,35,3.50,0,6,6,39,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,46,59%,0,0%,0,0%,False,Leonard Fournette,True,30,10
2021.0,2021-11-28,11.0,12.0,26.314,TAM,IND,W 38-31,True,17,100,5.88,3,8,7,31,4.43,1,87.5%,3.88,0,0,,0,0,0,,0,0,,,4,24,0,0,0,0,0,0,54,81%,0,0%,0,0%,True,Leonard Fournette,True,38,31
2021.0,2021-12-05,12.0,13.0,26.321,TAM,ATL,W 30-17,True,13,44,3.38,0,8,7,48,6.86,1,87.5%,6.00,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,61,87%,0,0%,0,0%,True,Leonard Fournette,True,30,17
2021.0,2021-12-12,13.0,14.0,26.328,TAM,BUF,W 33-27,True,19,113,5.95,1,7,4,19,4.75,0,57.1%,2.71,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,66,80%,0,0%,0,0%,False,Leonard Fournette,True,33,27
2021.0,2021-12-19,14.0,15.0,26.335,TAM,NOR,L 0-9,True,9,34,3.78,0,7,7,33,4.71,0,100.0%,4.71,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,33,45%,0,0%,0,0%,False,Leonard Fournette,False,0,9
2021.0,2021-12-26,15.0,16.0,,TAM,CAR,W 32-6,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Leonard Fournette,True,32,6
2021.0,2022-01-02,16.0,17.0,,TAM,NYJ,W 28-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Leonard Fournette,True,28,24
2021.0,2022-01-09,17.0,18.0,,TAM,CAR,W 41-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Leonard Fournette,True,41,17
,63 Games,,,,,,33-30-0,False,943,3810,4.04,31,305,239,1696,7.10,4,78.4%,5.56,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,35,210,4,1,0,4,0,0,,,,,,,False,Leonard Fournette,False,30,0
