Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-10-17,5,6,23.059,MIN,NOR,True,9,6,134,22.33,0,66.7%,14.89,0,0,,0,0,0,,0,2,11,5.50,0,,0,0,0.0,1,0,1,0,,1,0,0,1,0,0,,,,,,,True,True,38,31,Nate Burleson
2004,2004-10-24,6,7,23.066,MIN,TEN,True,9,6,53,8.83,0,66.7%,5.89,0,0,,0,0,0,,0,1,2,2.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,20,3,Nate Burleson
2004,2004-10-31,7,8,23.073,MIN,NYG,True,10,6,43,7.17,1,60.0%,4.30,1,8,8.00,0,0,0,,0,2,6,3.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,13,34,Nate Burleson
2004,2004-11-08,8,9,23.081,MIN,IND,True,1,1,8,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,2,96,48.00,1,,2,12,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,28,31,Nate Burleson
2004,2004-11-14,9,10,23.087,MIN,GNB,True,18,11,141,12.82,1,61.1%,7.83,1,11,11.00,0,0,0,,0,1,-1,-1.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,31,34,Nate Burleson
2004,2004-11-21,10,11,23.094,MIN,DET,True,5,5,52,10.40,1,100.0%,10.40,0,0,,0,0,0,,0,4,13,3.25,0,1,1,8,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,22,19,Nate Burleson
2004,2004-11-28,11,12,23.101,MIN,JAX,True,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,2,32,16.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,27,16,Nate Burleson
2004,2004-12-05,12,13,23.108,MIN,CHI,True,5,3,31,10.33,1,60.0%,6.20,1,10,10.00,0,0,0,,0,3,3,1.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,14,24,Nate Burleson
2004,2004-12-12,13,14,23.115,MIN,SEA,True,4,4,42,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,1,18,18.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,23,27,Nate Burleson
2004,2004-12-19,14,15,23.122,MIN,DET,True,5,5,134,26.80,2,100.0%,26.80,0,0,,0,0,0,,0,0,0,,0,,2,12,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,28,27,Nate Burleson
