Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-11-01,7.0,8.0,,DEN,LAC,W 31-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tim Patrick,True,31,30
2020.0,2020-11-08,8.0,9.0,26.351,DEN,ATL,L 27-34,True,9,4,29,7.25,1,44.4%,3.22,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,0,0%,True,Tim Patrick,False,27,34
2020.0,2020-11-15,9.0,10.0,26.358,DEN,LVR,L 12-37,True,6,4,61,15.25,0,66.7%,10.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,59%,0,0%,0,0%,True,Tim Patrick,False,12,37
2020.0,2020-11-22,10.0,11.0,26.365,DEN,MIA,W 20-13,True,8,5,119,23.80,0,62.5%,14.88,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,83%,0,0%,0,0%,False,Tim Patrick,True,20,13
2020.0,2020-11-29,11.0,12.0,27.006,DEN,NOR,L 3-31,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,72%,0,0%,0,0%,False,Tim Patrick,False,3,31
2020.0,2020-12-06,12.0,13.0,27.013,DEN,KAN,L 16-22,True,4,4,44,11.00,2,100.0%,11.00,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,59,89%,0,0%,0,0%,True,Tim Patrick,False,16,22
2020.0,2020-12-13,13.0,14.0,27.02,DEN,CAR,W 32-27,True,5,3,36,12.00,1,60.0%,7.20,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,82%,0,0%,1,3%,True,Tim Patrick,True,32,27
2020.0,2020-12-19,14.0,15.0,27.026,DEN,BUF,L 19-48,True,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,False,Tim Patrick,False,19,48
2020.0,2020-12-27,15.0,16.0,27.034,DEN,LAC,L 16-19,True,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,90%,0,0%,0,0%,True,Tim Patrick,False,16,19
2020.0,2021-01-03,16.0,17.0,27.041,DEN,LVR,L 31-32,True,4,2,46,23.00,0,50.0%,11.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,15%,0,0%,0,0%,False,Tim Patrick,False,31,32
2021.0,2021-09-12,1.0,1.0,27.293,DEN,NYG,W 27-13,True,4,4,39,9.75,1,100.0%,9.75,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,70%,0,0%,1,5%,True,Tim Patrick,True,27,13
2021.0,2021-09-19,2.0,2.0,27.3,DEN,JAX,W 23-13,True,4,3,37,12.33,1,75.0%,9.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,74%,0,0%,0,0%,True,Tim Patrick,True,23,13
2021.0,2021-09-26,3.0,3.0,27.307,DEN,NYJ,W 26-0,True,5,5,98,19.60,0,100.0%,19.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,76%,0,0%,0,0%,False,Tim Patrick,True,26,0
2021.0,2021-10-03,4.0,4.0,27.314,DEN,BAL,L 7-23,True,6,3,39,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,92%,0,0%,0,0%,False,Tim Patrick,False,7,23
2021.0,2021-10-10,5.0,5.0,27.321,DEN,PIT,L 19-27,True,9,7,89,12.71,0,77.8%,9.89,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,95%,0,0%,0,0%,True,Tim Patrick,False,19,27
2021.0,2021-10-17,6.0,6.0,27.328,DEN,LVR,L 24-34,True,6,3,42,14.00,1,50.0%,7.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,89%,0,0%,0,0%,False,Tim Patrick,False,24,34
2021.0,2021-10-21,7.0,7.0,27.332,DEN,CLE,L 14-17,True,5,2,16,8.00,0,40.0%,3.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,94%,0,0%,0,0%,True,Tim Patrick,False,14,17
2021.0,2021-10-31,8.0,8.0,27.342,DEN,WAS,W 17-10,True,3,3,64,21.33,0,100.0%,21.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,94%,0,0%,0,0%,False,Tim Patrick,True,17,10
2021.0,2021-11-07,9.0,9.0,27.349,DEN,DAL,W 30-16,True,5,4,85,21.25,1,80.0%,17.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,62%,0,0%,0,0%,True,Tim Patrick,True,30,16
2021.0,2021-11-14,10.0,10.0,27.356,DEN,PHI,L 13-30,True,6,3,14,4.67,0,50.0%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,91%,0,0%,0,0%,False,Tim Patrick,False,13,30
2021.0,2021-11-28,11.0,12.0,28.005,DEN,LAC,W 28-13,True,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,2,0,50,81%,0,0%,1,5%,False,Tim Patrick,True,28,13
2021.0,2021-12-05,12.0,13.0,28.012,DEN,KAN,L 9-22,True,5,1,9,9.00,0,20.0%,1.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,87%,0,0%,0,0%,True,Tim Patrick,False,9,22
2021.0,2021-12-12,13.0,14.0,28.019,DEN,DET,W 38-10,True,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,76%,0,0%,0,0%,False,Tim Patrick,True,38,10
2021.0,2021-12-19,14.0,15.0,28.026,DEN,CIN,L 10-15,True,5,3,42,14.00,1,60.0%,8.40,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,95%,0,0%,0,0%,False,Tim Patrick,False,10,15
2021.0,2021-12-26,15.0,16.0,28.033,DEN,LVR,L 13-17,True,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,86%,0,0%,0,0%,True,Tim Patrick,False,13,17
2021.0,2022-01-02,16.0,17.0,,DEN,LAC,L 13-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tim Patrick,False,13,34
2021.0,2022-01-08,17.0,18.0,28.046,DEN,KAN,L 24-28,True,10,6,95,15.83,0,60.0%,9.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,78%,0,0%,0,0%,False,Tim Patrick,False,24,28
,55 Games,,,,,,21-34-0,False,236,143,2009,14.05,12,60.6%,8.51,3,17,5.67,0,1,-14,-14.00,0,12,72,0.0,5,2,7,0,0,2,1,0,1,2,0,,,,,,,False,Tim Patrick,False,34,0
