Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-12-20,14,15,27.328,CLE,KAN,False,1,0,0.00,0,0.0,0,0,0,,,2,66,33.00,0,,,,,,,True,True,41,34,Reggie Hodges
2009,2009-12-27,15,16,27.335,CLE,OAK,False,0,0,,0,0.0,0,0,0,,,6,225,37.50,0,,,,,,,False,True,23,9,Reggie Hodges
2009,2010-01-03,16,17,27.342,CLE,JAX,False,0,0,,0,0.0,0,0,0,,,3,107,35.67,0,,,,,,,False,True,23,17,Reggie Hodges
2010,2010-09-12,1,1,28.229,CLE,TAM,False,0,0,,0,0.0,0,0,0,,,6,266,44.33,0,,,,,,,True,False,14,17,Reggie Hodges
2010,2010-09-19,2,2,28.236,CLE,KAN,False,0,0,,0,0.0,0,0,0,,,8,337,42.13,0,,,,,,,False,False,14,16,Reggie Hodges
2010,2010-09-26,3,3,28.243,CLE,BAL,False,0,0,,0,0.0,0,0,0,,,6,294,49.00,0,,,,,,,True,False,17,24,Reggie Hodges
2010,2010-10-03,4,4,28.250,CLE,CIN,False,0,0,,0,0.0,0,0,0,,,4,187,46.75,0,,,,,,,False,True,23,20,Reggie Hodges
2010,2010-10-10,5,5,28.257,CLE,ATL,False,0,0,,0,0.0,0,0,0,,,5,234,46.80,0,,,,,,,False,False,10,20,Reggie Hodges
2010,2010-10-17,6,6,28.264,CLE,PIT,False,0,0,,0,0.0,0,0,0,,,5,204,40.80,0,,,,,,,True,False,10,28,Reggie Hodges
2010,2010-10-24,7,7,28.271,CLE,NOR,False,1,68,68.00,0,0.0,0,0,0,,,4,168,42.00,0,,,,,,,True,True,30,17,Reggie Hodges
2010,2010-11-07,8,9,28.285,CLE,NWE,False,0,0,,0,0.0,0,0,0,,,3,107,35.67,0,,,,,,,False,True,34,14,Reggie Hodges
2010,2010-11-14,9,10,28.292,CLE,NYJ,False,0,0,,0,0.0,0,0,0,,,5,229,45.80,0,,,,,,,False,False,20,26,Reggie Hodges
2010,2010-11-21,10,11,28.299,CLE,JAX,False,0,0,,0,0.0,0,0,0,,,5,220,44.00,0,,,,,,,True,False,20,24,Reggie Hodges
2010,2010-11-28,11,12,28.306,CLE,CAR,False,0,0,,0,0.0,0,0,0,,,3,109,36.33,0,,,,,,,False,True,24,23,Reggie Hodges
2010,2010-12-05,12,13,28.313,CLE,MIA,False,0,0,,0,0.0,0,0,0,,,9,438,48.67,0,,,,,,,True,True,13,10,Reggie Hodges
2010,2010-12-12,13,14,28.320,CLE,BUF,False,0,0,,0,0.0,0,0,0,,,4,199,49.75,0,,,,,,,True,False,6,13,Reggie Hodges
2010,2010-12-19,14,15,28.327,CLE,CIN,False,0,0,,0,0.0,0,0,0,,,5,185,37.00,0,,,,,,,True,False,17,19,Reggie Hodges
2010,2010-12-26,15,16,28.334,CLE,BAL,False,0,0,,0,0.0,0,0,0,,,3,116,38.67,0,,,,,,,False,False,10,20,Reggie Hodges
2010,2011-01-02,16,17,28.341,CLE,PIT,False,0,0,,0,0.0,0,0,0,,,3,131,43.67,0,,,,,,,False,False,9,41,Reggie Hodges
2012,2012-09-09,1,1,30.227,CLE,PHI,False,0,0,,0,0.0,0,0,0,,,7,308,44.00,0,0,0%,0,0%,11,37%,False,False,16,17,Reggie Hodges
2012,2012-09-16,2,2,30.234,CLE,CIN,False,0,0,,0,0.0,0,0,0,,,4,186,46.50,0,0,0%,0,0%,9,29%,True,False,27,34,Reggie Hodges
