Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-09-29,4,4,28.098,OAK,WAS,True,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,9%,0,0%,0,0%,False,False,14,24,Marcel Reece
2013,2013-10-06,5,5,28.105,OAK,SDG,True,3,3,25,8.33,0,100.0%,8.33,7,32,4.57,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,64%,0,0%,0,0%,False,True,27,17,Marcel Reece
2013,2013-10-13,6,6,28.112,OAK,KAN,True,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,42%,0,0%,0,0%,True,False,7,24,Marcel Reece
2013,2013-10-27,7,8,28.126,OAK,PIT,True,0,0,0,,0,0.0%,,3,10,3.33,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,44%,0,0%,1,3%,False,True,21,18,Marcel Reece
2013,2013-11-03,8,9,28.133,OAK,PHI,True,2,2,22,11.00,0,100.0%,11.00,1,0,0.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,37%,0,0%,0,0%,False,False,20,49,Marcel Reece
2013,2013-11-10,9,10,28.140,OAK,NYG,False,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,30%,0,0%,0,0%,True,False,20,24,Marcel Reece
2013,2013-11-17,10,11,28.147,OAK,HOU,True,5,2,17,8.50,0,40.0%,3.40,4,6,1.50,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,52%,0,0%,0,0%,True,True,28,23,Marcel Reece
2013,2013-11-24,11,12,28.154,OAK,TEN,True,5,4,44,11.00,1,80.0%,8.80,5,14,2.80,0,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,63%,0,0%,0,0%,False,False,19,23,Marcel Reece
2013,2013-11-28,12,13,28.158,OAK,DAL,True,4,2,5,2.50,0,50.0%,1.25,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,41%,0,0%,2,6%,True,False,24,31,Marcel Reece
2013,2013-12-08,13,14,28.168,OAK,NYJ,True,5,2,38,19.00,0,40.0%,7.60,19,123,6.47,1,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,67,97%,0,0%,3,9%,True,False,27,37,Marcel Reece
2013,2013-12-15,14,15,28.175,OAK,KAN,True,7,2,52,26.00,0,28.6%,7.43,5,18,3.60,0,1,1,100.00,22,0,0,118.7,0,0,22.00,22.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,63%,0,0%,2,6%,False,False,31,56,Marcel Reece
2013,2013-12-22,15,16,28.182,OAK,SDG,True,6,4,26,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,53%,0,0%,5,19%,True,False,13,26,Marcel Reece
2013,2013-12-29,16,17,28.189,OAK,DEN,True,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,41%,0,0%,5,17%,False,False,14,34,Marcel Reece
2014,2014-09-07,1,1,29.076,OAK,NYJ,True,3,2,1,0.50,0,66.7%,0.33,1,0,0.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,40%,0,0%,5,18%,True,False,14,19,Marcel Reece
2014,2014-09-14,2,2,29.083,OAK,HOU,True,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,32%,0,0%,3,12%,False,False,14,30,Marcel Reece
2014,2014-09-21,3,3,29.090,OAK,NWE,True,7,3,19,6.33,0,42.9%,2.71,1,7,7.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,34,58%,0,0%,5,20%,True,False,9,16,Marcel Reece
2014,2014-09-28,4,4,29.097,OAK,MIA,True,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,25%,0,0%,0,0%,False,False,14,38,Marcel Reece
2014,2014-10-12,5,6,29.111,OAK,SDG,True,3,1,11,11.00,0,33.3%,3.67,1,2,2.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,26%,0,0%,0,0%,False,False,28,31,Marcel Reece
2014,2014-10-19,6,7,,OAK,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,13,24,Marcel Reece
2014,2014-10-26,7,8,29.125,OAK,CLE,True,6,5,34,6.80,0,83.3%,5.67,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,30%,0,0%,7,21%,True,False,13,23,Marcel Reece
2014,2014-11-02,8,9,29.132,OAK,SEA,True,3,1,12,12.00,0,33.3%,4.00,1,10,10.00,0,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,34%,0,0%,7,19%,True,False,24,30,Marcel Reece
