Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,23.189,NOR,TAM,True,14,51,3.64,0,9,8,112,14.00,1,88.9%,12.44,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,1,6,0,,0,0,0,0,,,,,,,False,True,24,20,Reggie Bush
2008,2008-09-14,2,2,23.196,NOR,WAS,True,10,28,2.80,0,9,7,63,9.00,0,77.8%,7.00,0,0,,0,0,0,,,,,,0,0,,0,1,55,55.00,1,,1,6,0,,0,0,0,0,,,,,,,True,False,24,29,Reggie Bush
2008,2008-09-21,3,3,23.203,NOR,DEN,True,18,73,4.06,1,14,11,75,6.82,1,78.6%,5.36,0,0,,0,0,0,,,,,,0,0,,0,2,30,15.00,0,,2,12,1,1,0,0,0,0,,,,,,,True,False,32,34,Reggie Bush
2008,2008-09-28,4,4,23.210,NOR,SFO,True,10,31,3.10,0,8,5,7,1.40,0,62.5%,0.88,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,31,17,Reggie Bush
2008,2008-10-06,5,5,23.218,NOR,MIN,True,12,29,2.42,0,9,7,64,9.14,0,77.8%,7.11,0,0,,0,0,0,,,,,,0,0,,0,5,176,35.20,2,,2,12,2,1,0,0,0,0,,,,,,,False,False,27,30,Reggie Bush
2008,2008-10-12,6,6,23.224,NOR,OAK,True,14,27,1.93,1,6,3,40,13.33,1,50.0%,6.67,0,0,,0,0,0,,,,,,0,0,,0,1,8,8.00,0,,2,12,0,,0,0,0,0,,,,,,,False,True,34,3,Reggie Bush
2008,2008-10-19,7,7,23.231,NOR,CAR,True,9,55,6.11,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,3,16,5.33,0,,0,0,0,,0,0,0,0,,,,,,,True,False,7,30,Reggie Bush
2008,2008-10-26,8,8,,NOR,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,37,32,Reggie Bush
2008,2008-11-09,9,10,,NOR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,20,34,Reggie Bush
2008,2008-11-16,10,11,,NOR,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,30,20,Reggie Bush
2008,2008-11-24,11,12,,NOR,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,51,29,Reggie Bush
2008,2008-11-30,12,13,23.273,NOR,TAM,True,3,0,0.00,0,10,5,32,6.40,0,50.0%,3.20,0,0,,0,0,0,,,,,,0,0,,0,2,-16,-8.00,0,,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Reggie Bush
2008,2008-12-07,13,14,23.280,NOR,ATL,True,10,80,8.00,0,5,3,26,8.67,1,60.0%,5.20,0,0,,0,0,0,,,,,,0,0,,0,3,0,0.00,0,,1,6,0,,0,0,0,0,,,,,,,False,True,29,25,Reggie Bush
2008,2008-12-11,14,15,23.284,NOR,CHI,False,6,30,5.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,2,1,0.50,0,,0,0,0,,0,0,0,0,,,,,,,True,False,24,27,Reggie Bush
2008,2008-12-21,15,16,,NOR,DET,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,42,7,Reggie Bush
2008,2008-12-28,16,17,,NOR,CAR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,31,33,Reggie Bush
2009,2009-09-13,1,1,24.195,NOR,DET,True,7,14,2.00,0,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,,,,,0,0,,0,3,11,3.67,0,,0,0,2,1,0,1,0,0,,,,,,,False,True,45,27,Reggie Bush
2009,2009-09-20,2,2,24.202,NOR,PHI,True,10,33,3.30,1,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,,,,,0,0,,0,2,-3,-1.50,0,,1,6,0,,0,0,0,0,,,,,,,True,True,48,22,Reggie Bush
2009,2009-09-27,3,3,24.209,NOR,BUF,True,13,64,4.92,0,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,,,,,0,0,,0,4,17,4.25,0,,0,0,0,,0,0,0,0,,,,,,,True,True,27,7,Reggie Bush
2009,2009-10-04,4,4,24.216,NOR,NYJ,False,6,37,6.17,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,,,,,,0,0,,0,1,22,22.00,0,,0,0,1,1,0,0,0,0,,,,,,,False,True,24,10,Reggie Bush
2009,2009-10-18,5,6,24.230,NOR,NYG,True,6,17,2.83,1,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,,1,6,0,,0,0,0,0,,,,,,,False,True,48,27,Reggie Bush
2009,2009-10-25,6,7,24.237,NOR,MIA,True,3,10,3.33,1,6,3,16,5.33,0,50.0%,2.67,0,0,,0,0,0,,,,,,0,0,,0,5,23,4.60,0,,1,6,0,,0,0,0,0,,,,,,,True,True,46,34,Reggie Bush
2009,2009-11-02,7,8,24.245,NOR,ATL,False,2,3,1.50,1,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,0,0,,0,1,1,1.00,0,,1,6,0,,0,0,0,0,,,,,,,False,True,35,27,Reggie Bush
2009,2009-11-08,8,9,24.251,NOR,CAR,True,2,16,8.00,0,9,7,37,5.29,0,77.8%,4.11,0,0,,0,0,0,,,,,,0,0,,0,1,4,4.00,0,,0,0,0,,0,0,0,0,,,,,,,False,True,30,20,Reggie Bush
2009,2009-11-15,9,10,24.258,NOR,STL,False,6,83,13.83,1,2,2,15,7.50,1,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,2,5,2.50,0,,2,12,0,,0,0,0,0,,,,,,,True,True,28,23,Reggie Bush
2009,2009-11-22,10,11,,NOR,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,38,7,Reggie Bush
2009,2009-11-30,11,12,,NOR,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,17,Reggie Bush
2009,2009-12-06,12,13,24.279,NOR,WAS,False,1,0,0.00,0,6,4,28,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0,,0,1,-2,-2.00,0,,0,0,0,,0,0,0,0,,,,,,,True,True,33,30,Reggie Bush
2009,2009-12-13,13,14,24.286,NOR,ATL,True,6,33,5.50,0,6,6,46,7.67,2,100.0%,7.67,0,0,,0,0,0,,,,,,0,0,,0,1,23,23.00,0,,2,12,1,0,0,1,0,0,,,,,,,True,True,26,23,Reggie Bush
2009,2009-12-19,14,15,24.292,NOR,DAL,True,1,29,29.00,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,0,0,,0,1,4,4.00,0,,0,0,0,,0,0,0,0,,,,,,,False,False,17,24,Reggie Bush
2009,2009-12-27,15,16,24.300,NOR,TAM,False,2,16,8.00,0,7,6,37,6.17,0,85.7%,5.29,0,0,,0,0,0,,,,,,0,0,,0,1,14,14.00,0,,0,0,0,,0,0,0,0,,,,,,,False,False,17,20,Reggie Bush
2009,2010-01-03,16,17,24.307,NOR,CAR,False,5,35,7.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,23,Reggie Bush
2010,2010-09-09,1,1,25.191,NOR,MIN,True,2,14,7.00,0,6,5,33,6.60,0,83.3%,5.50,0,0,,0,0,0,,,,,,0,0,,0,3,7,2.33,0,,0,0,0,,0,0,0,0,,,,,,,False,True,14,9,Reggie Bush
2010,2010-09-20,2,2,25.202,NOR,SFO,True,5,4,0.80,0,5,4,30,7.50,1,80.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,3,43,14.33,0,,1,6,1,0,0,1,0,0,,,,,,,True,True,25,22,Reggie Bush
