Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-11-29,11,12,23.031,CHI,@,GNB,L 25-41,True,9,3,34,11.33,0,33.3%,3.78,0,0,,0,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,58,85%,0,0%,1,4%,True,Darnell Mooney
2020,2020-12-06,12,13,23.038,CHI,,DET,L 30-34,True,6,4,43,10.75,0,66.7%,7.17,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,81%,0,0%,1,3%,False,Darnell Mooney
2020,2020-12-13,13,14,23.045,CHI,,HOU,W 36-7,True,2,2,22,11.00,1,100.0%,11.00,1,5,5.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,False,Darnell Mooney
2020,2020-12-20,14,15,23.052,CHI,@,MIN,W 33-27,True,5,4,49,12.25,1,80.0%,9.80,1,16,16.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,True,Darnell Mooney
2020,2020-12-27,15,16,23.059,CHI,@,JAX,W 41-17,False,7,4,39,9.75,0,57.1%,5.57,1,2,2.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,74%,0,0%,1,3%,True,Darnell Mooney
2020,2021-01-03,16,17,23.066,CHI,,GNB,L 16-35,True,13,11,93,8.45,0,84.6%,7.15,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,60%,0,0%,0,0%,False,Darnell Mooney
2021,2021-09-12,1,1,23.318,CHI,@,LAR,L 14-34,True,7,5,26,5.20,0,71.4%,3.71,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,True,Darnell Mooney
2021,2021-09-19,2,2,23.325,CHI,,CIN,W 20-17,True,8,6,66,11.00,0,75.0%,8.25,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,89%,0,0%,1,5%,False,Darnell Mooney
2021,2021-09-26,3,3,23.332,CHI,@,CLE,L 6-26,True,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,98%,0,0%,0,0%,True,Darnell Mooney
2021,2021-10-03,4,4,23.339,CHI,,DET,W 24-14,False,7,5,125,25.00,0,71.4%,17.86,1,10,10.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,71%,0,0%,0,0%,False,Darnell Mooney
2021,2021-10-10,5,5,23.346,CHI,@,LVR,W 20-9,True,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,77%,0,0%,0,0%,True,Darnell Mooney
2021,2021-10-17,6,6,23.353,CHI,,GNB,L 14-24,True,8,5,45,9.00,1,62.5%,5.63,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,93%,0,0%,0,0%,False,Darnell Mooney
2021,2021-10-24,7,7,23.360,CHI,@,TAM,L 3-38,True,5,2,39,19.50,0,40.0%,7.80,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,57,86%,0,0%,0,0%,True,Darnell Mooney
2021,2021-10-31,8,8,24.002,CHI,,SFO,L 22-33,True,9,6,64,10.67,0,66.7%,7.11,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,54,77%,0,0%,0,0%,False,Darnell Mooney
2021,2021-11-08,9,9,24.010,CHI,@,PIT,L 27-29,True,6,3,41,13.67,1,50.0%,6.83,1,15,15.00,1,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,50,81%,0,0%,0,0%,True,Darnell Mooney
2021,2021-11-21,10,11,24.023,CHI,,BAL,L 13-16,True,16,5,121,24.20,1,31.3%,7.56,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,92%,0,0%,0,0%,False,Darnell Mooney
2021,2021-11-25,11,12,24.027,CHI,@,DET,W 16-14,True,8,5,123,24.60,0,62.5%,15.38,1,2,2.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,87%,0,0%,0,0%,True,Darnell Mooney
2021,2021-12-05,12,13,24.037,CHI,,ARI,L 22-33,True,7,5,27,5.40,0,71.4%,3.86,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,95%,0,0%,0,0%,False,Darnell Mooney
2021,2021-12-12,13,14,24.044,CHI,@,GNB,L 30-45,False,5,1,19,19.00,0,20.0%,3.80,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,57,92%,0,0%,0,0%,True,Darnell Mooney
2021,2021-12-20,14,15,24.052,CHI,,MIN,L 9-17,True,7,5,63,12.60,0,71.4%,9.00,1,3,3.00,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,70,96%,0,0%,0,0%,False,Darnell Mooney
2021,2021-12-26,15,16,24.058,CHI,@,SEA,W 25-24,True,9,5,57,11.40,0,55.6%,6.33,2,2,1.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,85%,0,0%,0,0%,True,Darnell Mooney
2021,2022-01-02,16,17,24.065,CHI,,NYG,W 29-3,False,13,7,69,9.86,1,53.8%,5.31,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,85%,0,0%,0,0%,False,Darnell Mooney
2021,2022-01-09,17,18,24.072,CHI,@,MIN,L 17-31,True,16,12,126,10.50,0,75.0%,7.88,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,90%,0,0%,0,0%,True,Darnell Mooney
,33 Games,,,,,,,14-19-0,False,238,142,1686,11.87,8,59.7%,7.08,10,52,5.20,1,2,15,7.50,0,1,9,56,0.0,4,0,4,0,0,1,0,0,1,0,0,,,,,,,False,Darnell Mooney
