Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2005,2005-09-18,2,2,29.042,OAK,,KAN,L 17-23,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,204,51.00,0,,,,,,,False,Shane Lechler
2005,2005-09-25,3,3,29.049,OAK,@,PHI,L 20-23,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,6,268,44.67,0,,,,,,,True,Shane Lechler
2005,2005-10-02,4,4,29.056,OAK,,DAL,W 19-13,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,181,45.25,0,,,,,,,False,Shane Lechler
2005,2005-10-16,5,6,29.070,OAK,,SDG,L 14-27,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,6,282,47.00,0,,,,,,,False,Shane Lechler
2005,2005-10-23,6,7,29.077,OAK,,BUF,W 38-17,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,137,45.67,0,,,,,,,False,Shane Lechler
2005,2005-10-30,7,8,29.084,OAK,@,TEN,W 34-25,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,156,52.00,0,,,,,,,True,Shane Lechler
2005,2005-11-06,8,9,29.091,OAK,@,KAN,L 23-27,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,5,235,47.00,0,,,,,,,True,Shane Lechler
2005,2005-11-13,9,10,29.098,OAK,,DEN,L 17-31,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,5,233,46.60,0,,,,,,,False,Shane Lechler
2005,2005-11-20,10,11,29.105,OAK,@,WAS,W 16-13,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,5,209,41.80,0,,,,,,,True,Shane Lechler
2005,2005-11-27,11,12,29.112,OAK,,MIA,L 21-33,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,6,205,34.17,0,,,,,,,False,Shane Lechler
2005,2005-12-04,12,13,29.119,OAK,@,SDG,L 10-34,False,1,2,2.00,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,150,37.50,0,,,,,,,True,Shane Lechler
2005,2005-12-11,13,14,29.126,OAK,@,NYJ,L 10-26,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,116,38.67,0,,,,,,,True,Shane Lechler
2005,2005-12-18,14,15,29.133,OAK,,CLE,L 7-9,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,6,296,49.33,0,,,,,,,False,Shane Lechler
2005,2005-12-24,15,16,29.139,OAK,@,DEN,L 3-22,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,5,295,59.00,0,,,,,,,True,Shane Lechler
2005,2005-12-31,16,17,29.146,OAK,,NYG,L 21-30,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,9,421,46.78,0,,,,,,,False,Shane Lechler
2006,2006-09-11,1,1,30.035,OAK,,SDG,L 0-27,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,9,420,46.67,0,,,,,,,False,Shane Lechler
2006,2006-09-17,2,2,30.041,OAK,@,BAL,L 6-28,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,214,53.50,0,,,,,,,True,Shane Lechler
2006,2006-10-01,3,4,30.055,OAK,,CLE,L 21-24,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,6,292,48.67,0,,,,,,,False,Shane Lechler
2006,2006-10-08,4,5,30.062,OAK,@,SFO,L 20-34,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,1,65,65.00,1,,,,,,,True,Shane Lechler
2006,2006-10-15,5,6,30.069,OAK,@,DEN,L 3-13,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,220,55.00,0,,,,,,,True,Shane Lechler
2006,2006-10-22,6,7,30.076,OAK,,ARI,W 22-9,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,135,45.00,0,,,,,,,False,Shane Lechler
2006,2006-10-29,7,8,30.083,OAK,,PIT,W 20-13,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,7,337,48.14,0,,,,,,,False,Shane Lechler
2006,2006-11-06,8,9,30.091,OAK,@,SEA,L 0-16,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,10,450,45.00,0,,,,,,,True,Shane Lechler
