Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_Sfty,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-12-26,15,16,25.275,JAX,,WAS,L 17-20,True,15,32,2.13,0,4,4,29,7.25,0,100.0%,7.25,0,0,,0,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Rashad Jennings
2010,2011-01-02,16,17,25.282,JAX,@,HOU,L 17-34,True,22,108,4.91,1,7,4,34,8.50,0,57.1%,4.86,0,0,,0,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Rashad Jennings
2012,2012-09-09,1,1,27.167,JAX,@,MIN,L 23-26,True,8,31,3.88,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,23%,0,0%,0,0%,True,Rashad Jennings
2012,2012-09-16,2,2,,JAX,,HOU,L 7-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rashad Jennings
2012,2012-09-23,3,3,,JAX,@,IND,W 22-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
2012,2012-09-30,4,4,27.188,JAX,,CIN,L 10-27,False,2,12,6.00,0,1,1,-2,-2.00,0,100.0%,-2.00,1,27,27.00,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,32%,0,0%,6,22%,False,Rashad Jennings
2012,2012-10-07,5,5,27.195,JAX,,CHI,L 3-41,False,3,3,1.00,0,0,0,0,,0,0.0%,,3,65,21.67,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,17%,0,0%,9,33%,False,Rashad Jennings
2012,2012-10-21,6,7,27.209,JAX,@,OAK,L 23-26,False,21,44,2.10,1,9,7,58,8.29,0,77.8%,6.44,0,0,,0,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,97%,0,0%,3,8%,True,Rashad Jennings
2012,2012-10-28,7,8,27.216,JAX,@,GNB,L 15-24,True,17,59,3.47,0,8,6,56,9.33,0,75.0%,7.00,0,0,,0,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,72,94%,0,0%,0,0%,True,Rashad Jennings
2012,2012-11-04,8,9,27.223,JAX,,DET,L 14-31,True,12,45,3.75,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,1,,0,2,0.0,0,0,0,,,0,0,0,0,0,0,40,65%,0,0%,0,0%,False,Rashad Jennings
2012,2012-11-08,9,10,27.227,JAX,,IND,L 10-27,True,11,27,2.45,0,1,0,0,,0,0.0%,0.00,0,0,,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,57%,0,0%,0,0%,False,Rashad Jennings
2012,2012-11-18,10,11,27.237,JAX,@,HOU,L 37-43,True,3,-1,-0.33,0,1,0,0,,0,0.0%,0.00,6,149,24.83,0,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,11%,0,0%,10,24%,True,Rashad Jennings
2012,2012-11-25,11,12,27.244,JAX,,TEN,W 24-19,False,16,43,2.69,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,47,73%,0,0%,3,10%,False,Rashad Jennings
2012,2012-12-02,12,13,27.251,JAX,@,BUF,L 18-34,True,8,20,2.50,0,0,0,0,,0,0.0%,,0,0,,0,,,0,0,0.0,0,0,0,,,2,0,0,0,0,0,16,22%,0,0%,0,0%,True,Rashad Jennings
2012,2012-12-09,13,14,,JAX,,NYJ,L 10-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rashad Jennings
2012,2012-12-16,14,15,,JAX,@,MIA,L 3-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashad Jennings
