Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2010-01-03,16,17,25.201,OAK,BAL,False,10,18,1.80,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,21,Michael Bush
2010,2010-09-12,1,1,,OAK,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,38,Michael Bush
2010,2010-09-19,2,2,,OAK,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,16,14,Michael Bush
2010,2010-09-26,3,3,26.102,OAK,ARI,False,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,23,24,Michael Bush
2010,2010-10-03,4,4,26.109,OAK,HOU,False,7,40,5.71,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,24,31,Michael Bush
2010,2010-10-10,5,5,26.116,OAK,SDG,True,26,104,4.00,1,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,35,27,Michael Bush
2010,2010-10-17,6,6,26.123,OAK,SFO,True,20,47,2.35,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,1,0,0,,,,,,,True,False,9,17,Michael Bush
2010,2010-10-24,7,7,26.130,OAK,DEN,False,15,52,3.47,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,59,14,Michael Bush
2010,2010-10-31,8,8,26.137,OAK,SEA,False,9,51,5.67,1,1,1,55,55.00,0,100.0%,55.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,33,3,Michael Bush
2010,2010-11-07,9,9,26.144,OAK,KAN,False,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,23,20,Michael Bush
2010,2010-11-21,10,11,26.158,OAK,PIT,False,4,33,8.25,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,35,Michael Bush
2010,2010-11-28,11,12,26.165,OAK,MIA,False,1,1,1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,17,33,Michael Bush
2010,2010-12-05,12,13,26.172,OAK,SDG,False,23,95,4.13,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,28,13,Michael Bush
2010,2010-12-12,13,14,26.179,OAK,JAX,False,5,22,4.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,31,38,Michael Bush
2010,2010-12-19,14,15,26.186,OAK,DEN,False,12,24,2.00,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,True,39,23,Michael Bush
2010,2010-12-26,15,16,26.193,OAK,IND,False,3,19,6.33,0,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,26,31,Michael Bush
2010,2011-01-02,16,17,26.200,OAK,KAN,True,25,137,5.48,1,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,31,10,Michael Bush
2011,2011-09-12,1,1,27.088,OAK,DEN,False,9,30,3.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Michael Bush
2011,2011-09-18,2,2,27.094,OAK,BUF,False,4,23,5.75,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,0,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,35,38,Michael Bush
2011,2011-09-25,3,3,27.101,OAK,NYJ,False,8,22,2.75,1,2,2,35,17.50,0,100.0%,17.50,0,0,,0,0,0,,,0,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,34,24,Michael Bush
2011,2011-10-02,4,4,27.108,OAK,NWE,False,8,26,3.25,1,4,4,55,13.75,0,100.0%,13.75,0,0,,0,0,0,,,0,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,19,31,Michael Bush
2011,2011-10-09,5,5,27.115,OAK,HOU,False,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,25,20,Michael Bush
2011,2011-10-16,6,6,27.122,OAK,CLE,False,10,28,2.80,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,17,Michael Bush
2011,2011-10-23,7,7,27.129,OAK,KAN,False,17,99,5.82,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,0,28,Michael Bush
2011,2011-11-06,8,9,27.143,OAK,DEN,True,19,96,5.05,0,3,2,33,16.50,1,66.7%,11.00,0,0,,0,0,0,,,0,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,24,38,Michael Bush
2011,2011-11-10,9,10,27.147,OAK,SDG,True,30,157,5.23,1,4,3,85,28.33,0,75.0%,21.25,0,0,,0,0,0,,,0,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,24,17,Michael Bush
2011,2011-11-20,10,11,27.157,OAK,MIN,True,30,109,3.63,1,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,,0,,,0,0,,0,1,6,1,1,0,0,0,0,,,,,,,True,True,27,21,Michael Bush
2011,2011-11-27,11,12,27.164,OAK,CHI,True,24,69,2.88,1,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,,,0,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,25,20,Michael Bush
2011,2011-12-04,12,13,27.171,OAK,MIA,True,10,18,1.80,0,6,3,27,9.00,0,50.0%,4.50,0,0,,0,0,0,,,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,34,Michael Bush
2011,2011-12-11,13,14,27.178,OAK,GNB,True,23,78,3.39,1,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,,0,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,16,46,Michael Bush
2011,2011-12-18,14,15,27.185,OAK,DET,True,18,77,4.28,0,7,7,62,8.86,0,100.0%,8.86,0,0,,0,0,0,,,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,27,28,Michael Bush
2011,2011-12-24,15,16,27.191,OAK,KAN,True,23,70,3.04,0,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,16,13,Michael Bush
2011,2012-01-01,16,17,27.199,OAK,SDG,True,19,66,3.47,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,26,38,Michael Bush
2012,2012-09-09,1,1,28.085,CHI,IND,False,12,42,3.50,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,0,0,0,0,25,33%,0,0%,0,0%,False,True,41,21,Michael Bush
2012,2012-09-13,2,2,28.089,CHI,GNB,False,14,54,3.86,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,31,52%,0,0%,0,0%,True,False,10,23,Michael Bush
2012,2012-09-23,3,3,28.099,CHI,STL,True,18,55,3.06,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0,0,0,0,39,57%,0,0%,0,0%,False,True,23,6,Michael Bush
2012,2012-10-01,4,4,28.107,CHI,DAL,False,10,29,2.90,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,22,40%,0,0%,0,0%,True,True,34,18,Michael Bush
2012,2012-10-07,5,5,28.113,CHI,JAX,False,4,26,6.50,0,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,17,23%,0,0%,0,0%,True,True,41,3,Michael Bush
2012,2012-10-22,6,7,28.128,CHI,DET,False,6,36,6.00,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,24,33%,0,0%,0,0%,False,True,13,7,Michael Bush
2012,2012-10-28,7,8,28.134,CHI,CAR,False,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,5,9%,0,0%,0,0%,False,True,23,22,Michael Bush
2012,2012-11-04,8,9,28.141,CHI,TEN,False,10,16,1.60,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,21,30%,0,0%,0,0%,True,True,51,20,Michael Bush
2012,2012-11-11,9,10,28.148,CHI,HOU,False,3,34,11.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,8,14%,0,0%,0,0%,False,False,6,13,Michael Bush
2012,2012-11-19,10,11,28.156,CHI,SFO,False,5,9,1.80,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,10,17%,0,0%,0,0%,True,False,7,32,Michael Bush
2012,2012-11-25,11,12,28.162,CHI,MIN,False,21,60,2.86,2,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,0,0,0,0,31,42%,0,0%,0,0%,False,True,28,10,Michael Bush
2012,2012-12-02,12,13,28.169,CHI,SEA,False,7,39,5.57,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,13,21%,0,0%,0,0%,False,False,17,23,Michael Bush
2012,2012-12-09,13,14,28.176,CHI,MIN,False,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,True,False,14,21,Michael Bush
2012,2012-12-16,14,15,,CHI,GNB,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,13,21,Michael Bush
2012,2012-12-23,15,16,,CHI,ARI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,28,13,Michael Bush
2012,2012-12-30,16,17,,CHI,DET,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,26,24,Michael Bush
2013,2013-09-08,1,1,29.084,CHI,CIN,False,6,15,2.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,14,22%,0,0%,0,0%,False,True,24,21,Michael Bush
2013,2013-09-15,2,2,29.091,CHI,MIN,False,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,False,True,31,30,Michael Bush
2013,2013-09-22,3,3,29.098,CHI,PIT,False,8,9,1.13,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0,0,0,0,19,31%,0,0%,0,0%,True,True,40,23,Michael Bush
2013,2013-09-29,4,4,29.105,CHI,DET,False,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,2,3%,0,0%,0,0%,True,False,32,40,Michael Bush
2013,2013-10-06,5,5,29.112,CHI,NOR,False,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,7,12%,0,0%,0,0%,False,False,18,26,Michael Bush
2013,2013-10-10,6,6,29.116,CHI,NYG,False,6,8,1.33,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,11,16%,0,0%,0,0%,False,True,27,21,Michael Bush
2013,2013-10-20,7,7,,CHI,WAS,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,41,45,Michael Bush
2013,2013-11-04,8,9,29.141,CHI,GNB,False,7,25,3.57,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,11,14%,0,0%,0,0%,True,True,27,20,Michael Bush
2013,2013-11-10,9,10,29.147,CHI,DET,False,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,False,False,19,21,Michael Bush
2013,2013-11-17,10,11,29.154,CHI,BAL,False,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,6,10%,0,0%,0,0%,False,True,23,20,Michael Bush
2013,2013-11-24,11,12,29.161,CHI,STL,False,7,-5,-0.71,1,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0,0,0,0,16,20%,0,0%,0,0%,True,False,21,42,Michael Bush
2013,2013-12-01,12,13,29.168,CHI,MIN,False,1,15,15.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,True,False,20,23,Michael Bush
2013,2013-12-09,13,14,29.176,CHI,DAL,False,8,38,4.75,0,1,1,17,17.00,1,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0,0,0,0,15,21%,0,0%,0,0%,False,True,45,28,Michael Bush
2013,2013-12-15,14,15,29.182,CHI,CLE,False,3,44,14.67,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0,0,0,0,7,10%,0,0%,0,0%,True,True,38,31,Michael Bush
2013,2013-12-22,15,16,29.189,CHI,PHI,False,7,20,2.86,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,12,18%,0,0%,0,0%,True,False,11,54,Michael Bush
2013,2013-12-29,16,17,29.196,CHI,GNB,False,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,6,12%,0,0%,0,0%,False,False,28,33,Michael Bush
2014,2014-11-30,12,13,,ARI,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,18,29,Michael Bush
,89 Games,,,,,,False,809,3250,4.02,29,139,104,1010,9.71,2,74.8%,7.27,1,3,33.33,8,0,0,42.4,0,0,2.67,2.67,1,14,14.00,0,31,186,5,5,0,1,0,0,,,,,,,False,False,48,0,Michael Bush
