Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-11-26,11,12,23.355,CHI,@,GNB,W 17-13,False,12,48,4.00,1,3,1,5,5.00,0,33.3%,1.67,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,45%,0,0%,0,0%,True,Jeremy Langford
2015,2015-12-06,12,13,24.000,CHI,,SFO,L 20-26,False,12,59,4.92,0,3,2,9,4.50,0,66.7%,3.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,36%,0,0%,0,0%,False,Jeremy Langford
2015,2015-12-13,13,14,24.007,CHI,,WAS,L 21-24,False,11,37,3.36,0,7,3,27,9.00,0,42.9%,3.86,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,53%,0,0%,0,0%,False,Jeremy Langford
2015,2015-12-20,14,15,24.014,CHI,@,MIN,L 17-38,False,11,46,4.18,0,3,1,11,11.00,0,33.3%,3.67,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,44%,0,0%,2,7%,True,Jeremy Langford
2015,2015-12-27,15,16,24.021,CHI,@,TAM,W 26-21,False,19,83,4.37,0,2,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,54%,0,0%,0,0%,True,Jeremy Langford
2015,2016-01-03,16,17,24.028,CHI,,DET,L 20-24,False,5,14,2.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,27%,0,0%,0,0%,False,Jeremy Langford
2016,2016-09-11,1,1,24.280,CHI,@,HOU,L 14-23,True,17,57,3.35,1,4,2,6,3.00,0,50.0%,1.50,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,96%,0,0%,0,0%,True,Jeremy Langford
2016,2016-09-19,2,2,24.288,CHI,,PHI,L 14-29,True,11,28,2.55,1,2,1,6,6.00,0,50.0%,3.00,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,31,60%,0,0%,0,0%,False,Jeremy Langford
2016,2016-09-25,3,3,24.294,CHI,@,DAL,L 17-31,True,3,31,10.33,0,3,2,15,7.50,0,66.7%,5.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,0,0%,True,Jeremy Langford
2016,2016-10-02,4,4,,CHI,,DET,W 17-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeremy Langford
2016,2016-10-09,5,5,,CHI,@,IND,L 23-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeremy Langford
2016,2016-10-16,6,6,,CHI,,JAX,L 16-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeremy Langford
2016,2016-10-20,7,7,,CHI,@,GNB,L 10-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeremy Langford
2016,2016-10-31,8,8,24.330,CHI,,MIN,W 20-10,False,0,0,,0,1,1,11,11.00,0,100.0%,11.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,8%,0,0%,0,0%,False,Jeremy Langford
2016,2016-11-13,9,10,24.343,CHI,@,TAM,L 10-36,False,2,16,8.00,0,5,4,10,2.50,0,80.0%,2.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,34%,0,0%,0,0%,True,Jeremy Langford
2016,2016-11-20,10,11,24.350,CHI,@,NYG,L 16-22,False,6,8,1.33,1,3,3,30,10.00,0,100.0%,10.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,17,27%,0,0%,0,0%,True,Jeremy Langford
2016,2016-11-27,11,12,24.357,CHI,,TEN,L 21-27,False,1,5,5.00,0,2,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,29%,0,0%,0,0%,False,Jeremy Langford
2016,2016-12-04,12,13,24.364,CHI,,SFO,W 26-6,False,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,0,0%,False,Jeremy Langford
2016,2016-12-11,13,14,25.005,CHI,@,DET,L 17-20,False,3,4,1.33,0,1,1,1,1.00,0,100.0%,1.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,36%,0,0%,0,0%,True,Jeremy Langford
2016,2016-12-18,14,15,25.012,CHI,,GNB,L 27-30,False,1,4,4.00,0,1,1,18,18.00,0,100.0%,18.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,15%,0,0%,0,0%,False,Jeremy Langford
2016,2016-12-24,15,16,25.018,CHI,,WAS,L 21-41,False,7,19,2.71,1,2,1,4,4.00,0,50.0%,2.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,29,42%,0,0%,0,0%,False,Jeremy Langford
2016,2017-01-01,16,17,25.026,CHI,@,MIN,L 10-38,False,10,26,2.60,0,3,3,41,13.67,0,100.0%,13.67,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,20,33%,0,0%,0,0%,True,Jeremy Langford
2018,2018-12-23,15,16,,ATL,@,CAR,W 24-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeremy Langford
2018,2018-12-30,16,17,27.024,ATL,@,TAM,W 34-32,False,9,25,2.78,0,0,0,0,,0,0.0%,,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,16,21%,0,0%,13,41%,True,Jeremy Langford
,29 Games,,,,,,,9-20-0,False,219,762,3.48,10,69,41,421,10.27,1,59.4%,6.10,1,11,68,0.0,2,1,3,0,0,2,2,0,0,0,0,,,,,,,False,Jeremy Langford
