Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-11-27,11,12,,CHI,,TEN,L 21-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jay Cutler
2016,2016-12-04,12,13,,CHI,,SFO,W 26-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jay Cutler
2016,2016-12-11,13,14,,CHI,@,DET,L 17-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Jay Cutler
2016,2016-12-18,14,15,,CHI,,GNB,L 27-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Jay Cutler
2016,2016-12-24,15,16,,CHI,,WAS,L 21-41,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Jay Cutler
2016,2017-01-01,16,17,,CHI,@,MIN,L 10-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Jay Cutler
2017,2017-09-17,1,2,34.141,MIA,@,LAC,W 19-17,True,24,33,72.73,230,1,0,101.8,2,5,6.97,7.58,2,-1,-0.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,Jay Cutler
2017,2017-09-24,2,3,34.148,MIA,@,NYJ,L 6-20,True,26,44,59.09,220,1,1,70.3,3,25,5.00,4.43,1,9,9.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Jay Cutler
2017,2017-10-01,3,4,34.155,MIA,,NOR,L 0-20,True,20,28,71.43,164,0,1,71.1,4,36,5.86,4.25,1,5,5.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,52,100%,0,0%,0,0%,False,Jay Cutler
2017,2017-10-08,4,5,34.162,MIA,,TEN,W 16-10,True,12,26,46.15,92,1,1,52.1,1,14,3.54,2.58,2,8,4.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,98%,0,0%,0,0%,False,Jay Cutler
2017,2017-10-15,5,6,34.169,MIA,@,ATL,W 20-17,True,19,33,57.58,151,2,1,76.7,0,0,4.58,4.42,1,-1,-1.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,True,Jay Cutler
2017,2017-10-22,6,7,34.176,MIA,,NYJ,W 31-28,True,12,16,75.00,138,2,1,114.1,2,13,8.63,8.31,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,51%,0,0%,0,0%,False,Jay Cutler
2017,2017-10-26,7,8,,MIA,@,BAL,L 0-40,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jay Cutler
2017,2017-11-05,8,9,34.190,MIA,,OAK,L 24-27,True,34,42,80.95,311,3,0,121.3,1,2,7.40,8.83,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,1,0,0,67,100%,0,0%,0,0%,False,Jay Cutler
2017,2017-11-13,9,10,34.198,MIA,@,CAR,L 21-45,True,22,37,59.46,213,2,1,82.4,0,0,5.76,5.62,1,-1,-1.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,True,Jay Cutler
2017,2017-11-19,10,11,34.204,MIA,,TAM,L 20-30,True,6,12,50.00,83,1,3,60.8,0,0,6.92,-2.67,1,1,1.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,38%,0,0%,0,0%,False,Jay Cutler
2017,2017-11-26,11,12,,MIA,@,NWE,L 17-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jay Cutler
2017,2017-12-03,12,13,34.218,MIA,,DEN,W 35-9,True,18,31,58.06,235,2,2,76.7,2,13,7.58,5.97,1,1,1.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,96%,0,0%,0,0%,False,Jay Cutler
2017,2017-12-11,13,14,34.226,MIA,,NWE,W 27-20,True,25,38,65.79,263,3,0,112.1,2,21,6.92,8.50,4,4,1.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,73,100%,0,0%,0,0%,False,Jay Cutler
2017,2017-12-17,14,15,34.232,MIA,@,BUF,L 16-24,True,28,49,57.14,274,0,3,47.5,3,25,5.59,2.84,2,8,4.00,0,,0,0,0.0,0,0,0,,,4,0,0,4,0,0,74,100%,0,0%,0,0%,True,Jay Cutler
2017,2017-12-24,15,16,34.239,MIA,@,KAN,L 13-29,True,19,38,50.00,286,1,0,83.9,0,0,7.53,8.05,2,-1,-0.50,0,,0,0,0.0,0,0,0,,,1,0,0,1,-5,0,56,100%,0,0%,0,0%,True,Jay Cutler
2017,2017-12-31,16,17,34.246,MIA,,BUF,L 16-22,True,1,2,50.00,6,0,0,56.2,0,0,3.00,3.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,Jay Cutler
,153 Games,,,,,,,74-79-0,False,3048,4920,61.95,35133,227,160,85.3,322,2035,7.14,6.60,386,1682,4.36,9,1,9,56,0.0,1,0,1,0,0,95,38,0,32,-125,0,,,,,,,False,Jay Cutler
