Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-11-22,10,11,26.155,SDG,@,DEN,W 32-3,False,9,26,2.89,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,3,6,2.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,Darren Sproles
2009,2009-11-29,11,12,26.162,SDG,,KAN,W 43-14,False,9,17,1.89,0,6,5,66,13.20,0,83.3%,11.00,4,88,22.00,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2009,2009-12-06,12,13,26.169,SDG,@,CLE,W 30-23,False,7,27,3.86,0,5,4,56,14.00,1,80.0%,11.20,3,37,12.33,0,1,-1,-1.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2009,2009-12-13,13,14,26.176,SDG,@,DAL,W 20-17,False,7,22,3.14,0,1,1,3,3.00,0,100.0%,3.00,2,42,21.00,0,2,18,9.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2009,2009-12-20,14,15,26.183,SDG,,CIN,W 27-24,False,3,11,3.67,0,3,3,22,7.33,0,100.0%,7.33,2,73,36.50,0,3,5,1.67,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Darren Sproles
2009,2009-12-25,15,16,26.188,SDG,@,TEN,W 42-17,False,5,38,7.60,2,3,2,23,11.50,1,66.7%,7.67,4,85,21.25,0,1,6,6.00,0,,3,18,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Darren Sproles
2009,2010-01-03,16,17,26.197,SDG,,WAS,W 23-20,False,2,18,9.00,0,1,0,0,,0,0.0%,0.00,1,27,27.00,0,1,-1,-1.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-09-13,1,1,27.085,SDG,@,KAN,L 14-21,False,4,0,0.00,0,3,2,2,1.00,0,66.7%,0.67,2,32,16.00,0,5,33,6.60,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Darren Sproles
2010,2010-09-19,2,2,27.091,SDG,,JAX,W 38-13,False,5,37,7.40,0,4,4,63,15.75,0,100.0%,15.75,3,56,18.67,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-09-26,3,3,27.098,SDG,@,SEA,L 20-27,True,1,16,16.00,0,4,1,10,10.00,0,25.0%,2.50,4,101,25.25,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,Darren Sproles
2010,2010-10-03,4,4,27.105,SDG,,ARI,W 41-10,False,6,17,2.83,0,0,0,0,,0,0.0%,,2,51,25.50,0,3,19,6.33,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-10-10,5,5,27.112,SDG,@,OAK,L 27-35,False,2,1,0.50,0,4,3,32,10.67,0,75.0%,8.00,4,93,23.25,0,2,20,10.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Darren Sproles
2010,2010-10-17,6,6,27.119,SDG,@,STL,L 17-20,False,1,9,9.00,0,6,5,48,9.60,0,83.3%,8.00,5,115,23.00,0,2,13,6.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Darren Sproles
2010,2010-10-24,7,7,27.126,SDG,,NWE,L 20-23,False,2,7,3.50,0,9,9,70,7.78,0,100.0%,7.78,5,136,27.20,0,1,12,12.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-10-31,8,8,27.133,SDG,,TEN,W 33-25,False,4,41,10.25,0,6,4,36,9.00,1,66.7%,6.00,4,100,25.00,0,2,14,7.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-11-07,9,9,27.140,SDG,@,HOU,W 29-23,False,1,3,3.00,0,2,1,6,6.00,0,50.0%,3.00,4,114,28.50,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Darren Sproles
2010,2010-11-22,10,11,27.155,SDG,,DEN,W 35-14,True,5,14,2.80,0,9,5,60,12.00,1,55.6%,6.67,2,50,25.00,0,5,36,7.20,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Darren Sproles
2010,2010-11-28,11,12,27.161,SDG,@,IND,W 36-14,True,4,17,4.25,0,4,4,24,6.00,0,100.0%,6.00,3,89,29.67,0,2,19,9.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Darren Sproles
