Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-11-11,9.0,10.0,25.105,DAL,PHI,W 27-20,True,26,36,72.22,270,1,0,102.8,4,31,7.50,8.06,6,9,1.50,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,0,0,69,100%,0,0%,0,0%,True,Dak Prescott,True,27,20
2018.0,2018-11-18,10.0,11.0,25.112,DAL,ATL,W 22-19,True,22,32,68.75,208,0,0,86.5,2,17,6.50,6.50,4,5,1.25,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Dak Prescott,True,22,19
2018.0,2018-11-22,11.0,12.0,25.116,DAL,WAS,W 31-23,True,22,31,70.97,289,2,0,121.6,4,31,9.32,10.61,6,18,3.00,1,0,0,0,,0,0.0%,,,1,6,1,0,0,0,0,0,70,100%,0,0%,0,0%,False,Dak Prescott,True,31,23
2018.0,2018-11-29,12.0,13.0,25.123,DAL,NOR,W 13-10,True,24,28,85.71,249,1,0,115.6,7,40,8.89,9.61,5,22,4.40,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,71,100%,0,0%,0,0%,False,Dak Prescott,True,13,10
2018.0,2018-12-09,13.0,14.0,25.133,DAL,PHI,W 29-23,True,42,54,77.78,455,3,2,104.9,3,21,8.43,7.87,4,2,0.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,1,0,0,99,100%,0,0%,0,0%,False,Dak Prescott,True,29,23
2018.0,2018-12-16,14.0,15.0,25.14,DAL,IND,L 0-23,True,24,39,61.54,206,0,1,64.7,3,26,5.28,4.13,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,True,Dak Prescott,False,0,23
2018.0,2018-12-23,15.0,16.0,25.147,DAL,TAM,W 27-20,True,20,25,80.00,161,1,0,106.8,1,9,6.44,7.24,4,2,0.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,52,100%,0,0%,0,0%,False,Dak Prescott,True,27,20
2018.0,2018-12-30,16.0,17.0,25.154,DAL,NYG,W 36-35,True,27,44,61.36,387,4,0,120.2,4,19,8.80,10.61,4,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,True,Dak Prescott,True,36,35
2019.0,2019-09-08,1.0,1.0,26.041,DAL,NYG,W 35-17,True,25,32,78.13,405,4,0,158.3,0,0,12.66,15.16,4,12,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,False,Dak Prescott,True,35,17
2019.0,2019-09-15,2.0,2.0,26.048,DAL,WAS,W 31-21,True,26,30,86.67,269,3,1,123.5,1,8,8.97,9.47,5,69,13.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,True,Dak Prescott,True,31,21
2019.0,2019-09-22,3.0,3.0,26.055,DAL,MIA,W 31-6,True,19,32,59.38,246,2,1,91.4,1,5,7.69,7.53,2,7,3.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,72,100%,0,0%,0,0%,False,Dak Prescott,True,31,6
2019.0,2019-09-29,4.0,4.0,26.062,DAL,NOR,L 10-12,True,22,33,66.67,223,0,1,73.2,1,11,6.76,5.39,1,7,7.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,Dak Prescott,False,10,12
2019.0,2019-10-06,5.0,5.0,26.069,DAL,GNB,L 24-34,True,27,44,61.36,463,2,3,83.8,3,22,10.52,8.36,4,27,6.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Dak Prescott,False,24,34
2019.0,2019-10-13,6.0,6.0,26.076,DAL,NYJ,L 22-24,True,28,40,70.00,278,0,0,89.4,1,8,6.95,6.95,3,11,3.67,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,82,100%,0,0%,0,0%,True,Dak Prescott,False,22,24
2019.0,2019-10-20,7.0,7.0,26.083,DAL,PHI,W 37-10,True,21,27,77.78,239,1,1,100.5,3,26,8.85,7.93,5,30,6.00,1,0,0,0,,0,0.0%,,,1,6,1,0,0,0,0,0,69,100%,0,0%,0,0%,False,Dak Prescott,True,37,10
2019.0,2019-11-04,8.0,9.0,26.098,DAL,NYG,W 37-18,True,22,35,62.86,257,3,1,101.7,0,0,7.34,7.77,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-5,0,69,100%,0,0%,0,0%,True,Dak Prescott,True,37,18
2019.0,2019-11-10,9.0,10.0,26.104,DAL,MIN,L 24-28,True,28,46,60.87,397,3,1,101.4,1,4,8.63,8.96,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Dak Prescott,False,24,28
2019.0,2019-11-17,10.0,11.0,26.111,DAL,DET,W 35-27,True,29,46,63.04,444,3,0,116.6,1,10,9.65,10.96,6,18,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,True,Dak Prescott,True,35,27
2019.0,2019-11-24,11.0,12.0,26.118,DAL,NWE,L 9-13,True,19,33,57.58,212,0,1,64.2,0,0,6.42,5.06,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Dak Prescott,False,9,13
2019.0,2019-11-28,12.0,13.0,26.122,DAL,BUF,L 15-26,True,32,49,65.31,355,2,1,91.8,4,32,7.24,7.14,4,25,6.25,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,76,100%,0,0%,0,0%,False,Dak Prescott,False,15,26
2019.0,2019-12-05,13.0,14.0,26.129,DAL,CHI,L 24-31,True,27,49,55.10,334,1,0,83.2,2,8,6.82,7.22,3,1,0.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,True,Dak Prescott,False,24,31
2019.0,2019-12-15,14.0,15.0,26.139,DAL,LAR,W 44-21,True,15,23,65.22,212,2,0,123.8,0,0,9.22,10.96,7,12,1.71,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,68,97%,0,0%,0,0%,False,Dak Prescott,True,44,21
2019.0,2019-12-22,15.0,16.0,26.146,DAL,PHI,L 9-17,True,25,44,56.82,265,0,0,74.5,2,8,6.02,6.02,1,7,7.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,True,Dak Prescott,False,9,17
2019.0,2019-12-29,16.0,17.0,26.153,DAL,WAS,W 47-16,True,23,33,69.70,303,4,0,138.0,3,9,9.18,11.61,3,35,11.67,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,75,99%,0,0%,0,0%,False,Dak Prescott,True,47,16
2020.0,2020-09-13,1.0,1.0,27.046,DAL,LAR,L 17-20,True,25,39,64.10,266,1,0,92.5,3,22,6.82,7.33,3,30,10.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,True,Dak Prescott,False,17,20
2020.0,2020-09-20,2.0,2.0,27.053,DAL,ATL,W 40-39,True,34,47,72.34,450,1,0,109.4,1,5,9.57,10.00,5,18,3.60,3,0,0,0,,0,0.0%,,,3,18,1,1,0,0,0,0,80,98%,0,0%,0,0%,False,Dak Prescott,True,40,39
2020.0,2020-09-27,3.0,3.0,27.06,DAL,SEA,L 31-38,True,37,57,64.91,472,3,2,93.6,2,11,8.28,7.75,6,26,4.33,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,82,100%,0,0%,0,0%,True,Dak Prescott,False,31,38
2020.0,2020-10-04,4.0,4.0,27.067,DAL,CLE,L 38-49,True,41,58,70.69,502,4,1,112.9,3,21,8.66,9.26,2,12,6.00,0,0,0,0,,0,0.0%,,1,0,2,1,1,0,0,0,0,82,100%,0,0%,0,0%,False,Dak Prescott,False,38,49
2020.0,2020-10-11,5.0,5.0,27.074,DAL,NYG,W 37-34,True,14,21,66.67,166,0,1,70.7,1,7,7.90,5.76,2,7,3.50,0,1,1,11,11.00,1,100.0%,11.00,,1,6,0,0,0,0,0,0,44,67%,0,0%,0,0%,False,Dak Prescott,True,37,34
2020.0,2020-10-19,6.0,6.0,,DAL,ARI,L 10-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Dak Prescott,False,10,38
