Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
1996,1996-10-27,8,9,23.302,CAR,PHI,True,16,34,47.06,248,0,0,71.7,1,9,7.29,7.29,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,False,9,20,Kerry Collins
1996,1996-11-03,9,10,23.309,CAR,ATL,True,14,21,66.67,222,0,0,101.7,1,3,10.57,10.57,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,17,20,Kerry Collins
1996,1996-11-10,10,11,23.316,CAR,NYG,True,19,33,57.58,202,1,1,73.0,0,0,6.12,5.36,5,1,0.20,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,27,17,Kerry Collins
1996,1996-11-17,11,12,,CAR,STL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,20,10,Kerry Collins
1996,1996-11-24,12,13,,CAR,HOU,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,31,6,Kerry Collins
1996,1996-12-01,13,14,23.337,CAR,TAM,True,14,24,58.33,83,0,0,65.1,0,0,3.46,3.46,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,24,0,Kerry Collins
1996,1996-12-08,14,15,23.344,CAR,SFO,True,22,37,59.46,327,3,0,115.5,1,3,8.84,10.46,5,3,0.60,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,30,24,Kerry Collins
1996,1996-12-15,15,16,23.351,CAR,BAL,True,26,39,66.67,268,2,2,82.0,0,0,6.87,5.59,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,1,0,0,False,True,27,16,Kerry Collins
1996,1996-12-22,16,17,23.358,CAR,PIT,True,21,39,53.85,166,1,0,73.2,2,18,4.26,4.77,1,-2,-2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,True,18,14,Kerry Collins
1997,1997-08-31,1,1,,CAR,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,24,Kerry Collins
1997,1997-09-07,2,2,,CAR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,9,6,Kerry Collins
1997,1997-09-14,3,3,24.258,CAR,SDG,True,17,36,47.22,138,2,1,64.4,0,0,3.83,3.69,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,26,7,Kerry Collins
1997,1997-09-21,4,4,24.265,CAR,KAN,True,24,47,51.06,328,1,4,45.3,5,50,6.98,3.57,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,1,0,0,0,0,False,False,14,35,Kerry Collins
1997,1997-09-29,5,5,24.273,CAR,SFO,True,11,24,45.83,126,1,3,36.5,2,10,5.25,0.46,4,10,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,False,21,34,Kerry Collins
1997,1997-10-12,6,7,,CAR,MIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,14,21,Kerry Collins
1997,1997-10-19,7,8,24.293,CAR,NOR,True,23,31,74.19,204,1,1,88.6,1,8,6.58,5.77,2,-3,-1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,13,0,Kerry Collins
1997,1997-10-26,8,9,24.300,CAR,ATL,True,12,25,48.00,107,1,1,56.6,3,16,4.28,3.28,5,7,1.40,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,21,12,Kerry Collins
1997,1997-11-02,9,10,24.307,CAR,OAK,True,18,32,56.25,198,0,0,74.7,1,6,6.19,6.19,3,29,9.67,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,38,14,Kerry Collins
1997,1997-11-09,10,11,24.314,CAR,DEN,True,13,29,44.83,141,0,3,20.1,4,28,4.86,0.21,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,1,-3,0,True,False,0,34,Kerry Collins
1997,1997-11-16,11,12,24.321,CAR,SFO,True,18,33,54.55,190,1,3,43.8,3,21,5.76,2.27,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,19,27,Kerry Collins
1997,1997-11-23,12,13,24.328,CAR,STL,True,23,30,76.67,286,1,0,116.8,4,32,9.53,10.20,4,-1,-0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,True,16,10,Kerry Collins
1997,1997-11-30,13,14,24.335,CAR,NOR,True,7,15,46.67,82,0,2,24.2,0,0,5.47,-0.53,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,13,16,Kerry Collins
1997,1997-12-08,14,15,24.343,CAR,DAL,True,16,28,57.14,136,2,0,93.7,1,5,4.86,6.29,1,-2,-2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,True,23,13,Kerry Collins
1997,1997-12-14,15,16,24.349,CAR,GNB,True,7,26,26.92,56,0,0,39.6,3,24,2.15,2.15,2,10,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,1,-11,0,False,False,10,31,Kerry Collins
1997,1997-12-20,16,17,24.355,CAR,STL,True,11,25,44.00,132,1,3,34.5,0,0,5.28,0.68,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,False,False,18,30,Kerry Collins
1998,1998-09-06,1,1,25.250,CAR,ATL,True,21,37,56.76,270,2,1,86.5,1,7,7.30,7.16,3,12,4.00,0,1,1,-11,-11.00,0,100.0%,-11.00,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,14,19,Kerry Collins
1998,1998-09-13,2,2,25.257,CAR,NOR,True,15,34,44.12,251,1,1,67.2,3,13,7.38,6.65,1,16,16.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,1,0,0,0,0,True,False,14,19,Kerry Collins
1998,1998-09-27,3,4,25.271,CAR,GNB,True,20,53,37.74,188,2,1,53.0,4,18,3.55,3.45,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,False,False,30,37,Kerry Collins
1998,1998-10-04,4,5,25.278,CAR,ATL,True,20,38,52.63,302,3,2,83.4,2,13,7.95,7.16,2,9,4.50,0,0,0,0,,0,0.0%,,1,0,2,0.0,,,,,,2,1,0,0,-1,0,True,False,23,51,Kerry Collins
1998,1998-10-11,5,6,,CAR,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,20,27,Kerry Collins
1998,1998-10-18,6,7,,NOR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,23,31,Kerry Collins
1998,1998-10-25,7,8,,NOR,TAM,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,9,3,Kerry Collins
1998,1998-11-01,8,9,,NOR,CAR,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,17,31,Kerry Collins
1998,1998-11-08,9,10,,NOR,MIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,24,31,Kerry Collins
1998,1998-11-15,10,11,25.320,NOR,STL,True,13,26,50.00,150,1,0,80.6,2,15,5.77,6.54,7,38,5.43,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,1,-5,0,False,True,24,3,Kerry Collins
1998,1998-11-22,11,12,25.327,NOR,SFO,True,22,44,50.00,328,0,2,55.9,4,17,7.45,5.41,6,30,5.00,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,1,0,0,0,0,0,True,False,20,31,Kerry Collins
1998,1998-11-29,12,13,25.334,NOR,MIA,True,9,24,37.50,110,0,3,12.8,6,40,4.58,-1.04,5,35,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,1,0,1,0,0,True,False,10,30,Kerry Collins
1998,1998-12-06,13,14,25.341,NOR,DAL,True,16,28,57.14,239,2,1,94.2,2,24,8.54,8.36,4,10,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,22,3,Kerry Collins
1998,1998-12-13,14,15,25.348,NOR,ATL,True,6,14,42.86,87,0,3,24.1,1,5,6.21,-3.43,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,False,17,27,Kerry Collins
1998,1998-12-20,15,16,25.355,NOR,ARI,True,25,43,58.14,265,1,0,84.0,4,27,6.16,6.63,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,1,0,0,-3,0,True,False,17,19,Kerry Collins
1998,1998-12-27,16,17,25.362,NOR,BUF,True,3,12,25.00,23,0,1,4.9,2,12,1.92,-1.83,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,False,33,45,Kerry Collins
1999,1999-09-12,1,1,,NYG,TAM,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,17,13,Kerry Collins
1999,1999-09-19,2,2,26.263,NYG,WAS,False,3,7,42.86,44,0,1,24.4,0,0,6.29,-0.14,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,21,50,Kerry Collins
1999,1999-09-26,3,3,,NYG,NWE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,14,16,Kerry Collins
1999,1999-10-03,4,4,26.277,NYG,PHI,False,6,12,50.00,86,0,0,73.6,1,11,7.17,7.17,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,False,True,16,15,Kerry Collins
1999,1999-10-10,5,5,26.284,NYG,ARI,True,24,38,63.16,202,0,1,65.9,3,24,5.32,4.13,4,23,5.75,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,True,False,3,14,Kerry Collins
1999,1999-10-18,6,6,,NYG,DAL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,13,10,Kerry Collins
1999,1999-10-24,7,7,,NYG,NOR,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,31,3,Kerry Collins
1999,1999-10-31,8,8,,NYG,PHI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,23,17,Kerry Collins
1999,1999-11-14,9,10,,NYG,IND,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,19,27,Kerry Collins
1999,1999-11-21,10,11,26.326,NYG,WAS,False,13,21,61.90,221,0,1,77.7,1,9,10.52,8.38,4,-3,-0.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,3,0,0,1,-19,0,True,False,13,23,Kerry Collins
1999,1999-11-28,11,12,26.333,NYG,ARI,True,22,45,48.89,298,1,3,50.0,2,16,6.62,4.07,1,1,1.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,,2,1,0,0,0,0,False,False,24,34,Kerry Collins
1999,1999-12-05,12,13,26.340,NYG,NYJ,True,17,29,58.62,341,3,0,134.4,1,3,11.76,13.83,1,1,1.00,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,41,28,Kerry Collins
1999,1999-12-12,13,14,26.347,NYG,BUF,True,23,44,52.27,240,1,1,66.5,0,0,5.45,4.89,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,True,True,19,17,Kerry Collins
1999,1999-12-19,14,15,26.354,NYG,STL,True,21,37,56.76,273,1,2,66.6,2,12,7.38,5.49,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,10,31,Kerry Collins
1999,1999-12-26,15,16,26.361,NYG,MIN,True,31,51,60.78,297,1,1,75.4,5,29,5.82,5.33,3,10,3.33,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,,2,0,0,1,-1,0,False,False,17,34,Kerry Collins
1999,2000-01-02,16,17,27.003,NYG,DAL,True,30,47,63.83,316,1,1,81.5,1,8,6.72,6.19,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,-7,0,True,False,18,26,Kerry Collins
2000,2000-09-03,1,1,27.248,NYG,ARI,True,17,25,68.00,172,0,1,70.7,0,0,6.88,5.08,5,1,0.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,0,0,1,-8,0,False,True,21,16,Kerry Collins
2000,2000-09-10,2,2,27.255,NYG,PHI,True,21,29,72.41,220,2,0,117.0,1,0,7.59,8.97,5,2,0.40,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,True,True,33,18,Kerry Collins
2000,2000-09-17,3,3,27.262,NYG,CHI,True,24,33,72.73,251,1,0,104.5,2,14,7.61,8.21,3,1,0.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,14,7,Kerry Collins
2000,2000-09-24,4,4,27.269,NYG,WAS,True,21,44,47.73,210,1,1,59.8,4,42,4.77,4.20,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,6,16,Kerry Collins
