Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-10-16,6,6,26.218,DET,,LAR,W 31-28,True,6,2,10,5.00,1,33.3%,1.67,1,3,3.00,0,1,6,0.0,0,0,0,,,56,90%,0,0%,0,0%,False,Marvin Jones
2016,2016-10-23,7,7,26.225,DET,,WAS,W 20-17,True,5,4,94,23.50,0,80.0%,18.80,0,0,,0,0,0,0.0,0,0,0,,,49,92%,0,0%,0,0%,False,Marvin Jones
2016,2016-10-30,8,8,26.232,DET,@,HOU,L 13-20,True,7,3,33,11.00,0,42.9%,4.71,0,0,,0,0,0,0.0,0,0,0,,,60,98%,0,0%,0,0%,True,Marvin Jones
2016,2016-11-06,9,9,26.239,DET,@,MIN,W 22-16,True,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,0,0.0,0,0,0,,,62,94%,0,0%,0,0%,True,Marvin Jones
2016,2016-11-20,10,11,26.253,DET,,JAX,W 26-19,True,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,0.0,0,0,0,,,51,89%,0,0%,0,0%,False,Marvin Jones
2016,2016-11-24,11,12,26.257,DET,,MIN,W 16-13,True,11,4,54,13.50,0,36.4%,4.91,0,0,,0,0,0,0.0,0,0,0,,,59,97%,0,0%,0,0%,False,Marvin Jones
2016,2016-12-04,12,13,,DET,@,NOR,W 28-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marvin Jones
2016,2016-12-11,13,14,26.274,DET,,CHI,W 20-17,True,5,4,67,16.75,0,80.0%,13.40,0,0,,0,0,0,0.0,0,0,0,,,60,83%,0,0%,0,0%,False,Marvin Jones
2016,2016-12-18,14,15,26.281,DET,@,NYG,L 6-17,True,5,3,41,13.67,0,60.0%,8.20,0,0,,0,0,0,0.0,0,0,0,,,51,82%,0,0%,0,0%,True,Marvin Jones
2016,2016-12-26,15,16,26.289,DET,@,DAL,L 21-42,True,7,1,16,16.00,0,14.3%,2.29,0,0,,0,0,0,0.0,0,0,0,,,56,79%,0,0%,0,0%,True,Marvin Jones
2016,2017-01-01,16,17,26.295,DET,,GNB,L 24-31,True,9,5,76,15.20,0,55.6%,8.44,0,0,,0,0,0,0.0,0,0,0,,,62,94%,0,0%,0,0%,False,Marvin Jones
2017,2017-09-10,1,1,27.182,DET,,ARI,W 35-23,True,2,2,37,18.50,1,100.0%,18.50,0,0,,0,1,6,0.0,0,0,0,,,68,96%,0,0%,0,0%,False,Marvin Jones
2017,2017-09-18,2,2,27.190,DET,@,NYG,W 24-10,True,5,1,27,27.00,1,20.0%,5.40,0,0,,0,1,6,0.0,0,0,0,,,56,90%,0,0%,0,0%,True,Marvin Jones
2017,2017-09-24,3,3,27.196,DET,,ATL,L 26-30,True,6,3,24,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,0,0,0,,,68,97%,0,0%,0,0%,False,Marvin Jones
2017,2017-10-01,4,4,27.203,DET,@,MIN,W 14-7,True,5,2,42,21.00,0,40.0%,8.40,0,0,,0,0,0,0.0,0,0,0,,,64,91%,0,0%,0,0%,True,Marvin Jones
2017,2017-10-08,5,5,27.210,DET,,CAR,L 24-27,True,8,6,54,9.00,0,75.0%,6.75,0,0,,0,0,0,0.0,0,0,0,,,58,95%,0,0%,0,0%,False,Marvin Jones
2017,2017-10-15,6,6,27.217,DET,@,NOR,L 38-52,True,14,6,96,16.00,1,42.9%,6.86,0,0,,0,1,6,0.0,0,0,0,,,80,99%,0,0%,0,0%,True,Marvin Jones
2017,2017-10-29,7,8,27.231,DET,,PIT,L 15-20,True,11,6,128,21.33,0,54.5%,11.64,0,0,,0,0,0,0.0,0,0,0,,,68,96%,0,0%,0,0%,False,Marvin Jones
2017,2017-11-06,8,9,27.239,DET,@,GNB,W 30-17,True,11,7,107,15.29,2,63.6%,9.73,0,0,,0,2,12,0.0,0,0,0,,,65,96%,0,0%,0,0%,True,Marvin Jones
2017,2017-11-12,9,10,27.245,DET,,CLE,W 38-24,True,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,0.0,0,0,0,,,50,96%,0,0%,0,0%,False,Marvin Jones
2017,2017-11-19,10,11,27.252,DET,@,CHI,W 27-24,True,7,4,85,21.25,1,57.1%,12.14,0,0,,0,1,6,0.0,0,0,0,,,62,98%,0,0%,0,0%,True,Marvin Jones
2017,2017-11-23,11,12,27.256,DET,,MIN,L 23-30,True,9,6,109,18.17,2,66.7%,12.11,0,0,,0,2,12,0.0,0,0,0,,,59,100%,0,0%,0,0%,False,Marvin Jones
2017,2017-12-03,12,13,27.266,DET,@,BAL,L 20-44,True,8,4,90,22.50,0,50.0%,11.25,0,0,,0,0,0,0.0,0,0,0,,,59,94%,0,0%,0,0%,True,Marvin Jones
2017,2017-12-10,13,14,27.273,DET,@,TAM,W 24-21,True,4,3,64,21.33,0,75.0%,16.00,0,0,,0,0,0,0.0,0,0,0,,,67,99%,0,0%,0,0%,True,Marvin Jones
2017,2017-12-16,14,15,27.279,DET,,CHI,W 20-10,True,5,3,85,28.33,0,60.0%,17.00,0,0,,0,0,0,0.0,0,0,0,,,62,98%,0,0%,1,4%,False,Marvin Jones
2017,2017-12-24,15,16,27.287,DET,@,CIN,L 17-26,True,5,3,50,16.67,0,60.0%,10.00,0,0,,0,0,0,0.0,0,0,0,,,61,100%,0,0%,0,0%,True,Marvin Jones
2017,2017-12-31,16,17,27.294,DET,,GNB,W 35-11,True,5,4,81,20.25,1,80.0%,16.20,0,0,,0,1,6,0.0,0,0,0,,,55,95%,0,0%,1,4%,False,Marvin Jones
2018,2018-09-10,1,1,28.182,DET,,NYJ,L 17-48,True,8,4,54,13.50,0,50.0%,6.75,0,0,,0,0,0,0.0,0,0,0,0,0,62,89%,0,0%,0,0%,False,Marvin Jones
2018,2018-09-16,2,2,28.188,DET,@,SFO,L 27-30,True,9,4,54,13.50,1,44.4%,6.00,0,0,,0,1,6,0.0,0,0,0,,,77,100%,0,0%,0,0%,True,Marvin Jones
2018,2018-09-23,3,3,28.195,DET,,NWE,W 26-10,True,6,4,69,17.25,1,66.7%,11.50,0,0,,0,1,6,0.0,0,0,0,,,67,92%,0,0%,0,0%,False,Marvin Jones
