Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-25,3,3,,NWE,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,31,34,Aaron Hernandez
2011,2011-10-02,4,4,,NWE,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,31,19,Aaron Hernandez
2011,2011-10-09,5,5,21.337,NWE,NYJ,True,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,30,21,Aaron Hernandez
2011,2011-10-16,6,6,21.344,NWE,DAL,True,14,8,68,8.50,1,57.1%,4.86,0,0,,0,1,6,0,0,0,0,1,1,0,0,0,0,,,,,,,False,True,20,16,Aaron Hernandez
2011,2011-10-30,7,8,21.358,NWE,PIT,True,4,2,9,4.50,1,50.0%,2.25,1,2,2.00,0,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,25,Aaron Hernandez
2011,2011-11-06,8,9,22.000,NWE,NYG,False,5,4,35,8.75,1,80.0%,7.00,0,0,,0,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,20,24,Aaron Hernandez
2011,2011-11-13,9,10,22.007,NWE,NYJ,True,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,37,16,Aaron Hernandez
2011,2011-11-21,10,11,22.015,NWE,KAN,True,7,4,44,11.00,0,57.1%,6.29,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,34,3,Aaron Hernandez
2011,2011-11-27,11,12,22.021,NWE,PHI,False,7,6,62,10.33,0,85.7%,8.86,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,38,20,Aaron Hernandez
2011,2011-12-04,12,13,22.028,NWE,IND,True,9,7,43,6.14,0,77.8%,4.78,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,31,24,Aaron Hernandez
2011,2011-12-11,13,14,22.035,NWE,WAS,True,7,5,84,16.80,0,71.4%,12.00,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,34,27,Aaron Hernandez
2011,2011-12-18,14,15,22.042,NWE,DEN,True,11,9,129,14.33,1,81.8%,11.73,1,16,16.00,0,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,41,23,Aaron Hernandez
2011,2011-12-24,15,16,22.048,NWE,MIA,True,6,4,36,9.00,0,66.7%,6.00,1,1,1.00,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,27,24,Aaron Hernandez
2011,2012-01-01,16,17,22.056,NWE,BUF,True,11,7,138,19.71,1,63.6%,12.55,2,26,13.00,0,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,49,21,Aaron Hernandez
2012,2012-09-09,1,1,22.308,NWE,TEN,True,7,6,59,9.83,1,85.7%,8.43,1,5,5.00,0,1,6,0,0,0,0,0,0,0,0,0,0,66,99%,0,0%,2,7%,True,True,34,13,Aaron Hernandez
2012,2012-09-16,2,2,22.315,NWE,ARI,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,False,18,20,Aaron Hernandez
2012,2012-09-23,3,3,,NWE,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,30,31,Aaron Hernandez
2012,2012-09-30,4,4,,NWE,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,52,28,Aaron Hernandez
2012,2012-10-07,5,5,,NWE,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,21,Aaron Hernandez
2012,2012-10-14,6,6,22.343,NWE,SEA,True,9,6,30,5.00,1,66.7%,3.33,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,38,44%,0,0%,0,0%,True,False,23,24,Aaron Hernandez
2012,2012-10-21,7,7,22.350,NWE,NYJ,True,7,5,54,10.80,0,71.4%,7.71,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,56,71%,0,0%,0,0%,False,True,29,26,Aaron Hernandez
2012,2012-10-28,8,8,,NWE,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,45,7,Aaron Hernandez
2012,2012-11-11,9,10,,NWE,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,37,31,Aaron Hernandez
2012,2012-11-18,10,11,,NWE,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,59,24,Aaron Hernandez
2012,2012-11-22,11,12,23.016,NWE,NYJ,True,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,55,81%,0,0%,0,0%,True,True,49,19,Aaron Hernandez
2012,2012-12-02,12,13,23.026,NWE,MIA,True,13,8,97,12.13,0,61.5%,7.46,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,True,True,23,16,Aaron Hernandez
2012,2012-12-10,13,14,23.034,NWE,HOU,True,11,8,58,7.25,2,72.7%,5.27,0,0,,0,2,12,0,0,0,0,0,0,0,1,0,0,68,89%,0,0%,0,0%,False,True,42,14,Aaron Hernandez
2012,2012-12-16,14,15,23.040,NWE,SFO,True,19,10,92,9.20,1,52.6%,4.84,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,94,100%,0,0%,0,0%,False,False,34,41,Aaron Hernandez
2012,2012-12-23,15,16,23.047,NWE,JAX,True,5,1,13,13.00,0,20.0%,2.60,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,56,77%,0,0%,0,0%,True,True,23,16,Aaron Hernandez
2012,2012-12-30,16,17,23.054,NWE,MIA,True,8,5,44,8.80,0,62.5%,5.50,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,48,62%,0,0%,0,0%,False,True,28,0,Aaron Hernandez
,38 Games,,,,,,False,260,175,1956,11.18,18,67.3%,7.52,9,97,10.78,0,18,108,0,0,0,1,1,1,0,1,0,0,,,,,,,False,False,7,0,Aaron Hernandez
