Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,23.112,CAR,@,SFO,W 23-3,True,2,2,20,10.00,0,100.0%,10.00,,0,0,0,0,0,0,0,0,45,67%,0,0%,0,0%,True,Devin Funchess
2017,2017-09-17,2,2,23.119,CAR,,BUF,W 9-3,True,6,4,68,17.00,0,66.7%,11.33,,0,0,0,0,0,0,0,0,57,83%,0,0%,0,0%,False,Devin Funchess
2017,2017-09-24,3,3,23.126,CAR,,NOR,L 13-34,True,10,4,58,14.50,0,40.0%,5.80,,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,False,Devin Funchess
2017,2017-10-01,4,4,23.133,CAR,@,NWE,W 33-30,True,9,7,70,10.00,2,77.8%,7.78,,2,12,0,0,0,0,0,0,58,92%,0,0%,0,0%,True,Devin Funchess
2017,2017-10-08,5,5,23.140,CAR,@,DET,W 27-24,True,8,7,53,7.57,1,87.5%,6.63,,1,6,0,0,0,0,0,0,41,62%,0,0%,0,0%,True,Devin Funchess
2017,2017-10-12,6,6,23.144,CAR,,PHI,L 23-28,True,9,3,36,12.00,0,33.3%,4.00,,0,0,0,0,0,0,0,0,69,84%,0,0%,0,0%,False,Devin Funchess
2017,2017-10-22,7,7,23.154,CAR,@,CHI,L 3-17,True,8,4,41,10.25,0,50.0%,5.13,,0,0,0,0,0,0,0,0,56,78%,0,0%,0,0%,True,Devin Funchess
2017,2017-10-29,8,8,23.161,CAR,@,TAM,W 17-3,True,6,2,11,5.50,0,33.3%,1.83,,0,0,0,0,0,0,0,0,43,66%,0,0%,0,0%,True,Devin Funchess
2017,2017-11-05,9,9,23.168,CAR,,ATL,W 20-17,True,7,5,86,17.20,0,71.4%,12.29,,0,0,0,0,0,0,0,0,48,74%,0,0%,1,4%,False,Devin Funchess
2017,2017-11-13,10,10,23.176,CAR,,MIA,W 45-21,True,6,5,92,18.40,2,83.3%,15.33,,2,12,0,0,0,0,0,0,56,77%,0,0%,0,0%,False,Devin Funchess
2017,2017-11-26,11,12,23.189,CAR,@,NYJ,W 35-27,True,12,7,108,15.43,0,58.3%,9.00,,0,0,0,0,0,0,0,0,59,83%,0,0%,0,0%,True,Devin Funchess
2017,2017-12-03,12,13,23.196,CAR,@,NOR,L 21-31,True,7,4,60,15.00,1,57.1%,8.57,,1,6,0,0,0,0,0,0,47,82%,0,0%,1,3%,True,Devin Funchess
2017,2017-12-10,13,14,23.203,CAR,,MIN,W 31-24,True,7,3,59,19.67,1,42.9%,8.43,,1,6,0,0,0,0,0,0,45,70%,0,0%,0,0%,False,Devin Funchess
2017,2017-12-17,14,15,23.210,CAR,,GNB,W 31-24,True,4,1,19,19.00,0,25.0%,4.75,,0,0,0,0,0,0,0,0,60,85%,0,0%,1,4%,False,Devin Funchess
2017,2017-12-24,15,16,23.217,CAR,,TAM,W 22-19,True,4,3,11,3.67,0,75.0%,2.75,,0,0,0,0,0,0,0,0,54,89%,0,0%,1,4%,False,Devin Funchess
2017,2017-12-31,16,17,23.224,CAR,@,ATL,L 10-22,True,6,2,48,24.00,1,33.3%,8.00,,1,6,0,0,0,0,0,0,53,87%,0,0%,0,0%,True,Devin Funchess
2018,2018-09-09,1,1,24.111,CAR,,DAL,W 16-8,True,5,3,41,13.67,0,60.0%,8.20,,0,0,0,0,0,0,0,0,57,85%,0,0%,0,0%,False,Devin Funchess
2018,2018-09-16,2,2,24.118,CAR,@,ATL,L 24-31,True,9,7,77,11.00,0,77.8%,8.56,,0,0,0,0,0,0,0,0,66,99%,0,0%,0,0%,True,Devin Funchess
2018,2018-09-23,3,3,24.125,CAR,,CIN,W 31-21,True,7,4,67,16.75,1,57.1%,9.57,,1,6,0,0,0,0,0,0,52,78%,0,0%,0,0%,False,Devin Funchess
2018,2018-10-07,4,5,24.139,CAR,,NYG,W 33-31,True,7,4,53,13.25,0,57.1%,7.57,,0,0,0,0,0,0,0,0,51,72%,0,0%,0,0%,False,Devin Funchess
2018,2018-10-14,5,6,24.146,CAR,@,WAS,L 17-23,True,8,5,74,14.80,1,62.5%,9.25,,1,6,0,0,0,0,0,0,58,97%,0,0%,0,0%,True,Devin Funchess
2018,2018-10-21,6,7,24.153,CAR,@,PHI,W 21-17,True,11,6,62,10.33,1,54.5%,5.64,,1,6,0,0,0,0,0,0,54,92%,0,0%,0,0%,True,Devin Funchess
2018,2018-10-28,7,8,24.160,CAR,,BAL,W 36-21,True,3,3,27,9.00,0,100.0%,9.00,,0,0,0,0,0,0,0,0,48,74%,0,0%,1,4%,False,Devin Funchess
2018,2018-11-04,8,9,24.167,CAR,,TAM,W 42-28,True,5,4,44,11.00,0,80.0%,8.80,,0,0,0,0,0,0,0,0,45,73%,0,0%,0,0%,False,Devin Funchess
2018,2018-11-08,9,10,24.171,CAR,@,PIT,L 21-52,True,5,3,32,10.67,0,60.0%,6.40,,0,0,0,0,0,0,0,0,49,86%,0,0%,0,0%,True,Devin Funchess
2018,2018-11-18,10,11,24.181,CAR,@,DET,L 19-20,True,8,2,39,19.50,0,25.0%,4.88,,0,0,0,0,0,0,0,0,48,83%,0,0%,0,0%,True,Devin Funchess
2018,2018-11-25,11,12,,CAR,,SEA,L 27-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Devin Funchess
2018,2018-12-02,12,13,24.195,CAR,@,TAM,L 17-24,True,3,1,10,10.00,1,33.3%,3.33,,1,6,0,0,0,0,0,0,32,46%,0,0%,0,0%,True,Devin Funchess
2018,2018-12-09,13,14,24.202,CAR,@,CLE,L 20-26,True,3,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,29,39%,0,0%,0,0%,True,Devin Funchess
2018,2018-12-17,14,15,24.210,CAR,,NOR,L 9-12,False,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,11,19%,0,0%,0,0%,False,Devin Funchess
2018,2018-12-23,15,16,24.216,CAR,,ATL,L 10-24,False,4,2,23,11.50,0,50.0%,5.75,,0,0,0,0,0,0,0,0,22,24%,0,0%,0,0%,False,Devin Funchess
2018,2018-12-30,16,17,,CAR,@,NOR,W 33-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Devin Funchess
2019,2019-09-08,1,1,25.110,IND,@,LAC,L 24-30,True,5,3,32,10.67,0,60.0%,6.40,,0,0,0,0,0,0,0,0,36,57%,0,0%,0,0%,True,Devin Funchess
2019,2019-09-15,2,2,,IND,@,TEN,W 19-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Devin Funchess
2019,2019-09-22,3,3,,IND,,ATL,W 27-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Devin Funchess
2019,2019-09-29,4,4,,IND,,OAK,L 24-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Devin Funchess
2019,2019-10-06,5,5,,IND,@,KAN,W 19-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Devin Funchess
2019,2019-10-20,6,7,,IND,,HOU,W 30-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Devin Funchess
2019,2019-10-27,7,8,,IND,,DEN,W 15-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Devin Funchess
2019,2019-11-03,8,9,,IND,@,PIT,L 24-26,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Devin Funchess
2019,2019-11-10,9,10,,IND,,MIA,L 12-16,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Devin Funchess
