Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,24.207,WAS,HOU,L 6-17,True,29,37,78.38,267,0,0,96.7,3,26,7.22,7.22,3,2,0.67,0,,0,0,2,1,0,1,-3,0,65,100%,0,0%,0,0%,True,Robert Griffin III,False,6,17
2014.0,2014-09-14,2.0,2.0,24.214,WAS,JAX,W 41-10,True,2,3,66.67,38,0,0,109.7,1,9,12.67,12.67,2,22,11.00,0,,0,0,0,0,0,0,0,0,9,11%,0,0%,0,0%,False,Robert Griffin III,True,41,10
2014.0,2014-09-21,3.0,3.0,,WAS,PHI,L 34-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,34,37
2014.0,2014-09-25,4.0,4.0,,WAS,NYG,L 14-45,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,False,14,45
2014.0,2014-10-06,5.0,5.0,,WAS,SEA,L 17-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,False,17,27
2014.0,2014-10-12,6.0,6.0,,WAS,ARI,L 20-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,20,30
2014.0,2014-10-19,7.0,7.0,,WAS,TEN,W 19-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,True,19,17
2014.0,2014-10-27,8.0,8.0,,WAS,DAL,W 20-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,True,20,17
2014.0,2014-11-02,9.0,9.0,24.263,WAS,MIN,L 26-29,True,18,28,64.29,251,1,1,90.0,5,26,8.96,8.07,7,24,3.43,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,True,Robert Griffin III,False,26,29
2014.0,2014-11-16,10.0,11.0,24.277,WAS,TAM,L 7-27,True,23,32,71.88,207,1,2,73.3,6,40,6.47,4.28,6,41,6.83,0,,0,0,1,0,0,1,0,0,72,100%,0,0%,0,0%,False,Robert Griffin III,False,7,27
2014.0,2014-11-23,11.0,12.0,24.284,WAS,SFO,L 13-17,True,11,19,57.89,106,0,0,73.6,5,29,5.58,5.58,4,11,2.75,0,,0,0,1,1,0,0,0,0,55,100%,0,0%,0,0%,True,Robert Griffin III,False,13,17
2014.0,2014-11-30,12.0,13.0,,WAS,IND,L 27-49,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Robert Griffin III,False,27,49
2014.0,2014-12-07,13.0,14.0,24.298,WAS,STL,L 0-24,False,3,4,75.00,33,0,0,99.0,1,8,8.25,8.25,0,0,,0,,0,0,0,0,0,0,0,0,5,9%,0,0%,0,0%,False,Robert Griffin III,False,0,24
2014.0,2014-12-14,14.0,15.0,24.305,WAS,NYG,L 13-24,False,18,27,66.67,236,1,0,106.4,7,47,8.74,9.48,5,46,9.20,0,,0,0,3,1,0,0,0,0,58,83%,0,0%,0,0%,True,Robert Griffin III,False,13,24
2014.0,2014-12-20,15.0,16.0,24.311,WAS,PHI,W 27-24,True,16,23,69.57,220,0,1,81.8,2,15,9.57,7.61,5,11,2.20,0,,0,0,1,0,0,1,-4,0,57,100%,0,0%,0,0%,False,Robert Griffin III,True,27,24
2014.0,2014-12-28,16.0,17.0,24.319,WAS,DAL,L 17-44,True,27,41,65.85,336,1,2,78.9,3,27,8.20,6.49,6,19,3.17,1,,1,6,1,1,0,0,0,0,69,100%,0,0%,0,0%,False,Robert Griffin III,False,17,44
2015.0,2015-09-13,1.0,1.0,,WAS,MIA,L 10-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,False,10,17
2015.0,2015-09-20,2.0,2.0,,WAS,STL,W 24-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,True,24,10
2015.0,2015-09-24,3.0,3.0,,WAS,NYG,L 21-32,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,21,32
2015.0,2015-10-04,4.0,4.0,,WAS,PHI,W 23-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,True,23,20
2015.0,2015-10-11,5.0,5.0,,WAS,ATL,L 19-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,19,25
2015.0,2015-10-18,6.0,6.0,,WAS,NYJ,L 20-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Robert Griffin III,False,20,34
2015.0,2015-10-25,7.0,7.0,,WAS,TAM,W 31-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,True,31,30
2015.0,2015-11-08,8.0,9.0,,WAS,NWE,L 10-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,10,27
2015.0,2015-11-15,9.0,10.0,,WAS,NOR,W 47-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,True,47,14
2015.0,2015-11-22,10.0,11.0,,WAS,CAR,L 16-44,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,False,16,44
2015.0,2015-11-29,11.0,12.0,,WAS,NYG,W 20-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,True,20,14
2015.0,2015-12-07,12.0,13.0,,WAS,DAL,L 16-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,False,16,19
2015.0,2015-12-13,13.0,14.0,,WAS,CHI,W 24-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,True,24,21
2015.0,2015-12-20,14.0,15.0,,WAS,BUF,W 35-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Griffin III,True,35,25
2015.0,2015-12-26,15.0,16.0,,WAS,PHI,W 38-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,True,38,24
2015.0,2016-01-03,16.0,17.0,,WAS,DAL,W 34-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Robert Griffin III,True,34,23
2016.0,2016-09-11,1.0,1.0,26.212,CLE,PHI,L 10-29,True,12,26,46.15,190,0,1,55.0,3,22,7.31,5.58,5,37,7.40,0,,0,0,1,0,0,1,0,0,51,98%,0,0%,0,0%,True,Robert Griffin III,False,10,29
2016.0,2016-09-18,2.0,2.0,,CLE,BAL,L 20-25,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Griffin III,False,20,25
2016.0,2016-09-25,3.0,3.0,,CLE,MIA,L 24-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Griffin III,False,24,30
2016.0,2016-10-02,4.0,4.0,,CLE,WAS,L 20-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Griffin III,False,20,31
2016.0,2016-10-09,5.0,5.0,,CLE,NWE,L 13-33,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Griffin III,False,13,33
2016.0,2016-10-16,6.0,6.0,,CLE,TEN,L 26-28,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Griffin III,False,26,28
2016.0,2016-10-23,7.0,7.0,,CLE,CIN,L 17-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Griffin III,False,17,31
2016.0,2016-10-30,8.0,8.0,,CLE,NYJ,L 28-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Griffin III,False,28,31
2016.0,2016-11-06,9.0,9.0,,CLE,DAL,L 10-35,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Griffin III,False,10,35
