Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-12-11,13,14,25.065,NOR,@,TEN,W 22-17,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,True,Chase Daniel
2011,2011-12-18,14,15,25.072,NOR,@,MIN,W 42-20,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Chase Daniel
2011,2011-12-26,15,16,25.080,NOR,,ATL,W 45-16,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,,,,,,,False,Chase Daniel
2011,2012-01-01,16,17,25.086,NOR,,CAR,W 45-17,False,3,3,100.00,20,0,0,94.4,0,0,6.67,6.67,3,-3,-1.00,0,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Chase Daniel
2012,2012-09-09,1,1,25.338,NOR,,WAS,L 32-40,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,4,10%,False,Chase Daniel
2012,2012-09-16,2,2,25.345,NOR,@,CAR,L 27-35,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,17%,True,Chase Daniel
2012,2012-09-23,3,3,25.352,NOR,,KAN,L 24-27,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,14%,False,Chase Daniel
2012,2012-09-30,4,4,25.359,NOR,@,GNB,L 27-28,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,9,29%,True,Chase Daniel
2012,2012-10-07,5,5,26.000,NOR,,SDG,W 31-24,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,17%,False,Chase Daniel
2012,2012-10-21,6,7,26.014,NOR,@,TAM,W 35-28,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,17%,True,Chase Daniel
2012,2012-10-28,7,8,26.021,NOR,@,DEN,L 14-34,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,2,7%,True,Chase Daniel
2012,2012-11-05,8,9,26.029,NOR,,PHI,W 28-13,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,21%,False,Chase Daniel
2012,2012-11-11,9,10,26.035,NOR,,ATL,W 31-27,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,17%,False,Chase Daniel
