Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-18,2,2,30.069,HOU,MIA,True,9,7,93,13.29,1,77.8%,10.33,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,13,Andre Johnson
2011,2011-09-25,3,3,30.076,HOU,NOR,True,12,7,128,18.29,0,58.3%,10.67,1,8,8.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,33,40,Andre Johnson
2011,2011-10-02,4,4,30.083,HOU,PIT,True,5,4,36,9.00,0,80.0%,7.20,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,17,10,Andre Johnson
2011,2011-10-09,5,5,,HOU,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,25,Andre Johnson
2011,2011-10-16,6,6,,HOU,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,29,Andre Johnson
2011,2011-10-23,7,7,,HOU,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,41,7,Andre Johnson
2011,2011-10-30,8,8,,HOU,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,14,Andre Johnson
2011,2011-11-06,9,9,,HOU,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,12,Andre Johnson
2011,2011-11-13,10,10,,HOU,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,37,9,Andre Johnson
2011,2011-11-27,11,12,30.139,HOU,JAX,True,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,20,13,Andre Johnson
2011,2011-12-04,12,13,30.146,HOU,ATL,True,9,4,97,24.25,0,44.4%,10.78,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,17,10,Andre Johnson
2011,2011-12-11,13,14,,HOU,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,20,19,Andre Johnson
2011,2011-12-18,14,15,,HOU,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,13,28,Andre Johnson
2011,2011-12-22,15,16,,HOU,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,16,19,Andre Johnson
2011,2012-01-01,16,17,30.174,HOU,TEN,True,2,2,21,10.50,0,100.0%,10.50,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,22,23,Andre Johnson
2012,2012-09-09,1,1,31.060,HOU,MIA,True,10,8,119,14.88,1,80.0%,11.90,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,78%,0,0%,0,0%,False,True,30,10,Andre Johnson
2012,2012-09-16,2,2,31.067,HOU,JAX,True,4,3,21,7.00,0,75.0%,5.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,72%,0,0%,0,0%,True,True,27,7,Andre Johnson
2012,2012-09-23,3,3,31.074,HOU,DEN,True,4,2,72,36.00,1,50.0%,18.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,79%,0,0%,0,0%,True,True,31,25,Andre Johnson
2012,2012-09-30,4,4,31.081,HOU,TEN,True,6,3,56,18.67,0,50.0%,9.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,77%,0,0%,0,0%,False,True,38,14,Andre Johnson
2012,2012-10-08,5,5,31.089,HOU,NYJ,True,6,1,15,15.00,0,16.7%,2.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,0,0%,True,True,23,17,Andre Johnson
