Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-09-18,2,2,24.162,WAS,,ARI,W 22-21,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2011,2011-09-26,3,3,24.170,WAS,@,DAL,L 16-18,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2011,2011-10-02,4,4,24.176,WAS,@,STL,W 17-10,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2011,2011-10-16,5,6,24.190,WAS,,PHI,L 13-20,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2011,2011-10-23,6,7,24.197,WAS,@,CAR,L 20-33,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2011,2011-10-30,7,8,24.204,WAS,@,BUF,L 0-23,False,,,,,1,0.0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2011,2011-11-06,8,9,24.211,WAS,,SFO,L 11-19,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2011,2011-11-13,9,10,24.218,WAS,@,MIA,L 9-20,False,,,,3,5,60.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2011,2011-11-20,10,11,24.225,WAS,,DAL,L 24-27,False,3,3,100.0,1,3,33.3,0,6,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2011,2011-11-27,11,12,24.232,WAS,@,SEA,W 23-17,False,2,3,66.7,1,2,50.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2011,2011-12-04,12,13,24.239,WAS,,NYJ,L 19-34,False,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2011,2011-12-11,13,14,24.246,WAS,,NWE,L 27-34,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2011,2011-12-18,14,15,24.253,WAS,@,NYG,W 23-10,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2011,2011-12-24,15,16,24.259,WAS,,MIN,L 26-33,False,2,2,100.0,4,4,100.0,0,14,0.0,1,1,2,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Graham Gano
2011,2012-01-01,16,17,24.267,WAS,@,PHI,L 10-34,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Graham Gano
2012,2012-11-26,11,12,25.231,CAR,@,PHI,W 30-22,False,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,39%,True,Graham Gano
2012,2012-12-02,12,13,25.237,CAR,@,KAN,L 21-27,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,29%,True,Graham Gano
2012,2012-12-09,13,14,25.244,CAR,,ATL,W 30-20,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,50%,False,Graham Gano
2012,2012-12-16,14,15,25.251,CAR,@,SDG,W 31-7,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,44%,True,Graham Gano
2012,2012-12-23,15,16,25.258,CAR,,OAK,W 17-6,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,36%,False,Graham Gano
2012,2012-12-30,16,17,25.265,CAR,@,NOR,W 44-38,False,5,5,100.0,3,4,75.0,0,14,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,18,47%,True,Graham Gano
2013,2013-09-08,1,1,26.152,CAR,,SEA,L 7-12,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,16%,False,Graham Gano
2013,2013-09-15,2,2,26.159,CAR,@,BUF,L 23-24,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,35%,True,Graham Gano
2013,2013-09-22,3,3,26.166,CAR,,NYG,W 38-0,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,52%,False,Graham Gano
2013,2013-10-06,4,5,26.180,CAR,@,ARI,L 6-22,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,22%,True,Graham Gano
2013,2013-10-13,5,6,26.187,CAR,@,MIN,W 35-10,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,48%,True,Graham Gano
2013,2013-10-20,6,7,26.194,CAR,,STL,W 30-15,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,46%,False,Graham Gano
2013,2013-10-24,7,8,26.198,CAR,@,TAM,W 31-13,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,38%,True,Graham Gano
2013,2013-11-03,8,9,26.208,CAR,,ATL,W 34-10,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,50%,False,Graham Gano
2013,2013-11-10,9,10,26.215,CAR,@,SFO,W 10-9,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,22%,True,Graham Gano
2013,2013-11-18,10,11,26.223,CAR,,NWE,W 24-20,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,43%,False,Graham Gano
2013,2013-11-24,11,12,26.229,CAR,@,MIA,W 20-16,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,28%,True,Graham Gano
2013,2013-12-01,12,13,26.236,CAR,,TAM,W 27-6,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,46%,False,Graham Gano
2013,2013-12-08,13,14,26.243,CAR,@,NOR,L 13-31,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,29%,True,Graham Gano
2013,2013-12-15,14,15,26.250,CAR,,NYJ,W 30-20,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,46%,False,Graham Gano
2013,2013-12-22,15,16,26.257,CAR,,NOR,W 17-13,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,23%,False,Graham Gano
2013,2013-12-29,16,17,26.264,CAR,@,ATL,W 21-20,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,26%,True,Graham Gano
2014,2014-09-07,1,1,27.151,CAR,@,TAM,W 20-14,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,36%,True,Graham Gano
2014,2014-09-14,2,2,27.158,CAR,,DET,W 24-7,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,1,0,0,0,0,,0,0,0%,0,0%,10,38%,False,Graham Gano
2014,2014-09-21,3,3,27.165,CAR,,PIT,L 19-37,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,28%,False,Graham Gano
2014,2014-09-28,4,4,27.172,CAR,@,BAL,L 10-38,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,20%,True,Graham Gano
2014,2014-10-05,5,5,27.179,CAR,,CHI,W 31-24,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,37%,False,Graham Gano
2014,2014-10-12,6,6,27.186,CAR,@,CIN,T 37-37,False,4,4,100.0,3,4,75.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,17,49%,True,Graham Gano
2014,2014-10-19,7,7,27.193,CAR,@,GNB,L 17-38,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,19%,True,Graham Gano
2014,2014-10-26,8,8,27.200,CAR,,SEA,L 9-13,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,37%,False,Graham Gano
2014,2014-10-30,9,9,27.204,CAR,,NOR,L 10-28,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,21%,False,Graham Gano
2014,2014-11-10,10,10,27.215,CAR,@,PHI,L 21-45,False,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,19%,True,Graham Gano
2014,2014-11-16,11,11,27.221,CAR,,ATL,L 17-19,False,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,27%,False,Graham Gano
2014,2014-11-30,12,13,27.235,CAR,@,MIN,L 13-31,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,23%,True,Graham Gano
2014,2014-12-07,13,14,27.242,CAR,@,NOR,W 41-10,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,16,52%,True,Graham Gano
2014,2014-12-14,14,15,27.249,CAR,,TAM,W 19-17,False,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,44%,False,Graham Gano
2014,2014-12-21,15,16,27.256,CAR,,CLE,W 17-13,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,32%,False,Graham Gano
2014,2014-12-28,16,17,27.263,CAR,@,ATL,W 34-3,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,54%,True,Graham Gano
2015,2015-09-13,1,1,28.157,CAR,@,JAX,W 20-9,False,2,2,100.0,2,4,50.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,42%,True,Graham Gano
2015,2015-09-20,2,2,28.164,CAR,,HOU,W 24-17,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,31%,False,Graham Gano
2015,2015-09-27,3,3,28.171,CAR,,NOR,W 27-22,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,42%,False,Graham Gano
2015,2015-10-04,4,4,28.178,CAR,@,TAM,W 37-23,False,4,4,100.0,3,3,100.0,0,13,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,15,47%,True,Graham Gano
2015,2015-10-18,5,6,28.192,CAR,@,SEA,W 27-23,False,3,4,75.0,,,,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,28%,True,Graham Gano
2015,2015-10-25,6,7,28.199,CAR,,PHI,W 27-16,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,37%,False,Graham Gano
2015,2015-11-02,7,8,28.207,CAR,,IND,W 29-26,False,2,3,66.7,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,34%,False,Graham Gano
2015,2015-11-08,8,9,28.213,CAR,,GNB,W 37-29,False,4,4,100.0,3,4,75.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,16,42%,False,Graham Gano
2015,2015-11-15,9,10,28.220,CAR,@,TEN,W 27-10,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,44%,True,Graham Gano
2015,2015-11-22,10,11,28.227,CAR,,WAS,W 44-16,False,5,5,100.0,3,3,100.0,0,14,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,16,50%,False,Graham Gano
2015,2015-11-26,11,12,28.231,CAR,@,DAL,W 33-14,False,3,3,100.0,4,5,80.0,0,15,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,16,59%,True,Graham Gano
2015,2015-12-06,12,13,28.241,CAR,@,NOR,W 41-38,False,5,6,83.3,,,,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,41%,True,Graham Gano
2015,2015-12-13,13,14,28.248,CAR,,ATL,W 38-0,False,5,5,100.0,1,1,100.0,0,8,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,57%,False,Graham Gano
2015,2015-12-20,14,15,28.255,CAR,@,NYG,W 38-35,False,5,5,100.0,1,2,50.0,0,8,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,34%,True,Graham Gano
2015,2015-12-27,15,16,28.262,CAR,@,ATL,L 13-20,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,33%,True,Graham Gano
2015,2016-01-03,16,17,28.269,CAR,,TAM,W 38-10,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,54%,False,Graham Gano
2016,2016-09-08,1,1,29.152,CAR,@,DEN,L 20-21,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,42%,True,Graham Gano
2016,2016-09-18,2,2,29.162,CAR,,SFO,W 46-27,False,4,5,80.0,4,4,100.0,0,16,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,19,48%,False,Graham Gano
2016,2016-09-25,3,3,29.169,CAR,,MIN,L 10-22,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,22%,False,Graham Gano
2016,2016-10-02,4,4,29.176,CAR,@,ATL,L 33-48,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,26%,True,Graham Gano
2016,2016-10-10,5,5,29.184,CAR,,TAM,L 14-17,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,24%,False,Graham Gano
2016,2016-10-16,6,6,29.190,CAR,@,NOR,L 38-41,False,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,32%,True,Graham Gano
2016,2016-10-30,7,8,29.204,CAR,,ARI,W 30-20,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,46%,False,Graham Gano
2016,2016-11-06,8,9,29.211,CAR,@,LAR,W 13-10,False,1,1,100.0,2,3,66.7,0,7,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,31%,True,Graham Gano
2016,2016-11-13,9,10,29.218,CAR,,KAN,L 17-20,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,0,0,0,0,0,0,4,180,45.00,0,0,0%,0,0%,11,42%,False,Graham Gano
2016,2016-11-17,10,11,29.222,CAR,,NOR,W 23-20,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,38%,False,Graham Gano
2016,2016-11-27,11,12,29.232,CAR,@,OAK,L 32-35,False,2,3,66.7,,,,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,28%,True,Graham Gano
2016,2016-12-04,12,13,29.239,CAR,@,SEA,L 7-40,False,1,1,100.0,,,,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,11%,True,Graham Gano
2016,2016-12-11,13,14,29.246,CAR,,SDG,W 28-16,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,46%,False,Graham Gano
2016,2016-12-19,14,15,29.254,CAR,@,WAS,W 26-15,False,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,14,40%,True,Graham Gano
2016,2016-12-24,15,16,29.259,CAR,,ATL,L 16-33,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,29%,False,Graham Gano
2016,2017-01-01,16,17,29.267,CAR,@,TAM,L 16-17,False,1,1,100.0,1,4,25.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,33%,True,Graham Gano
2017,2017-09-10,1,1,30.154,CAR,@,SFO,W 23-3,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,50%,True,Graham Gano
2017,2017-09-17,2,2,30.161,CAR,,BUF,W 9-3,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,32%,False,Graham Gano
2017,2017-09-24,3,3,30.168,CAR,,NOR,L 13-34,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,27%,False,Graham Gano
2017,2017-10-01,4,4,30.175,CAR,@,NWE,W 33-30,False,3,4,75.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,43%,True,Graham Gano
2017,2017-10-08,5,5,30.182,CAR,@,DET,W 27-24,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,38%,True,Graham Gano
2017,2017-10-12,6,6,30.186,CAR,,PHI,L 23-28,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,34%,False,Graham Gano
2017,2017-10-22,7,7,30.196,CAR,@,CHI,L 3-17,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,14%,True,Graham Gano
2017,2017-10-29,8,8,30.203,CAR,@,TAM,W 17-3,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,30%,True,Graham Gano
2017,2017-11-05,9,9,30.210,CAR,,ATL,W 20-17,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,36%,False,Graham Gano
2017,2017-11-13,10,10,30.218,CAR,,MIA,W 45-21,False,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,15,54%,False,Graham Gano
2017,2017-11-26,11,12,30.231,CAR,@,NYJ,W 35-27,False,,1,0.0,3,3,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,32%,True,Graham Gano
2017,2017-12-03,12,13,30.238,CAR,@,NOR,L 21-31,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,24%,True,Graham Gano
2017,2017-12-10,13,14,30.245,CAR,,MIN,W 31-24,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,35%,False,Graham Gano
2017,2017-12-17,14,15,30.252,CAR,,GNB,W 31-24,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,42%,False,Graham Gano
2017,2017-12-24,15,16,30.259,CAR,,TAM,W 22-19,False,1,2,50.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,39%,False,Graham Gano
2017,2017-12-31,16,17,30.266,CAR,@,ATL,L 10-22,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,True,Graham Gano
2018,2018-09-09,1,1,31.153,CAR,,DAL,W 16-8,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,32%,False,Graham Gano
2018,2018-09-16,2,2,31.160,CAR,@,ATL,L 24-31,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,32%,True,Graham Gano
2018,2018-09-23,3,3,31.167,CAR,,CIN,W 31-21,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,42%,False,Graham Gano
