Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-12-19,14,15,22.339,NYG,PHI,True,9,6,63,10.50,1,66.7%,7.00,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,31,38,Hakeem Nicks
2010,2010-12-26,15,16,22.346,NYG,GNB,True,9,4,93,23.25,1,44.4%,10.33,0,0,,0,1,14,14.00,0,1,6,0,,0,0,0,0,,,,,,,True,False,17,45,Hakeem Nicks
2010,2011-01-02,16,17,,NYG,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,17,14,Hakeem Nicks
2011,2011-09-11,1,1,23.240,NYG,WAS,True,11,7,122,17.43,0,63.6%,11.09,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,28,Hakeem Nicks
2011,2011-09-19,2,2,23.248,NYG,STL,True,8,4,38,9.50,1,50.0%,4.75,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,28,16,Hakeem Nicks
2011,2011-09-25,3,3,23.254,NYG,PHI,True,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,29,16,Hakeem Nicks
2011,2011-10-02,4,4,23.261,NYG,ARI,True,14,10,162,16.20,1,71.4%,11.57,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,31,27,Hakeem Nicks
2011,2011-10-09,5,5,23.268,NYG,SEA,True,7,4,65,16.25,1,57.1%,9.29,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,25,36,Hakeem Nicks
2011,2011-10-16,6,6,23.275,NYG,BUF,True,7,4,96,24.00,0,57.1%,13.71,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,27,24,Hakeem Nicks
2011,2011-10-30,7,8,23.289,NYG,MIA,True,10,6,67,11.17,0,60.0%,6.70,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,17,Hakeem Nicks
2011,2011-11-06,8,9,,NYG,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,24,20,Hakeem Nicks
2011,2011-11-13,9,10,23.303,NYG,SFO,True,4,2,41,20.50,1,50.0%,10.25,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,20,27,Hakeem Nicks
2011,2011-11-20,10,11,23.310,NYG,PHI,True,7,3,69,23.00,0,42.9%,9.86,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,17,Hakeem Nicks
2011,2011-11-28,11,12,23.318,NYG,NOR,True,12,7,87,12.43,0,58.3%,7.25,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,24,49,Hakeem Nicks
2011,2011-12-04,12,13,23.324,NYG,GNB,True,12,7,88,12.57,2,58.3%,7.33,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,False,35,38,Hakeem Nicks
2011,2011-12-11,13,14,23.331,NYG,DAL,True,11,8,163,20.38,0,72.7%,14.82,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,37,34,Hakeem Nicks
2011,2011-12-18,14,15,23.338,NYG,WAS,True,12,5,73,14.60,0,41.7%,6.08,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,23,Hakeem Nicks
2011,2011-12-24,15,16,23.344,NYG,NYJ,True,7,1,20,20.00,0,14.3%,2.86,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,29,14,Hakeem Nicks
2011,2012-01-01,16,17,23.352,NYG,DAL,True,6,5,76,15.20,1,83.3%,12.67,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,31,14,Hakeem Nicks
2012,2012-09-05,1,1,24.235,NYG,DAL,True,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,53,96%,0,0%,0,0%,False,False,17,24,Hakeem Nicks
2012,2012-09-16,2,2,24.246,NYG,TAM,True,15,10,199,19.90,1,66.7%,13.27,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,77,95%,0,0%,0,0%,False,True,41,34,Hakeem Nicks
2012,2012-09-20,3,3,,NYG,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,36,7,Hakeem Nicks
2012,2012-09-30,4,4,,NYG,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,19,Hakeem Nicks
2012,2012-10-07,5,5,,NYG,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,41,27,Hakeem Nicks
2012,2012-10-14,6,6,24.274,NYG,SFO,True,5,3,44,14.67,0,60.0%,8.80,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,52,80%,0,0%,0,0%,True,True,26,3,Hakeem Nicks
