Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-10,10.0,10.0,24.119,KAN,TEN,L 32-35,False,2,3,66.7,4,5,80.0,0,14,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,17,53%,True,Harrison Butker,False,32,35
2019.0,2019-11-18,11.0,11.0,24.127,KAN,LAC,W 24-17,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,33%,True,Harrison Butker,True,24,17
2019.0,2019-12-01,12.0,13.0,24.14,KAN,OAK,W 40-9,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,57%,False,Harrison Butker,True,40,9
2019.0,2019-12-08,13.0,14.0,24.147,KAN,NWE,W 23-16,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,42%,True,Harrison Butker,True,23,16
2019.0,2019-12-15,14.0,15.0,24.154,KAN,DEN,W 23-3,False,,,,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,50%,False,Harrison Butker,True,23,3
2019.0,2019-12-22,15.0,16.0,24.161,KAN,CHI,W 26-3,False,2,3,66.7,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,55%,True,Harrison Butker,True,26,3
2019.0,2019-12-29,16.0,17.0,24.168,KAN,LAC,W 31-21,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,47%,False,Harrison Butker,True,31,21
2020.0,2020-09-10,1.0,1.0,25.058,KAN,HOU,W 34-20,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,48%,False,Harrison Butker,True,34,20
2020.0,2020-09-20,2.0,2.0,25.068,KAN,LAC,W 23-20,False,,1,0.0,3,3,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,39%,True,Harrison Butker,True,23,20
2020.0,2020-09-28,3.0,3.0,25.076,KAN,BAL,W 34-20,False,4,5,80.0,,1,0.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,48%,True,Harrison Butker,True,34,20
2020.0,2020-10-05,4.0,4.0,25.083,KAN,NWE,W 26-10,False,2,3,66.7,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,48%,False,Harrison Butker,True,26,10
2020.0,2020-10-11,5.0,5.0,25.089,KAN,LVR,L 32-40,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,31%,False,Harrison Butker,False,32,40
2020.0,2020-10-19,6.0,6.0,25.097,KAN,BUF,W 26-17,False,2,3,66.7,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,44%,True,Harrison Butker,True,26,17
2020.0,2020-10-25,7.0,7.0,25.103,KAN,DEN,W 43-16,False,4,5,80.0,3,3,100.0,0,13,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,17,57%,True,Harrison Butker,True,43,16
2020.0,2020-11-01,8.0,8.0,25.11,KAN,NYJ,W 35-9,False,5,5,100.0,,,,0,5,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,41%,False,Harrison Butker,True,35,9
2020.0,2020-11-08,9.0,9.0,25.117,KAN,CAR,W 33-31,False,3,4,75.0,2,3,66.7,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,14,45%,False,Harrison Butker,True,33,31
2020.0,2020-11-22,10.0,11.0,25.131,KAN,LVR,W 35-31,False,5,5,100.0,,,,0,5,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,42%,True,Harrison Butker,True,35,31
2020.0,2020-11-29,11.0,12.0,25.138,KAN,TAM,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,38%,True,Harrison Butker,True,27,24
2020.0,2020-12-06,12.0,13.0,25.145,KAN,DEN,W 22-16,False,1,1,100.0,5,5,100.0,0,16,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,13,50%,False,Harrison Butker,True,22,16
2020.0,2020-12-13,13.0,14.0,25.152,KAN,MIA,W 33-27,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,32%,True,Harrison Butker,True,33,27
2020.0,2020-12-20,14.0,15.0,25.159,KAN,NOR,W 32-29,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,29%,True,Harrison Butker,True,32,29
2020.0,2020-12-27,15.0,16.0,25.166,KAN,ATL,W 17-14,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,32%,False,Harrison Butker,True,17,14
2020.0,2021-01-03,16.0,17.0,25.173,KAN,LAC,L 21-38,False,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,32%,False,Harrison Butker,False,21,38
2021.0,2021-09-12,1.0,1.0,26.06,KAN,CLE,W 33-29,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,50%,False,Harrison Butker,True,33,29
