Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-10-07,5.0,5.0,,MIN,PHI,W 23-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dalvin Cook,True,23,21
2018.0,2018-10-14,6.0,6.0,,MIN,ARI,W 27-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalvin Cook,True,27,17
2018.0,2018-10-21,7.0,7.0,,MIN,NYJ,W 37-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dalvin Cook,True,37,17
2018.0,2018-10-28,8.0,8.0,,MIN,NOR,L 20-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalvin Cook,False,20,30
2018.0,2018-11-04,9.0,9.0,23.086,MIN,DET,W 24-9,False,10,89,8.90,0,4,4,20,5.00,0,100.0%,5.00,,0,0,0,0,0,0,0,0,28,57%,0,0%,0,0%,False,Dalvin Cook,True,24,9
2018.0,2018-11-18,10.0,11.0,23.1,MIN,CHI,L 20-25,True,9,12,1.33,0,3,3,-2,-0.67,0,100.0%,-0.67,,0,0,1,1,0,0,0,0,59,88%,0,0%,0,0%,True,Dalvin Cook,False,20,25
2018.0,2018-11-25,11.0,12.0,23.107,MIN,GNB,W 24-17,True,10,29,2.90,0,3,3,47,15.67,1,100.0%,15.67,,1,6,0,0,0,0,0,0,41,59%,0,0%,0,0%,False,Dalvin Cook,True,24,17
2018.0,2018-12-02,12.0,13.0,23.114,MIN,NWE,L 10-24,True,9,84,9.33,0,10,8,22,2.75,0,80.0%,2.20,,0,0,0,0,0,0,0,0,47,77%,0,0%,0,0%,True,Dalvin Cook,False,10,24
2018.0,2018-12-10,13.0,14.0,23.122,MIN,SEA,L 7-21,True,13,55,4.23,0,7,5,28,5.60,1,71.4%,4.00,,1,6,0,0,0,0,0,0,50,86%,0,0%,0,0%,True,Dalvin Cook,False,7,21
2018.0,2018-12-16,14.0,15.0,23.128,MIN,MIA,W 41-17,True,19,136,7.16,2,2,1,27,27.00,0,50.0%,13.50,,2,12,0,0,0,0,0,0,42,61%,0,0%,0,0%,False,Dalvin Cook,True,41,17
