Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2011.0,2011-11-20,10.0,11.0,25.016,CAR,DET,L 35-49,False,5,3,51,17.00,0,60.0%,10.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,35,49
2011.0,2011-11-27,11.0,12.0,25.023,CAR,IND,W 27-19,True,6,5,46,9.20,0,83.3%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,True,27,19
2011.0,2011-12-04,12.0,13.0,25.03,CAR,TAM,W 38-19,True,4,3,64,21.33,0,75.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,True,38,19
2011.0,2011-12-11,13.0,14.0,25.037,CAR,ATL,L 23-31,True,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,23,31
2011.0,2011-12-18,14.0,15.0,25.044,CAR,HOU,W 28-13,True,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,True,28,13
2011.0,2011-12-24,15.0,16.0,25.05,CAR,TAM,W 48-16,True,3,3,103,34.33,1,100.0%,34.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,True,48,16
2011.0,2012-01-01,16.0,17.0,25.058,CAR,NOR,L 17-45,True,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,17,45
2012.0,2012-09-09,1.0,1.0,25.31,CAR,TAM,L 10-16,True,5,3,65,21.67,1,60.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,100%,0,0%,0,0%,True,Brandon LaFell,False,10,16
2012.0,2012-09-16,2.0,2.0,25.317,CAR,NOR,W 35-27,True,8,6,90,15.00,0,75.0%,11.25,1,25,25.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,95%,0,0%,1,3%,False,Brandon LaFell,True,35,27
2012.0,2012-09-20,3.0,3.0,25.321,CAR,NYG,L 7-36,False,5,1,27,27.00,0,20.0%,5.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,97%,0,0%,0,0%,False,Brandon LaFell,False,7,36
2012.0,2012-09-30,4.0,4.0,25.331,CAR,ATL,L 28-30,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,95%,0,0%,1,3%,True,Brandon LaFell,False,28,30
2012.0,2012-10-07,5.0,5.0,25.338,CAR,SEA,L 12-16,True,3,3,44,14.67,0,100.0%,14.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,93%,0,0%,0,0%,False,Brandon LaFell,False,12,16
2012.0,2012-10-21,6.0,7.0,25.352,CAR,DAL,L 14-19,True,8,4,53,13.25,1,50.0%,6.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,95%,0,0%,0,0%,False,Brandon LaFell,False,14,19
2012.0,2012-10-28,7.0,8.0,25.359,CAR,CHI,L 22-23,True,4,3,88,29.33,0,75.0%,22.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,84%,0,0%,0,0%,True,Brandon LaFell,False,22,23
2012.0,2012-11-04,8.0,9.0,,CAR,WAS,W 21-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Brandon LaFell,True,21,13
2012.0,2012-11-11,9.0,10.0,26.007,CAR,DEN,L 14-36,True,8,4,29,7.25,0,50.0%,3.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,False,Brandon LaFell,False,14,36
2012.0,2012-11-18,10.0,11.0,26.014,CAR,TAM,L 21-27,True,7,5,93,18.60,1,71.4%,13.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,93%,0,0%,1,3%,False,Brandon LaFell,False,21,27
2012.0,2012-11-26,11.0,12.0,26.022,CAR,PHI,W 30-22,True,7,3,74,24.67,1,42.9%,10.57,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,87%,0,0%,0,0%,True,Brandon LaFell,True,30,22
2012.0,2012-12-02,12.0,13.0,26.028,CAR,KAN,L 21-27,True,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,25,49%,0,0%,0,0%,True,Brandon LaFell,False,21,27
