Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-11-01,8.0,8.0,23.148,HOU,TEN,W 20-6,True,11,8,94,11.75,1,72.7%,8.55,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,False,DeAndre Hopkins,True,20,6
2015.0,2015-11-16,9.0,10.0,23.163,HOU,CIN,W 10-6,True,11,5,57,11.40,1,45.5%,5.18,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,DeAndre Hopkins,True,10,6
2015.0,2015-11-22,10.0,11.0,23.169,HOU,NYJ,W 24-17,True,12,5,118,23.60,2,41.7%,9.83,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,0,0,0,0,73,97%,0,0%,0,0%,False,DeAndre Hopkins,True,24,17
2015.0,2015-11-29,11.0,12.0,23.176,HOU,NOR,W 24-6,True,8,5,36,7.20,0,62.5%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,False,DeAndre Hopkins,True,24,6
2015.0,2015-12-06,12.0,13.0,23.183,HOU,BUF,L 21-30,True,9,5,88,17.60,1,55.6%,9.78,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,True,DeAndre Hopkins,False,21,30
2015.0,2015-12-13,13.0,14.0,23.19,HOU,NWE,L 6-27,True,6,3,52,17.33,0,50.0%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,False,DeAndre Hopkins,False,6,27
2015.0,2015-12-20,14.0,15.0,23.197,HOU,IND,W 16-10,True,11,8,94,11.75,0,72.7%,8.55,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,74,97%,0,0%,0,0%,True,DeAndre Hopkins,True,16,10
2015.0,2015-12-27,15.0,16.0,23.204,HOU,TEN,W 34-6,True,11,7,117,16.71,1,63.6%,10.64,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,60,83%,0,0%,0,0%,True,DeAndre Hopkins,True,34,6
2015.0,2016-01-03,16.0,17.0,23.211,HOU,JAX,W 30-6,True,12,7,89,12.71,0,58.3%,7.42,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,False,DeAndre Hopkins,True,30,6
2016.0,2016-09-11,1.0,1.0,24.097,HOU,CHI,W 23-14,True,8,5,54,10.80,1,62.5%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,0,0,0,0,73,97%,0,0%,0,0%,False,DeAndre Hopkins,True,23,14
2016.0,2016-09-18,2.0,2.0,24.104,HOU,KAN,W 19-12,True,11,7,113,16.14,1,63.6%,10.27,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,0,0,0,0,72,100%,0,0%,1,3%,False,DeAndre Hopkins,True,19,12
2016.0,2016-09-22,3.0,3.0,24.108,HOU,NWE,L 0-27,True,8,4,56,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,69,97%,0,0%,0,0%,True,DeAndre Hopkins,False,0,27
2016.0,2016-10-02,4.0,4.0,24.118,HOU,TEN,W 27-20,True,6,1,4,4.00,0,16.7%,0.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,61,95%,0,0%,0,0%,False,DeAndre Hopkins,True,27,20
2016.0,2016-10-09,5.0,5.0,24.125,HOU,MIN,L 13-31,True,9,5,56,11.20,1,55.6%,6.22,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,DeAndre Hopkins,False,13,31
2016.0,2016-10-16,6.0,6.0,24.132,HOU,IND,W 26-23,True,15,9,71,7.89,0,60.0%,4.73,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%,False,DeAndre Hopkins,True,26,23
2016.0,2016-10-24,7.0,7.0,24.14,HOU,DEN,L 9-27,True,12,5,36,7.20,0,41.7%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,True,DeAndre Hopkins,False,9,27
2016.0,2016-10-30,8.0,8.0,24.146,HOU,DET,W 20-13,True,7,4,44,11.00,0,57.1%,6.29,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,66,99%,0,0%,0,0%,False,DeAndre Hopkins,True,20,13
2016.0,2016-11-13,9.0,10.0,24.16,HOU,JAX,W 24-21,True,13,5,48,9.60,0,38.5%,3.69,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,61,97%,0,0%,0,0%,True,DeAndre Hopkins,True,24,21
2016.0,2016-11-21,10.0,11.0,24.168,HOU,OAK,L 20-27,True,6,5,58,11.60,0,83.3%,9.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,74,97%,0,0%,0,0%,True,DeAndre Hopkins,False,20,27
2016.0,2016-11-27,11.0,12.0,24.174,HOU,SDG,L 13-21,True,10,5,70,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,67,97%,0,0%,0,0%,False,DeAndre Hopkins,False,13,21
2016.0,2016-12-04,12.0,13.0,24.181,HOU,GNB,L 13-21,True,8,3,58,19.33,1,37.5%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,True,DeAndre Hopkins,False,13,21
2016.0,2016-12-11,13.0,14.0,24.188,HOU,IND,W 22-17,True,4,2,33,16.50,0,50.0%,8.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,71,99%,0,0%,0,0%,True,DeAndre Hopkins,True,22,17
2016.0,2016-12-18,14.0,15.0,24.195,HOU,JAX,W 21-20,True,17,8,87,10.88,0,47.1%,5.12,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,82,98%,0,0%,0,0%,False,DeAndre Hopkins,True,21,20
2016.0,2016-12-24,15.0,16.0,24.201,HOU,CIN,W 12-10,True,6,3,43,14.33,0,50.0%,7.17,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,64,100%,0,0%,1,4%,False,DeAndre Hopkins,True,12,10
2016.0,2017-01-01,16.0,17.0,24.209,HOU,TEN,L 17-24,True,11,7,123,17.57,0,63.6%,11.18,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,55,74%,0,0%,0,0%,True,DeAndre Hopkins,False,17,24
2017.0,2017-09-10,1.0,1.0,25.096,HOU,JAX,L 7-29,True,16,7,55,7.86,1,43.8%,3.44,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,False,DeAndre Hopkins,False,7,29
2017.0,2017-09-14,2.0,2.0,25.1,HOU,CIN,W 13-9,True,13,7,73,10.43,0,53.8%,5.62,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,66,100%,1,2%,0,0%,True,DeAndre Hopkins,True,13,9
2017.0,2017-09-24,3.0,3.0,25.11,HOU,NWE,L 33-36,True,8,7,76,10.86,0,87.5%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,DeAndre Hopkins,False,33,36
2017.0,2017-10-01,4.0,4.0,25.117,HOU,TEN,W 57-14,True,12,10,107,10.70,1,83.3%,8.92,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,78,93%,0,0%,0,0%,False,DeAndre Hopkins,True,57,14
2017.0,2017-10-08,5.0,5.0,25.124,HOU,KAN,L 34-42,True,12,4,52,13.00,3,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,,3,18,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,False,DeAndre Hopkins,False,34,42
