Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2010-01-03,16.0,17.0,22.288,CAR,NOR,W 23-10,True,16,125,7.81,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,23,10
2010.0,2010-09-12,1.0,1.0,23.175,CAR,NYG,L 18-31,False,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,18,31
2010.0,2010-09-19,2.0,2.0,23.182,CAR,TAM,L 7-20,False,8,43,5.38,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,7,20
2010.0,2010-09-26,3.0,3.0,23.189,CAR,CIN,L 7-20,False,8,13,1.63,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,1,6,1,1,0,0,0,0,,,,,,,False,Jonathan Stewart,False,7,20
2010.0,2010-10-03,4.0,4.0,23.196,CAR,NOR,L 14-16,False,7,21,3.00,0,1,1,55,55.00,1,100.0%,55.00,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,14,16
2010.0,2010-10-10,5.0,5.0,23.203,CAR,CHI,L 6-23,False,8,30,3.75,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,False,6,23
2010.0,2010-10-24,6.0,7.0,23.217,CAR,SFO,W 23-20,False,14,29,2.07,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,23,20
2010.0,2010-10-31,7.0,8.0,23.224,CAR,STL,L 10-20,True,14,30,2.14,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,10,20
2010.0,2010-11-07,8.0,9.0,23.231,CAR,NOR,L 3-34,True,5,30,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,False,Jonathan Stewart,False,3,34
2010.0,2010-11-14,9.0,10.0,,CAR,TAM,L 16-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jonathan Stewart,False,16,31
2010.0,2010-11-21,10.0,11.0,,CAR,BAL,L 13-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jonathan Stewart,False,13,37
2010.0,2010-11-28,11.0,12.0,23.252,CAR,CLE,L 23-24,False,12,98,8.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,23,24
2010.0,2010-12-05,12.0,13.0,23.259,CAR,SEA,L 14-31,True,21,92,4.38,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,14,31
2010.0,2010-12-12,13.0,14.0,23.266,CAR,ATL,L 10-31,True,18,133,7.39,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,False,Jonathan Stewart,False,10,31
2010.0,2010-12-19,14.0,15.0,23.273,CAR,ARI,W 19-12,True,27,137,5.07,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,False,Jonathan Stewart,True,19,12
2010.0,2010-12-23,15.0,16.0,23.277,CAR,PIT,L 3-27,True,18,71,3.94,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,3,27
