Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-18,2.0,2.0,34.135,DAL,WAS,W 27-23,True,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,5,19%,True,Jason Witten,True,27,23
2016.0,2016-09-25,3.0,3.0,34.142,DAL,CHI,W 31-17,True,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,7,26%,False,Jason Witten,True,31,17
2016.0,2016-10-02,4.0,4.0,34.149,DAL,SFO,W 24-17,True,9,7,47,6.71,0,77.8%,5.22,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,76,100%,0,0%,5,20%,True,Jason Witten,True,24,17
2016.0,2016-10-09,5.0,5.0,34.156,DAL,CIN,W 28-14,True,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,6,27%,False,Jason Witten,True,28,14
2016.0,2016-10-16,6.0,6.0,34.163,DAL,GNB,W 30-16,True,8,4,42,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,7,28%,True,Jason Witten,True,30,16
2016.0,2016-10-30,7.0,8.0,34.177,DAL,PHI,W 29-23,True,3,2,16,8.00,1,66.7%,5.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,77,100%,0,0%,5,14%,False,Jason Witten,True,29,23
2016.0,2016-11-06,8.0,9.0,34.184,DAL,CLE,W 35-10,True,10,8,134,16.75,1,80.0%,13.40,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,70,96%,0,0%,5,21%,True,Jason Witten,True,35,10
2016.0,2016-11-13,9.0,10.0,34.191,DAL,PIT,W 35-30,True,8,6,59,9.83,0,75.0%,7.38,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,5,17%,True,Jason Witten,True,35,30
2016.0,2016-11-20,10.0,11.0,34.198,DAL,BAL,W 27-17,True,7,5,37,7.40,0,71.4%,5.29,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,94%,0,0%,5,17%,False,Jason Witten,True,27,17
2016.0,2016-11-24,11.0,12.0,34.202,DAL,WAS,W 31-26,True,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,6,23%,False,Jason Witten,True,31,26
