Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-12-10,13,14,,CIN,,CHI,L 7-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Joe Mixon
2017,2017-12-17,14,15,,CIN,@,MIN,L 7-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Joe Mixon
2017,2017-12-24,15,16,21.153,CIN,,DET,W 26-17,True,3,12,4.00,0,3,2,20,10.00,0,66.7%,6.67,0,0,0,0,0,0,0,0,6,7%,0,0%,0,0%,False,Joe Mixon
2017,2017-12-31,16,17,21.160,CIN,@,BAL,W 31-27,True,18,96,5.33,0,1,1,1,1.00,0,100.0%,1.00,0,0,1,1,0,0,0,0,25,32%,0,0%,0,0%,True,Joe Mixon
2018,2018-09-09,1,1,22.047,CIN,@,IND,W 34-23,True,17,95,5.59,1,7,5,54,10.80,0,71.4%,7.71,1,6,0,0,0,0,0,0,44,79%,0,0%,0,0%,True,Joe Mixon
2018,2018-09-13,2,2,22.051,CIN,,BAL,W 34-23,True,21,84,4.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,0,0,0,0,0,0,39,51%,0,0%,0,0%,False,Joe Mixon
2018,2018-09-23,3,3,,CIN,@,CAR,L 21-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Joe Mixon
2018,2018-09-30,4,4,,CIN,@,ATL,W 37-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Joe Mixon
2018,2018-10-07,5,5,22.075,CIN,,MIA,W 27-17,True,22,93,4.23,0,4,3,22,7.33,1,75.0%,5.50,1,6,0,0,0,0,0,0,47,78%,0,0%,0,0%,False,Joe Mixon
2018,2018-10-14,6,6,22.082,CIN,,PIT,L 21-28,True,11,64,5.82,1,7,4,20,5.00,0,57.1%,2.86,1,6,0,0,0,0,0,0,42,69%,0,0%,0,0%,False,Joe Mixon
