Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-16,2.0,2.0,26.142,NYJ,MIA,L 12-20,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,263,52.60,0,0,0%,0,0%,8,32%,False,Lac Edwards,False,12,20
2018.0,2018-09-20,3.0,3.0,26.146,NYJ,CLE,L 17-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,344,49.14,0,0,0%,0,0%,10,33%,True,Lac Edwards,False,17,21
2018.0,2018-09-30,4.0,4.0,26.156,NYJ,JAX,L 12-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,345,49.29,0,0,0%,0,0%,10,33%,True,Lac Edwards,False,12,31
2018.0,2018-10-07,5.0,5.0,26.163,NYJ,DEN,W 34-16,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,3,134,44.67,0,0,0%,0,0%,10,31%,False,Lac Edwards,True,34,16
2018.0,2018-10-14,6.0,6.0,26.17,NYJ,IND,W 42-34,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,1,43,43.00,0,0,0%,0,0%,11,31%,False,Lac Edwards,True,42,34
2018.0,2018-10-21,7.0,7.0,26.177,NYJ,MIN,L 17-37,False,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0,1,0,0,8,377,47.13,0,0,0%,0,0%,11,28%,False,Lac Edwards,False,17,37
2018.0,2018-10-28,8.0,8.0,26.184,NYJ,CHI,L 10-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,8,337,42.13,0,0,0%,0,0%,10,36%,True,Lac Edwards,False,10,24
2018.0,2018-11-04,9.0,9.0,26.191,NYJ,MIA,L 6-13,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,6,277,46.17,0,0,0%,0,0%,9,32%,True,Lac Edwards,False,6,13
2018.0,2018-11-11,10.0,10.0,26.198,NYJ,BUF,L 10-41,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,312,44.57,0,0,0%,0,0%,9,29%,False,Lac Edwards,False,10,41
2018.0,2018-11-25,11.0,12.0,26.212,NYJ,NWE,L 13-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,222,44.40,0,0,0%,0,0%,8,30%,False,Lac Edwards,False,13,27
2018.0,2018-12-02,12.0,13.0,26.219,NYJ,TEN,L 22-26,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,6,267,44.50,0,0,0%,0,0%,12,32%,True,Lac Edwards,False,22,26
2018.0,2018-12-09,13.0,14.0,26.226,NYJ,BUF,W 27-23,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,3,120,40.00,0,0,0%,0,0%,8,29%,True,Lac Edwards,True,27,23
2018.0,2018-12-15,14.0,15.0,26.232,NYJ,HOU,L 22-29,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,197,49.25,0,0,0%,0,0%,8,26%,False,Lac Edwards,False,22,29
