Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-10-28,7.0,8.0,25.248,OAK,IND,L 28-42,False,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,4%,0,0%,8,31%,False,DeAndre Washington,False,28,42
2018.0,2018-11-01,8.0,9.0,25.252,OAK,SFO,L 3-34,False,5,27,5.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,18%,0,0%,7,26%,True,DeAndre Washington,False,3,34
2018.0,2018-11-11,9.0,10.0,25.262,OAK,LAC,L 6-20,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,6,27%,False,DeAndre Washington,False,6,20
2018.0,2018-11-18,10.0,11.0,25.269,OAK,ARI,W 23-21,False,12,39,3.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,34%,0,0%,8,24%,True,DeAndre Washington,True,23,21
2018.0,2018-11-25,11.0,12.0,25.276,OAK,BAL,L 17-34,False,3,8,2.67,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,14%,0,0%,9,32%,True,DeAndre Washington,False,17,34
2018.0,2018-12-02,12.0,13.0,25.283,OAK,KAN,L 33-40,False,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,6,8%,0,0%,11,34%,False,DeAndre Washington,False,33,40
2018.0,2018-12-09,13.0,14.0,25.29,OAK,PIT,W 24-21,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,10,40%,False,DeAndre Washington,True,24,21
2018.0,2018-12-16,14.0,15.0,25.297,OAK,CIN,L 16-30,False,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,12,36%,True,DeAndre Washington,False,16,30
2018.0,2018-12-24,15.0,16.0,25.305,OAK,DEN,W 27-14,False,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,8%,0,0%,2,7%,False,DeAndre Washington,True,27,14
2018.0,2018-12-30,16.0,17.0,25.311,OAK,KAN,L 3-35,False,4,30,7.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,11%,0,0%,6,32%,True,DeAndre Washington,False,3,35
2019.0,2019-09-09,1.0,1.0,26.199,OAK,DEN,W 24-16,False,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,9%,0,0%,8,32%,False,DeAndre Washington,True,24,16
2019.0,2019-09-15,2.0,2.0,26.205,OAK,KAN,L 10-28,False,3,9,3.00,0,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,24%,0,0%,5,20%,False,DeAndre Washington,False,10,28
2019.0,2019-09-22,3.0,3.0,26.212,OAK,MIN,L 14-34,False,6,22,3.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,15%,0,0%,8,32%,True,DeAndre Washington,False,14,34
