Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2015-12-06,12,13,,TEN,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,42,39,Dexter McCluster
2015,2015-12-13,13,14,26.110,TEN,NYJ,False,4,12,3.00,0,5,4,38,9.50,0,80.0%,7.60,0,0,,0,1,2,2.00,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,22,36%,0,0%,2,8%,True,False,8,30,Dexter McCluster
2015,2015-12-20,14,15,,TEN,NWE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,16,33,Dexter McCluster
2015,2015-12-27,15,16,,TEN,HOU,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,6,34,Dexter McCluster
2015,2016-01-03,16,17,,TEN,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,24,30,Dexter McCluster
2016,2016-09-25,3,3,27.031,SDG,IND,False,0,0,,0,3,2,9,4.50,0,66.7%,3.00,2,39,19.50,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,15%,0,0%,6,21%,True,False,22,26,Dexter McCluster
2016,2016-10-02,4,4,27.038,SDG,NOR,False,1,2,2.00,0,3,2,9,4.50,0,66.7%,3.00,2,51,25.50,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,13%,0,0%,8,24%,False,False,34,35,Dexter McCluster
2016,2016-10-09,5,5,27.045,SDG,OAK,False,1,1,1.00,0,0,0,0,,0,0.0%,,4,75,18.75,0,2,15,7.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,4%,0,0%,10,33%,True,False,31,34,Dexter McCluster
2016,2016-10-13,6,6,27.049,SDG,DEN,False,0,0,,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,3,28,9.33,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,4,13%,False,True,21,13,Dexter McCluster
2016,2016-10-23,7,7,27.059,SDG,ATL,False,1,-1,-1.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,9%,0,0%,5,15%,True,True,33,30,Dexter McCluster
