Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-12-13,13.0,14.0,26.07,LAC,ATL,W 20-17,True,,,,,,0.0%,,,,,,,0,0,,,,,0,,,0,0,0,2,3%,0,0%,0,0%,False,Mike Williams,True,20,17
2020.0,2020-12-17,14.0,15.0,26.074,LAC,LVR,W 30-27,True,2,2,22,11.00,0,100.0%,11.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,28,42%,0,0%,0,0%,True,Mike Williams,True,30,27
2020.0,2020-12-27,15.0,16.0,26.084,LAC,DEN,W 19-16,True,10,4,54,13.50,0,40.0%,5.40,0,0,,0,,0,0,1,0,0,1,0,0,0,0,0,0,48,84%,1,1%,0,0%,False,Mike Williams,True,19,16
2020.0,2021-01-03,16.0,17.0,26.091,LAC,KAN,W 38-21,False,7,6,108,18.00,1,85.7%,15.43,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,42,58%,0,0%,0,0%,True,Mike Williams,True,38,21
2021.0,2021-09-12,1.0,1.0,26.343,LAC,WAS,W 20-16,True,12,8,82,10.25,1,66.7%,6.83,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,61,75%,0,0%,0,0%,True,Mike Williams,True,20,16
2021.0,2021-09-19,2.0,2.0,26.35,LAC,DAL,L 17-20,True,10,7,91,13.00,1,70.0%,9.10,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,54,76%,0,0%,0,0%,False,Mike Williams,False,17,20
2021.0,2021-09-26,3.0,3.0,26.357,LAC,KAN,W 30-24,False,9,7,122,17.43,2,77.8%,13.56,0,0,,0,1,2,14,0,0,0,0,0,0,0,0,0,0,48,73%,0,0%,0,0%,True,Mike Williams,True,30,24
2021.0,2021-10-04,4.0,4.0,27.0,LAC,LVR,W 28-14,True,4,1,11,11.00,0,25.0%,2.75,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,64,85%,0,0%,0,0%,False,Mike Williams,True,28,14
2021.0,2021-10-10,5.0,5.0,27.006,LAC,CLE,W 47-42,True,16,8,165,20.63,2,50.0%,10.31,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,58,77%,0,0%,0,0%,False,Mike Williams,True,47,42
2021.0,2021-10-17,6.0,6.0,27.013,LAC,BAL,L 6-34,True,5,2,27,13.50,0,40.0%,5.40,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,20,36%,0,0%,0,0%,True,Mike Williams,False,6,34
2021.0,2021-10-31,7.0,8.0,27.027,LAC,NWE,L 24-27,True,5,2,19,9.50,0,40.0%,3.80,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,54,90%,0,0%,0,0%,False,Mike Williams,False,24,27
2021.0,2021-11-07,8.0,9.0,27.034,LAC,PHI,W 27-24,True,5,2,58,29.00,0,40.0%,11.60,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,57,83%,0,0%,0,0%,True,Mike Williams,True,27,24
2021.0,2021-11-14,9.0,10.0,27.041,LAC,MIN,L 20-27,True,6,4,33,8.25,0,66.7%,5.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,56,95%,0,0%,0,0%,False,Mike Williams,False,20,27
2021.0,2021-11-21,10.0,11.0,27.048,LAC,PIT,W 41-37,False,6,5,97,19.40,1,83.3%,16.17,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,60,79%,0,0%,0,0%,False,Mike Williams,True,41,37
2021.0,2021-11-28,11.0,12.0,27.055,LAC,DEN,L 13-28,True,8,4,39,9.75,0,50.0%,4.88,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,61,86%,0,0%,0,0%,True,Mike Williams,False,13,28
2021.0,2021-12-05,12.0,13.0,27.062,LAC,CIN,W 41-22,True,7,5,110,22.00,0,71.4%,15.71,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,56,88%,0,0%,0,0%,True,Mike Williams,True,41,22
2021.0,2021-12-12,13.0,14.0,27.069,LAC,NYG,W 37-21,True,6,6,61,10.17,0,100.0%,10.17,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,59,83%,0,0%,2,7%,False,Mike Williams,True,37,21
2021.0,2021-12-16,14.0,15.0,27.073,LAC,KAN,L 28-34,True,9,3,49,16.33,0,33.3%,5.44,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,65,81%,0,0%,0,0%,False,Mike Williams,False,28,34
2021.0,2021-12-26,15.0,16.0,,LAC,HOU,L 29-41,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Mike Williams,False,29,41
2021.0,2022-01-02,16.0,17.0,27.09,LAC,DEN,W 34-13,True,4,3,63,21.00,1,75.0%,15.75,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,56,84%,0,0%,1,4%,False,Mike Williams,True,34,13
2021.0,2022-01-09,17.0,18.0,27.097,LAC,LVR,L 32-35,True,17,9,119,13.22,1,52.9%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,67,72%,0,0%,0,0%,True,Mike Williams,False,32,35
,72 Games,,,,,,39-33-0,False,393,227,3662,16.13,26,57.8%,9.32,9,31,3.44,1,2,27,166,1,0,0,1,0,0,0,1,0,0,,,,,,,False,Mike Williams,False,33,0
