Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-10-31,8.0,9.0,24.088,SFO,ARI,W 28-25,False,1,1,7,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,19,27%,0,0%,10,38%,True,Kendrick Bourne,True,28,25
2019.0,2019-11-11,9.0,10.0,24.099,SFO,SEA,L 24-27,False,8,4,42,10.50,1,50.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,8,0,0,0,0,0,0,59,71%,0,0%,10,29%,False,Kendrick Bourne,False,24,27
2019.0,2019-11-17,10.0,11.0,24.105,SFO,ARI,W 36-26,False,6,4,31,7.75,1,66.7%,5.17,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,40,55%,0,0%,10,38%,False,Kendrick Bourne,True,36,26
2019.0,2019-11-24,11.0,12.0,24.112,SFO,GNB,W 37-8,False,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,24,50%,0,0%,10,38%,False,Kendrick Bourne,True,37,8
2019.0,2019-12-01,12.0,13.0,24.119,SFO,BAL,L 17-20,False,3,3,42,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,25,44%,0,0%,7,35%,True,Kendrick Bourne,False,17,20
2019.0,2019-12-08,13.0,14.0,24.126,SFO,NOR,W 48-46,False,4,3,18,6.00,2,75.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,37,58%,0,0%,10,27%,True,Kendrick Bourne,True,48,46
2019.0,2019-12-15,14.0,15.0,24.133,SFO,ATL,L 22-29,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,34,53%,0,0%,11,37%,False,Kendrick Bourne,False,22,29
2019.0,2019-12-21,15.0,16.0,24.139,SFO,LAR,W 34-31,False,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,30,53%,0,0%,9,24%,False,Kendrick Bourne,True,34,31
2019.0,2019-12-29,16.0,17.0,24.147,SFO,SEA,W 26-21,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,10,20%,0,0%,5,22%,True,Kendrick Bourne,True,26,21
2020.0,2020-09-13,1.0,1.0,25.04,SFO,ARI,L 20-24,True,5,2,34,17.00,0,40.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,57,92%,0,0%,0,0%,False,Kendrick Bourne,False,20,24
2020.0,2020-09-20,2.0,2.0,25.047,SFO,NYJ,W 31-13,True,5,4,67,16.75,0,80.0%,13.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,45,74%,0,0%,1,4%,True,Kendrick Bourne,True,31,13
2020.0,2020-09-27,3.0,3.0,25.054,SFO,NYG,W 36-9,True,6,4,63,15.75,0,66.7%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,64,81%,0,0%,0,0%,True,Kendrick Bourne,True,36,9
2020.0,2020-10-04,4.0,4.0,25.061,SFO,PHI,L 20-25,True,6,3,33,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,50,68%,0,0%,0,0%,False,Kendrick Bourne,False,20,25
2020.0,2020-10-11,5.0,5.0,25.068,SFO,MIA,L 17-43,False,4,2,30,15.00,1,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,42,66%,0,0%,1,3%,False,Kendrick Bourne,False,17,43
2020.0,2020-10-18,6.0,6.0,25.075,SFO,LAR,W 24-16,False,3,2,44,22.00,0,66.7%,14.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,41,56%,0,0%,0,0%,False,Kendrick Bourne,True,24,16
2020.0,2020-10-25,7.0,7.0,25.082,SFO,NWE,W 33-6,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,30,45%,0,0%,0,0%,True,Kendrick Bourne,True,33,6
2020.0,2020-11-01,8.0,8.0,25.089,SFO,SEA,L 27-37,False,10,8,81,10.13,0,80.0%,8.10,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,60,86%,0,0%,0,0%,True,Kendrick Bourne,False,27,37
2020.0,2020-11-05,9.0,9.0,,SFO,GNB,L 17-34,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,False,Kendrick Bourne,False,17,34
2020.0,2020-11-15,10.0,10.0,25.103,SFO,NOR,L 13-27,False,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,41,58%,0,0%,0,0%,True,Kendrick Bourne,False,13,27
2020.0,2020-11-29,11.0,12.0,25.117,SFO,LAR,W 23-20,False,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,41,57%,0,0%,0,0%,True,Kendrick Bourne,True,23,20
2020.0,2020-12-07,12.0,13.0,25.125,SFO,BUF,L 24-34,False,6,4,35,8.75,0,66.7%,5.83,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,30,49%,0,0%,1,4%,False,Kendrick Bourne,False,24,34
2020.0,2020-12-13,13.0,14.0,25.131,SFO,WAS,L 15-23,False,7,3,42,14.00,0,42.9%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,2,0,0,0,0,0,0,72,89%,0,0%,1,3%,False,Kendrick Bourne,False,15,23
2020.0,2020-12-20,14.0,15.0,25.138,SFO,DAL,L 33-41,False,4,4,86,21.50,1,100.0%,21.50,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,42,50%,0,0%,0,0%,True,Kendrick Bourne,False,33,41
2020.0,2020-12-26,15.0,16.0,25.144,SFO,ARI,W 20-12,False,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,19,34%,0,0%,0,0%,True,Kendrick Bourne,True,20,12
2020.0,2021-01-03,16.0,17.0,25.152,SFO,SEA,L 23-26,True,6,5,76,15.20,0,83.3%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,54,82%,0,0%,0,0%,False,Kendrick Bourne,False,23,26
2021.0,2021-09-12,1.0,1.0,26.039,NWE,MIA,L 16-17,False,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,33,44%,0,0%,1,5%,False,Kendrick Bourne,False,16,17
2021.0,2021-09-19,2.0,2.0,26.046,NWE,NYJ,W 25-6,False,3,2,10,5.00,0,66.7%,3.33,1,16,16.00,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,32,54%,0,0%,0,0%,True,Kendrick Bourne,True,25,6
2021.0,2021-09-26,3.0,3.0,26.053,NWE,NOR,L 13-28,True,8,6,96,16.00,1,75.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,55,76%,0,0%,0,0%,False,Kendrick Bourne,False,13,28
2021.0,2021-10-03,4.0,4.0,26.06,NWE,TAM,L 17-19,True,5,5,58,11.60,0,100.0%,11.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,36,61%,0,0%,1,3%,False,Kendrick Bourne,False,17,19
2021.0,2021-10-10,5.0,5.0,26.067,NWE,HOU,W 25-22,False,3,3,26,8.67,0,100.0%,8.67,1,12,12.00,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,32,50%,0,0%,0,0%,True,Kendrick Bourne,True,25,22
2021.0,2021-10-17,6.0,6.0,26.074,NWE,DAL,L 29-35,False,2,1,75,75.00,1,50.0%,37.50,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,25,46%,0,0%,0,0%,False,Kendrick Bourne,False,29,35
2021.0,2021-10-24,7.0,7.0,26.081,NWE,NYJ,W 54-13,False,4,4,68,17.00,0,100.0%,17.00,0,0,,0,1,1,100.00,25,1,0,158.3,0,0,25.00,45.00,,0,0,0,0,0,0,0,0,41,54%,0,0%,0,0%,False,Kendrick Bourne,True,54,13
2021.0,2021-10-31,8.0,8.0,26.088,NWE,LAC,W 27-24,False,7,4,38,9.50,0,57.1%,5.43,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,1,1,0,0,0,0,23,30%,0,0%,0,0%,True,Kendrick Bourne,True,27,24
2021.0,2021-11-07,9.0,9.0,26.095,NWE,CAR,W 24-6,False,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,33,53%,0,0%,0,0%,True,Kendrick Bourne,True,24,6
2021.0,2021-11-14,10.0,10.0,26.102,NWE,CLE,W 45-7,False,4,4,98,24.50,1,100.0%,24.50,3,43,14.33,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,29,43%,0,0%,0,0%,False,Kendrick Bourne,True,45,7
2021.0,2021-11-18,11.0,11.0,26.106,NWE,ATL,W 25-0,False,4,4,42,10.50,0,100.0%,10.50,1,7,7.00,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,29,45%,0,0%,0,0%,True,Kendrick Bourne,True,25,0
2021.0,2021-11-28,12.0,12.0,26.116,NWE,TEN,W 36-13,True,6,5,61,12.20,2,83.3%,10.17,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,33,55%,0,0%,0,0%,False,Kendrick Bourne,True,36,13
2021.0,2021-12-06,13.0,13.0,26.124,NWE,BUF,W 14-10,True,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,15,29%,0,0%,0,0%,True,Kendrick Bourne,True,14,10
2021.0,2021-12-18,14.0,15.0,26.136,NWE,IND,L 17-27,False,3,3,44,14.67,0,100.0%,14.67,2,19,9.50,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,48,71%,0,0%,1,4%,True,Kendrick Bourne,False,17,27
2021.0,2021-12-26,15.0,16.0,26.144,NWE,BUF,L 21-33,False,4,2,33,16.50,0,50.0%,8.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,30,47%,0,0%,0,0%,False,Kendrick Bourne,False,21,33
2021.0,2022-01-02,16.0,17.0,26.151,NWE,JAX,W 50-10,True,6,5,76,15.20,0,83.3%,12.67,2,17,8.50,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,43,60%,0,0%,1,4%,False,Kendrick Bourne,True,50,10
2021.0,2022-01-09,17.0,18.0,26.158,NWE,MIA,L 24-33,False,4,3,24,8.00,0,75.0%,6.00,1,8,8.00,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,36,58%,0,0%,0,0%,True,Kendrick Bourne,False,24,33
,75 Games,,,,,,39-36-0,False,288,192,2569,13.38,16,66.7%,8.92,12,125,10.42,0,1,1,100.00,25,1,0,158.3,0,0,25.00,45.00,2,16,100,2,1,0,1,0,0,,,,,,,False,Kendrick Bourne,False,36,0
