Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-10-18,6,6,24.253,PIT,,ARI,W 25-13,True,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,34,60%,0,0%,0,0%,False,Markus Wheaton
2015,2015-10-25,7,7,24.260,PIT,@,KAN,L 13-23,True,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,27,47%,0,0%,0,0%,True,Markus Wheaton
2015,2015-11-01,8,8,24.267,PIT,,CIN,L 10-16,False,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,45,60%,0,0%,0,0%,False,Markus Wheaton
2015,2015-11-08,9,9,24.274,PIT,,OAK,W 38-35,True,4,1,-2,-2.00,0,25.0%,-0.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,40,47%,0,0%,0,0%,False,Markus Wheaton
2015,2015-11-15,10,10,24.281,PIT,,CLE,W 30-9,False,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,45,68%,0,0%,0,0%,False,Markus Wheaton
2015,2015-11-29,11,12,24.295,PIT,@,SEA,L 30-39,False,13,9,201,22.33,1,69.2%,15.46,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,60,75%,0,0%,0,0%,True,Markus Wheaton
2015,2015-12-06,12,13,24.302,PIT,,IND,W 45-10,False,6,3,50,16.67,1,50.0%,8.33,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,41,55%,0,0%,0,0%,False,Markus Wheaton
2015,2015-12-13,13,14,24.309,PIT,@,CIN,W 33-20,True,7,4,65,16.25,0,57.1%,9.29,0,0,,0,1,17,17.00,0,,0,0,0.0,0,0,0,,,45,63%,0,0%,6,21%,True,Markus Wheaton
2015,2015-12-20,14,15,24.316,PIT,,DEN,W 34-27,False,11,6,62,10.33,1,54.5%,5.64,0,0,,0,2,49,24.50,0,,1,6,0.0,0,0,0,0,0,53,66%,0,0%,5,15%,False,Markus Wheaton
2015,2015-12-27,15,16,24.323,PIT,@,BAL,L 17-20,False,5,3,41,13.67,0,60.0%,8.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,41,67%,0,0%,5,20%,True,Markus Wheaton
2015,2016-01-03,16,17,24.330,PIT,@,CLE,W 28-12,True,5,3,57,19.00,1,60.0%,11.40,0,0,,0,2,39,19.50,0,,1,6,0.0,0,0,0,,,41,73%,0,0%,4,16%,True,Markus Wheaton
2016,2016-09-12,1,1,,PIT,@,WAS,W 38-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Markus Wheaton
2016,2016-09-18,2,2,,PIT,,CIN,W 24-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Markus Wheaton
2016,2016-09-25,3,3,25.231,PIT,@,PHI,L 3-34,True,5,1,2,2.00,0,20.0%,0.40,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,27,45%,0,0%,0,0%,True,Markus Wheaton
2016,2016-10-02,4,4,25.238,PIT,,KAN,W 43-14,False,1,1,30,30.00,1,100.0%,30.00,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,,,21,36%,0,0%,2,7%,False,Markus Wheaton
2016,2016-10-09,5,5,25.245,PIT,,NYJ,W 31-13,True,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,49,64%,0,0%,0,0%,False,Markus Wheaton
2016,2016-10-16,6,6,,PIT,@,MIA,L 15-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Markus Wheaton
2016,2016-10-23,7,7,,PIT,,NWE,L 16-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Markus Wheaton
2016,2016-11-06,8,9,,PIT,@,BAL,L 14-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Markus Wheaton
