Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2001,2001-12-02,11,12,27.296,CHI,DET,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,182,45.50,0,False,True,13,10,Brad Maynard
2001,2001-12-09,12,13,27.303,CHI,GNB,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,0,0,,0,,0,0,0,0,7,276,39.43,0,True,False,7,17,Brad Maynard
2001,2001-12-16,13,14,27.310,CHI,TAM,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,7,310,44.29,0,False,True,27,3,Brad Maynard
2001,2001-12-23,14,15,27.317,CHI,WAS,False,1,1,100.00,27,1,0,158.3,0,0,27.00,47.00,1,-10,-10.00,0,0.0,,,,,,0,,0,0,0,0,6,220,36.67,0,True,True,20,15,Brad Maynard
2001,2001-12-30,15,16,27.324,CHI,DET,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,8,333,41.63,0,True,True,24,0,Brad Maynard
2001,2002-01-06,16,17,27.331,CHI,JAX,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,98,32.67,0,False,True,33,13,Brad Maynard
2002,2002-09-08,1,1,28.211,CHI,MIN,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,3,122,40.67,0,False,True,27,23,Brad Maynard
2002,2002-09-15,2,2,28.218,CHI,ATL,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,295,42.14,0,True,True,14,13,Brad Maynard
2002,2002-09-22,3,3,28.225,CHI,NOR,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,204,40.80,0,False,False,23,29,Brad Maynard
2002,2002-09-29,4,4,28.232,CHI,BUF,False,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,232,38.67,0,True,False,27,33,Brad Maynard
