Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-09-28,4,4,24.006,JAX,SDG,True,9,25,2.78,0,3,3,7,2.33,0,100.0%,2.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,55%,0,0%,8,32%,True,False,14,33,Denard Robinson
2014,2014-10-05,5,5,24.013,JAX,PIT,False,3,6,2.00,0,2,2,-1,-0.50,0,100.0%,-0.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,34%,0,0%,7,27%,False,False,9,17,Denard Robinson
2014,2014-10-12,6,6,24.020,JAX,TEN,True,5,22,4.40,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,39%,0,0%,14,54%,True,False,14,16,Denard Robinson
2014,2014-10-19,7,7,24.027,JAX,CLE,True,22,127,5.77,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,62%,0,0%,3,10%,False,True,24,6,Denard Robinson
2014,2014-10-26,8,8,24.034,JAX,MIA,True,18,108,6.00,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,39,55%,0,0%,2,6%,False,False,13,27,Denard Robinson
2014,2014-11-02,9,9,24.041,JAX,CIN,True,17,94,5.53,1,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,60%,0,0%,1,3%,True,False,23,33,Denard Robinson
2014,2014-11-09,10,10,24.048,JAX,DAL,True,15,60,4.00,2,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,1,1,0,0,0,0,40,56%,0,0%,1,3%,False,False,17,31,Denard Robinson
2014,2014-11-23,11,12,24.062,JAX,IND,True,14,25,1.79,0,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,36,67%,0,0%,0,0%,True,False,3,23,Denard Robinson
2014,2014-11-30,12,13,24.069,JAX,NYG,True,11,44,4.00,0,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,49%,0,0%,0,0%,False,True,25,24,Denard Robinson
2014,2014-12-07,13,14,24.076,JAX,HOU,True,10,30,3.00,0,2,0,0,,0,0.0%,0.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,58%,0,0%,0,0%,False,False,13,27,Denard Robinson
2014,2014-12-14,14,15,,JAX,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,12,20,Denard Robinson
2014,2014-12-18,15,16,,JAX,TEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,21,13,Denard Robinson
