Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-12-24,15.0,16.0,25.171,CAR,TAM,W 22-19,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,119,39.67,0,0,0%,0,0%,9,32%,False,Michael Palardy,True,22,19
2017.0,2017-12-31,16.0,17.0,25.178,CAR,ATL,L 10-22,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,329,47.00,0,0,0%,0,0%,9,30%,True,Michael Palardy,False,10,22
2018.0,2018-09-09,1.0,1.0,26.065,CAR,DAL,W 16-8,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,287,47.83,0,0,0%,0,0%,9,41%,False,Michael Palardy,True,16,8
2018.0,2018-09-16,2.0,2.0,26.072,CAR,ATL,L 24-31,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,191,47.75,0,0,0%,0,0%,8,29%,True,Michael Palardy,False,24,31
2018.0,2018-09-23,3.0,3.0,26.079,CAR,CIN,W 31-21,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,165,41.25,0,0,0%,0,0%,9,35%,False,Michael Palardy,True,31,21
2018.0,2018-10-07,4.0,5.0,26.093,CAR,NYG,W 33-31,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,153,51.00,0,0,0%,0,0%,10,31%,False,Michael Palardy,True,33,31
2018.0,2018-10-14,5.0,6.0,26.1,CAR,WAS,L 17-23,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,133,44.33,0,0,0%,0,0%,5,21%,True,Michael Palardy,False,17,23
2018.0,2018-10-21,6.0,7.0,26.107,CAR,PHI,W 21-17,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,209,41.80,0,0,0%,0,0%,7,32%,True,Michael Palardy,True,21,17
2018.0,2018-10-28,7.0,8.0,26.114,CAR,BAL,W 36-21,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,137,45.67,0,0,0%,0,0%,10,36%,False,Michael Palardy,True,36,21
2018.0,2018-11-04,8.0,9.0,26.121,CAR,TAM,W 42-28,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,200,50.00,0,0,0%,0,0%,10,31%,False,Michael Palardy,True,42,28
2018.0,2018-11-08,9.0,10.0,26.125,CAR,PIT,L 21-52,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,205,41.00,0,0,0%,0,0%,8,26%,True,Michael Palardy,False,21,52
2018.0,2018-11-18,10.0,11.0,26.135,CAR,DET,L 19-20,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,222,44.40,0,0,0%,0,0%,8,30%,True,Michael Palardy,False,19,20
2018.0,2018-11-25,11.0,12.0,26.142,CAR,SEA,L 27-30,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,55,55.00,0,0,0%,0,0%,7,26%,False,Michael Palardy,False,27,30
2018.0,2018-12-02,12.0,13.0,26.149,CAR,TAM,L 17-24,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,113,56.50,0,0,0%,0,0%,5,21%,True,Michael Palardy,False,17,24
2018.0,2018-12-09,13.0,14.0,26.156,CAR,CLE,L 20-26,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,158,39.50,0,0,0%,0,0%,8,29%,True,Michael Palardy,False,20,26
2018.0,2018-12-17,14.0,15.0,26.164,CAR,NOR,L 9-12,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,239,39.83,0,0,0%,0,0%,7,35%,False,Michael Palardy,False,9,12
2018.0,2018-12-23,15.0,16.0,26.17,CAR,ATL,L 10-24,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,128,42.67,0,0,0%,0,0%,5,23%,False,Michael Palardy,False,10,24
2018.0,2018-12-30,16.0,17.0,26.177,CAR,NOR,W 33-14,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,164,54.67,0,0,0%,0,0%,9,36%,True,Michael Palardy,True,33,14
2019.0,2019-09-08,1.0,1.0,27.064,CAR,LAR,L 27-30,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,193,48.25,0,0,0%,0,0%,11,32%,False,Michael Palardy,False,27,30
