Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-10-07,5,5,24.113,CIN,MIA,True,6,5,60,12.00,0,83.3%,10.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,4,15%,False,False,13,17,Jermaine Gresham
2012,2012-10-14,6,6,24.120,CIN,CLE,True,7,3,68,22.67,1,42.9%,9.71,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,70,97%,0,0%,4,11%,True,False,24,34,Jermaine Gresham
2012,2012-10-21,7,7,24.127,CIN,PIT,False,5,3,19,6.33,0,60.0%,3.80,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,88%,0,0%,3,12%,False,False,17,24,Jermaine Gresham
2012,2012-11-04,8,9,24.141,CIN,DEN,True,8,6,108,18.00,0,75.0%,13.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,75,99%,0,0%,6,19%,False,False,23,31,Jermaine Gresham
2012,2012-11-11,9,10,24.148,CIN,NYG,True,4,3,15,5.00,1,75.0%,3.75,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,58,98%,0,0%,5,19%,False,True,31,13,Jermaine Gresham
2012,2012-11-18,10,11,24.155,CIN,KAN,True,8,6,69,11.50,0,75.0%,8.63,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,66,93%,0,0%,5,18%,True,True,28,6,Jermaine Gresham
2012,2012-11-25,11,12,24.162,CIN,OAK,True,4,4,41,10.25,1,100.0%,10.25,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,7,24%,False,True,34,10,Jermaine Gresham
2012,2012-12-02,12,13,24.169,CIN,SDG,True,6,4,35,8.75,1,66.7%,5.83,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,76,100%,0,0%,4,17%,True,True,20,13,Jermaine Gresham
2012,2012-12-09,13,14,24.176,CIN,DAL,True,7,4,43,10.75,0,57.1%,6.14,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,98%,0,0%,5,19%,False,False,19,20,Jermaine Gresham
2012,2012-12-13,14,15,24.180,CIN,PHI,True,9,6,63,10.50,0,66.7%,7.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,77,99%,0,0%,6,19%,True,True,34,13,Jermaine Gresham
2012,2012-12-23,15,16,24.190,CIN,PIT,True,4,3,38,12.67,0,75.0%,9.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,95%,0,0%,4,14%,True,True,13,10,Jermaine Gresham
2012,2012-12-30,16,17,24.197,CIN,BAL,True,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,69%,0,0%,5,15%,False,True,23,17,Jermaine Gresham
2013,2013-09-08,1,1,25.084,CIN,CHI,True,5,5,35,7.00,0,100.0%,7.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,3,12%,True,False,21,24,Jermaine Gresham
2013,2013-09-16,2,2,25.092,CIN,PIT,True,9,6,66,11.00,0,66.7%,7.33,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,81,99%,0,0%,4,14%,False,True,20,10,Jermaine Gresham
2013,2013-09-22,3,3,25.098,CIN,GNB,True,5,4,27,6.75,0,80.0%,5.40,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,53,95%,0,0%,6,20%,False,True,34,30,Jermaine Gresham
2013,2013-09-29,4,4,25.105,CIN,CLE,True,5,3,53,17.67,0,60.0%,10.60,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,87%,0,0%,2,9%,True,False,6,17,Jermaine Gresham
2013,2013-10-06,5,5,25.112,CIN,NWE,True,4,4,24,6.00,0,100.0%,6.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,96%,0,0%,3,12%,False,True,13,6,Jermaine Gresham
2013,2013-10-13,6,6,25.119,CIN,BUF,True,4,2,5,2.50,0,50.0%,1.25,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,91%,0,0%,7,22%,True,True,27,24,Jermaine Gresham
2013,2013-10-20,7,7,25.126,CIN,DET,True,5,4,64,16.00,0,80.0%,12.80,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,91%,0,0%,6,21%,True,True,27,24,Jermaine Gresham
2013,2013-10-27,8,8,25.133,CIN,NYJ,True,3,2,14,7.00,1,66.7%,4.67,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,84%,0,0%,7,23%,False,True,49,9,Jermaine Gresham
2013,2013-10-31,9,9,25.137,CIN,MIA,True,7,3,33,11.00,0,42.9%,4.71,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,84,90%,0,0%,4,12%,True,False,20,22,Jermaine Gresham
2013,2013-11-10,10,10,,CIN,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,20,Jermaine Gresham
2013,2013-11-17,11,11,25.154,CIN,CLE,True,6,2,27,13.50,1,33.3%,4.50,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,7,17%,False,True,41,20,Jermaine Gresham
2013,2013-12-01,12,13,25.168,CIN,SDG,True,2,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,3,15%,True,True,17,10,Jermaine Gresham
2013,2013-12-08,13,14,25.175,CIN,IND,True,5,5,41,8.20,1,100.0%,8.20,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,77,100%,0,0%,6,17%,False,True,42,28,Jermaine Gresham
2013,2013-12-15,14,15,25.182,CIN,PIT,True,5,3,23,7.67,0,60.0%,4.60,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,44,64%,0,0%,1,4%,True,False,20,30,Jermaine Gresham
2013,2013-12-22,15,16,25.189,CIN,MIN,True,3,3,46,15.33,1,100.0%,15.33,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,66,85%,0,0%,6,22%,False,True,42,14,Jermaine Gresham
2013,2013-12-29,16,17,,CIN,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,17,Jermaine Gresham
2014,2014-09-07,1,1,26.083,CIN,BAL,True,5,2,16,8.00,0,40.0%,3.20,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,89%,0,0%,6,21%,True,True,23,16,Jermaine Gresham
2014,2014-09-14,2,2,26.090,CIN,ATL,True,3,3,25,8.33,0,100.0%,8.33,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,97%,0,0%,7,26%,False,True,24,10,Jermaine Gresham
2014,2014-09-21,3,3,26.097,CIN,TEN,True,1,1,5,5.00,0,100.0%,5.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,82%,0,0%,5,19%,False,True,33,7,Jermaine Gresham
2014,2014-10-05,4,5,26.111,CIN,NWE,True,4,2,15,7.50,0,50.0%,3.75,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,96%,0,0%,4,12%,True,False,17,43,Jermaine Gresham
2014,2014-10-12,5,6,26.118,CIN,CAR,True,7,6,68,11.33,0,85.7%,9.71,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,80,99%,0,0%,8,23%,False,False,37,37,Jermaine Gresham
2014,2014-10-19,6,7,26.125,CIN,IND,True,12,10,48,4.80,0,83.3%,4.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,89%,0,0%,0,0%,True,False,0,27,Jermaine Gresham
2014,2014-10-26,7,8,26.132,CIN,BAL,True,4,4,34,8.50,0,100.0%,8.50,,0,0,0.0,0,0,0,,,1,0,0,1,0,0,69,100%,0,0%,5,20%,False,True,27,24,Jermaine Gresham
2014,2014-11-02,8,9,26.139,CIN,JAX,True,6,5,36,7.20,0,83.3%,6.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,94%,0,0%,5,16%,False,True,33,23,Jermaine Gresham
2014,2014-11-06,9,10,26.143,CIN,CLE,True,6,3,29,9.67,0,50.0%,4.83,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,82%,0,0%,1,4%,False,False,3,24,Jermaine Gresham
2014,2014-11-16,10,11,26.153,CIN,NOR,True,3,2,13,6.50,2,66.7%,4.33,,2,12,0.0,0,0,0,,,1,0,0,1,0,0,54,89%,0,0%,5,25%,True,True,27,10,Jermaine Gresham
2014,2014-11-23,11,12,26.160,CIN,HOU,True,6,4,33,8.25,0,66.7%,5.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,89%,0,0%,4,15%,True,True,22,13,Jermaine Gresham
2014,2014-11-30,12,13,26.167,CIN,TAM,True,5,5,33,6.60,0,100.0%,6.60,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,93%,0,0%,2,8%,True,True,14,13,Jermaine Gresham
