Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2012-01-01,16,17,,BAL,@,CIN,W 24-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Anquan Boldin
2012,2012-09-10,1,1,31.343,BAL,,CIN,W 44-13,True,5,4,63,15.75,1,80.0%,12.60,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,1,0,0,47,77%,0,0%,0,0%,False,Anquan Boldin
2012,2012-09-16,2,2,31.349,BAL,@,PHI,L 23-24,True,4,2,7,3.50,0,50.0%,1.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,65,94%,0,0%,0,0%,True,Anquan Boldin
2012,2012-09-23,3,3,31.356,BAL,,NWE,W 31-30,True,7,4,48,12.00,0,57.1%,6.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,65,90%,0,0%,0,0%,False,Anquan Boldin
2012,2012-09-27,4,4,31.360,BAL,,CLE,W 23-16,True,12,9,131,14.56,0,75.0%,10.92,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,80,98%,0,0%,0,0%,False,Anquan Boldin
2012,2012-10-07,5,5,32.004,BAL,@,KAN,W 9-6,True,10,4,82,20.50,0,40.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,50,89%,0,0%,0,0%,True,Anquan Boldin
2012,2012-10-14,6,6,32.011,BAL,,DAL,W 31-29,True,6,5,98,19.60,0,83.3%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,44,86%,0,0%,1,4%,False,Anquan Boldin
2012,2012-10-21,7,7,32.018,BAL,@,HOU,L 13-43,True,8,3,24,8.00,0,37.5%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,60,98%,0,0%,0,0%,True,Anquan Boldin
2012,2012-11-04,8,9,32.032,BAL,@,CLE,W 25-15,True,5,5,57,11.40,0,100.0%,11.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0,0,0,0,0,0,47,71%,0,0%,0,0%,True,Anquan Boldin
2012,2012-11-11,9,10,32.039,BAL,,OAK,W 55-20,True,7,4,38,9.50,0,57.1%,5.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,42,66%,0,0%,0,0%,False,Anquan Boldin
2012,2012-11-18,10,11,32.046,BAL,@,PIT,W 13-10,True,12,8,79,9.88,0,66.7%,6.58,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,53,88%,0,0%,0,0%,True,Anquan Boldin
2012,2012-11-25,11,12,32.053,BAL,@,SDG,W 16-13,True,8,2,42,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,87,94%,0,0%,0,0%,True,Anquan Boldin
2012,2012-12-02,12,13,32.060,BAL,,PIT,L 20-23,True,12,5,81,16.20,1,41.7%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,56,92%,0,0%,0,0%,False,Anquan Boldin
2012,2012-12-09,13,14,32.067,BAL,@,WAS,L 28-31,True,3,3,78,26.00,2,100.0%,26.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0,0,0,0,0,0,58,97%,0,0%,0,0%,True,Anquan Boldin
2012,2012-12-16,14,15,32.074,BAL,,DEN,L 17-34,True,6,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,64,98%,0,0%,0,0%,False,Anquan Boldin
2012,2012-12-23,15,16,32.081,BAL,,NYG,W 33-14,True,7,7,93,13.29,0,100.0%,13.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,59,69%,0,0%,0,0%,False,Anquan Boldin
