Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2005,2005-10-30,7,8,30.154,TAM,@,SFO,L 10-15,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2005,2005-11-06,8,9,30.161,TAM,,CAR,L 14-34,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,False,Matt Bryant
2005,2005-11-13,9,10,30.168,TAM,,WAS,W 36-35,False,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,,,,,,,,False,Matt Bryant
2005,2005-11-20,10,11,30.175,TAM,@,ATL,W 30-27,False,3,3,100.0,3,3,100.0,0,12,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Matt Bryant
2005,2005-11-27,11,12,30.182,TAM,,CHI,L 10-13,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2005,2005-12-04,12,13,,TAM,@,NOR,W 10-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Bryant
2005,2005-12-11,13,14,30.196,TAM,@,CAR,W 20-10,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2005,2005-12-24,15,16,30.209,TAM,,ATL,W 27-24,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2005,2006-01-01,16,17,30.217,TAM,,NOR,W 27-13,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2006,2006-09-10,1,1,31.104,TAM,,BAL,L 0-27,False,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,False,Matt Bryant
2006,2006-09-17,2,2,31.111,TAM,@,ATL,L 3-14,False,,,,1,3,33.3,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2006,2006-09-24,3,3,31.118,TAM,,CAR,L 24-26,False,3,3,100.0,1,1,100.0,0,6,0.0,0,1,1,0,0,0,0,,0,,,,,,,False,Matt Bryant
2006,2006-10-08,4,5,31.132,TAM,@,NOR,L 21-24,False,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,True,Matt Bryant
2006,2006-10-15,5,6,31.139,TAM,,CIN,W 14-13,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2006,2006-10-22,6,7,31.146,TAM,,PHI,W 23-21,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2006,2006-10-29,7,8,31.153,TAM,@,NYG,L 3-17,False,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2006,2006-11-05,8,9,31.160,TAM,,NOR,L 14-31,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,False,Matt Bryant
2006,2006-11-13,9,10,31.168,TAM,@,CAR,L 10-24,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2006,2006-11-19,10,11,31.174,TAM,,WAS,W 20-17,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2006,2006-11-23,11,12,31.178,TAM,@,DAL,L 10-38,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2006,2006-12-03,12,13,31.188,TAM,@,PIT,L 3-20,False,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2006,2006-12-10,13,14,31.195,TAM,,ATL,L 6-17,False,,,,2,3,66.7,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2006,2006-12-17,14,15,31.202,TAM,@,CHI,L 31-34,False,4,4,100.0,1,1,100.0,0,7,0.0,1,0,1,0,0,0,0,,0,,,,,,,True,Matt Bryant
2006,2006-12-24,15,16,31.209,TAM,@,CLE,W 22-7,False,1,2,50.0,3,3,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2006,2006-12-31,16,17,31.216,TAM,,SEA,L 7-23,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2007,2007-09-09,1,1,32.103,TAM,@,SEA,L 6-20,False,,,,2,2,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2007,2007-09-16,2,2,32.110,TAM,,NOR,W 31-14,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2007,2007-09-23,3,3,32.117,TAM,,STL,W 24-3,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2007,2007-09-30,4,4,32.124,TAM,@,CAR,W 20-7,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2007,2007-10-07,5,5,32.131,TAM,@,IND,L 14-33,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,Matt Bryant
2007,2007-10-14,6,6,32.138,TAM,,TEN,W 13-10,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2007,2007-10-21,7,7,32.145,TAM,@,DET,L 16-23,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2007,2007-10-28,8,8,32.152,TAM,,JAX,L 23-24,False,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,Matt Bryant
2007,2007-11-04,9,9,32.159,TAM,,ARI,W 17-10,False,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,0,0,0,0,,0,,,,,,,False,Matt Bryant
2007,2007-11-18,10,11,32.173,TAM,@,ATL,W 31-7,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2007,2007-11-25,11,12,32.180,TAM,,WAS,W 19-13,False,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2007,2007-12-02,12,13,32.187,TAM,@,NOR,W 27-23,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2007,2007-12-09,13,14,32.194,TAM,@,HOU,L 14-28,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,Matt Bryant
2007,2007-12-16,14,15,32.201,TAM,,ATL,W 37-3,False,4,4,100.0,3,3,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2007,2007-12-23,15,16,32.208,TAM,@,SFO,L 19-21,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2007,2007-12-30,16,17,32.215,TAM,,CAR,L 23-31,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2008,2008-09-07,1,1,33.101,TAM,@,NOR,L 20-24,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2008,2008-09-14,2,2,33.108,TAM,,ATL,W 24-9,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2008,2008-09-21,3,3,33.115,TAM,@,CHI,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2008,2008-09-28,4,4,33.122,TAM,,GNB,W 30-21,False,3,3,100.0,3,3,100.0,0,12,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,Matt Bryant
2008,2008-10-05,5,5,33.129,TAM,@,DEN,L 13-16,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2008,2008-10-12,6,6,33.136,TAM,,CAR,W 27-3,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,0,0,0,0,,0,,,,,,,False,Matt Bryant
2008,2008-10-19,7,7,33.143,TAM,,SEA,W 20-10,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2008,2008-10-26,8,8,33.150,TAM,@,DAL,L 9-13,False,,,,3,4,75.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2008,2008-11-02,9,9,33.157,TAM,@,KAN,W 30-27,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2008,2008-11-16,10,11,33.171,TAM,,MIN,W 19-13,False,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2008,2008-11-23,11,12,33.178,TAM,@,DET,W 38-20,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
2008,2008-11-30,12,13,33.185,TAM,,NOR,W 23-20,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,Matt Bryant
2008,2008-12-08,13,14,33.193,TAM,@,CAR,L 23-38,False,2,3,66.7,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,,,,,,,True,Matt Bryant
