Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2003,2003-12-14,14,15,23.334,JAX,NWE,True,21,40,52.50,288,1,2,63.3,1,6,7.20,5.45,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,True,False,13,27,Byron Leftwich
2003,2003-12-21,15,16,23.341,JAX,NOR,True,9,17,52.94,131,1,2,58.3,1,0,7.71,3.59,2,23,11.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,20,19,Byron Leftwich
2003,2003-12-28,16,17,23.348,JAX,ATL,True,19,32,59.38,167,1,0,83.7,1,4,5.22,5.84,3,33,11.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,False,14,21,Byron Leftwich
2004,2004-09-12,1,1,24.242,JAX,BUF,True,18,36,50.00,147,1,2,46.9,2,5,4.08,2.14,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,True,13,10,Byron Leftwich
2004,2004-09-19,2,2,24.249,JAX,DEN,True,8,16,50.00,120,1,0,95.8,1,4,7.50,8.75,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,7,6,Byron Leftwich
2004,2004-09-26,3,3,24.256,JAX,TEN,True,14,20,70.00,124,1,0,102.9,2,7,6.20,7.20,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,,,,,,,True,True,15,12,Byron Leftwich
2004,2004-10-03,4,4,24.263,JAX,IND,True,29,41,70.73,318,1,0,101.5,1,7,7.76,8.24,0,0,,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,False,False,17,24,Byron Leftwich
2004,2004-10-10,5,5,24.270,JAX,SDG,True,36,54,66.67,357,1,2,75.9,3,8,6.61,5.31,3,10,3.33,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,True,False,21,34,Byron Leftwich
2004,2004-10-17,6,6,24.277,JAX,KAN,True,24,36,66.67,298,2,0,110.6,4,21,8.28,9.39,3,25,8.33,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,False,True,22,16,Byron Leftwich
2004,2004-10-24,7,7,24.284,JAX,IND,True,23,30,76.67,300,2,1,116.0,3,14,10.00,9.83,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,,,,,,,True,True,27,24,Byron Leftwich
2004,2004-10-31,8,8,24.291,JAX,HOU,True,25,40,62.50,227,0,2,57.0,1,7,5.68,3.43,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,False,6,20,Byron Leftwich
2004,2004-11-21,10,11,,JAX,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,15,18,Byron Leftwich
2004,2004-11-28,11,12,24.319,JAX,MIN,True,19,34,55.88,235,1,0,87.3,2,10,6.91,7.50,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,True,False,16,27,Byron Leftwich
2004,2004-12-05,12,13,24.326,JAX,PIT,True,16,27,59.26,268,1,0,105.2,2,9,9.93,10.67,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,False,False,16,17,Byron Leftwich
2004,2004-12-12,13,14,24.333,JAX,CHI,True,25,45,55.56,242,2,1,76.3,0,0,5.38,5.27,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,22,3,Byron Leftwich
2004,2004-12-19,14,15,24.340,JAX,GNB,True,9,20,45.00,121,2,0,98.1,1,6,6.05,8.05,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,True,True,28,25,Byron Leftwich
2004,2004-12-26,15,16,24.347,JAX,HOU,True,6,14,42.86,35,0,1,20.5,2,16,2.50,-0.71,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,False,False,0,21,Byron Leftwich
2004,2005-01-02,16,17,24.354,JAX,OAK,True,15,28,53.57,149,0,1,54.0,1,0,5.32,3.71,10,41,4.10,0,1,1,-7,-7.00,0,100.0%,-7.00,0,0,0,,0,0,0,0,,,,,,,True,True,13,6,Byron Leftwich
2005,2005-09-11,1,1,25.240,JAX,SEA,True,17,31,54.84,252,2,0,103.2,3,15,8.13,9.42,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,False,True,26,14,Byron Leftwich
2005,2005-09-18,2,2,25.247,JAX,IND,True,16,29,55.17,198,0,0,76.5,6,23,6.83,6.83,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,3,0,0,1,0,0,,,,,,,True,False,3,10,Byron Leftwich
2005,2005-09-25,3,3,25.254,JAX,NYJ,True,16,23,69.57,177,2,1,103.0,2,8,7.70,7.48,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,True,True,26,20,Byron Leftwich
2005,2005-10-02,4,4,25.261,JAX,DEN,True,20,34,58.82,240,1,2,65.8,2,11,7.06,5.00,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,False,False,7,20,Byron Leftwich
2005,2005-10-09,5,5,25.268,JAX,CIN,True,10,24,41.67,161,2,0,92.5,0,0,6.71,8.38,5,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,23,20,Byron Leftwich
2005,2005-10-16,6,6,25.275,JAX,PIT,True,19,35,54.29,177,1,1,66.0,3,24,5.06,4.34,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,True,True,23,17,Byron Leftwich
2005,2005-10-30,7,8,25.289,JAX,STL,True,18,31,58.06,213,2,1,87.2,2,7,6.87,6.71,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,False,21,24,Byron Leftwich
2005,2005-11-06,8,9,25.296,JAX,HOU,True,19,25,76.00,218,1,0,115.1,2,4,8.72,9.52,4,10,2.50,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,False,True,21,14,Byron Leftwich
2005,2005-11-13,9,10,25.303,JAX,BAL,True,16,30,53.33,211,1,0,86.9,1,6,7.03,7.70,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,30,3,Byron Leftwich
2005,2005-11-20,10,11,25.310,JAX,TEN,True,22,38,57.89,258,3,0,104.9,2,12,6.79,8.37,6,9,1.50,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,,,,,,,True,True,31,28,Byron Leftwich
2005,2005-11-27,11,12,25.317,JAX,ARI,True,2,2,100.00,18,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,True,24,17,Byron Leftwich
2005,2005-12-04,12,13,,JAX,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,20,14,Byron Leftwich
2005,2005-12-11,13,14,,JAX,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,18,26,Byron Leftwich
2005,2005-12-18,14,15,,JAX,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,10,9,Byron Leftwich
2005,2005-12-24,15,16,,JAX,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,38,20,Byron Leftwich
2005,2006-01-01,16,17,,JAX,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,40,13,Byron Leftwich
2006,2006-09-10,1,1,26.239,JAX,DAL,True,23,34,67.65,237,1,1,85.0,1,8,6.97,6.24,5,7,1.40,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,-5,0,,,,,,,False,True,24,17,Byron Leftwich
2006,2006-09-18,2,2,26.247,JAX,PIT,True,26,39,66.67,260,0,1,74.7,1,8,6.67,5.51,5,4,0.80,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,False,True,9,0,Byron Leftwich
2006,2006-09-24,3,3,26.253,JAX,IND,True,16,28,57.14,107,1,2,47.8,1,1,3.82,1.32,6,14,2.33,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,True,False,14,21,Byron Leftwich
2006,2006-10-01,4,4,26.260,JAX,WAS,True,20,34,58.82,290,3,1,103.8,4,15,8.53,8.97,5,14,2.80,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,False,30,36,Byron Leftwich
2006,2006-10-08,5,5,26.267,JAX,NYJ,True,9,20,45.00,140,2,0,102.1,1,9,7.00,9.00,4,2,0.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,41,0,Byron Leftwich
2006,2006-10-22,6,7,26.281,JAX,HOU,True,14,28,50.00,125,0,0,62.4,1,7,4.46,4.46,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,False,7,27,Byron Leftwich
2006,2006-10-29,7,8,,JAX,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,13,6,Byron Leftwich
2006,2006-11-05,8,9,,JAX,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,37,7,Byron Leftwich
2006,2006-11-12,9,10,,JAX,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,13,Byron Leftwich
2006,2006-11-20,10,11,,JAX,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,26,10,Byron Leftwich
2006,2006-11-26,11,12,,JAX,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,24,27,Byron Leftwich
2006,2006-12-03,12,13,,JAX,MIA,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,24,10,Byron Leftwich
2006,2006-12-10,13,14,,JAX,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,44,17,Byron Leftwich
2006,2006-12-17,14,15,,JAX,TEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,17,24,Byron Leftwich
2006,2006-12-24,15,16,,JAX,NWE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,21,24,Byron Leftwich
2006,2006-12-31,16,17,,JAX,KAN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,30,35,Byron Leftwich
2007,2007-09-23,3,3,,ATL,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,27,Byron Leftwich
2007,2007-09-30,4,4,,ATL,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,26,16,Byron Leftwich
2007,2007-10-07,5,5,27.266,ATL,TEN,False,2,8,25.00,28,0,1,2.1,1,8,3.50,-2.13,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-8,0,,,,,,,True,False,13,20,Byron Leftwich
2007,2007-10-15,6,6,,ATL,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,31,Byron Leftwich
2007,2007-10-21,7,7,27.280,ATL,NOR,True,15,23,65.22,145,1,0,97.2,1,7,6.30,7.17,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,2,0,0,0,-3,0,,,,,,,True,False,16,22,Byron Leftwich
2007,2007-11-04,8,9,,ATL,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,16,Byron Leftwich
2007,2007-11-11,9,10,,ATL,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,20,13,Byron Leftwich
2007,2007-11-18,10,11,27.308,ATL,TAM,True,15,27,55.56,106,0,1,49.3,4,22,3.93,2.26,0,0,,0,0,0,0,,0,0.0%,,0,0,3,2,0,0,0,0,,,,,,,False,False,7,31,Byron Leftwich
2007,2007-11-22,11,12,,ATL,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,13,31,Byron Leftwich
2007,2007-12-02,12,13,,ATL,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,16,28,Byron Leftwich
2007,2007-12-10,13,14,,ATL,NOR,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,14,34,Byron Leftwich
2007,2007-12-16,14,15,,ATL,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,3,37,Byron Leftwich
2007,2007-12-23,15,16,,ATL,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,27,30,Byron Leftwich
2007,2007-12-30,16,17,,ATL,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,44,41,Byron Leftwich
2008,2008-09-07,1,1,28.237,PIT,HOU,False,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,38,17,Byron Leftwich
