Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2010,2010-11-28,11,12,24.025,CHI,PHI,True,5,3,68,22.67,1,60.0%,13.60,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,False,True,31,26,Johnny Knox
2010,2010-12-05,12,13,24.032,CHI,DET,True,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,True,24,20,Johnny Knox
2010,2010-12-12,13,14,24.039,CHI,NWE,True,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,False,False,7,36,Johnny Knox
2010,2010-12-20,14,15,24.047,CHI,MIN,True,7,2,78,39.00,1,28.6%,11.14,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,True,True,40,14,Johnny Knox
2010,2010-12-26,15,16,24.053,CHI,NYJ,True,6,4,92,23.00,2,66.7%,15.33,0,0,,0,1,11,11.00,0,0,0,,0,2,12,0.0,0,0,0,,,0,,0,0,0,0,False,True,38,34,Johnny Knox
2010,2011-01-02,16,17,24.060,CHI,GNB,True,8,0,0,,0,0.0%,0.00,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,True,False,3,10,Johnny Knox
2011,2011-09-11,1,1,24.312,CHI,ATL,False,4,3,60,20.00,0,75.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,30,12,Johnny Knox
2011,2011-09-18,2,2,24.319,CHI,NOR,True,6,2,45,22.50,0,33.3%,7.50,0,0,,0,1,30,30.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,False,13,30,Johnny Knox
2011,2011-09-25,3,3,24.326,CHI,GNB,True,9,4,84,21.00,0,44.4%,9.33,0,0,,0,2,40,20.00,0,1,9,9.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,False,17,27,Johnny Knox
2011,2011-10-02,4,4,24.333,CHI,CAR,True,4,3,48,16.00,0,75.0%,12.00,0,0,,0,1,32,32.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,False,True,34,29,Johnny Knox
2011,2011-10-10,5,5,24.341,CHI,DET,True,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,False,13,24,Johnny Knox
2011,2011-10-16,6,6,24.347,CHI,MIN,False,4,2,41,20.50,0,50.0%,10.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,39,10,Johnny Knox
2011,2011-10-23,7,7,24.354,CHI,TAM,True,6,3,53,17.67,0,50.0%,8.83,0,0,,0,1,29,29.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,True,24,18,Johnny Knox
2011,2011-11-07,8,9,25.004,CHI,PHI,True,1,1,14,14.00,0,100.0%,14.00,0,0,,0,2,21,10.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,True,True,30,24,Johnny Knox
2011,2011-11-13,9,10,25.010,CHI,DET,True,2,1,18,18.00,0,50.0%,9.00,0,0,,0,1,15,15.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,37,13,Johnny Knox
2011,2011-11-20,10,11,25.017,CHI,SDG,True,5,3,97,32.33,1,60.0%,19.40,0,0,,0,2,74,37.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,False,True,31,20,Johnny Knox
2011,2011-11-27,11,12,25.024,CHI,OAK,False,10,4,145,36.25,1,40.0%,14.50,0,0,,0,4,133,33.25,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,True,False,20,25,Johnny Knox
2011,2011-12-04,12,13,25.031,CHI,KAN,True,8,5,53,10.60,0,62.5%,6.63,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,False,False,3,10,Johnny Knox
2011,2011-12-11,13,14,25.038,CHI,DEN,True,5,3,37,12.33,0,60.0%,7.40,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,False,10,13,Johnny Knox
2011,2011-12-18,14,15,25.045,CHI,SEA,True,3,1,15,15.00,0,33.3%,5.00,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,False,False,14,38,Johnny Knox
2011,2011-12-25,15,16,,CHI,GNB,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,21,35,Johnny Knox
2011,2012-01-01,16,17,,CHI,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,17,13,Johnny Knox
,45 Games,,,,,,False,249,133,2214,16.65,12,53.4%,8.89,1,2,2.00,0,55,1506,27.38,1,2,9,4.50,0,13,78,0.0,1,0,1,0,0,5,4,0,1,0,0,False,False,21,0,Johnny Knox
