Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-10-16,5.0,6.0,23.145,PHI,WAS,L 20-27,False,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,44,85%,0,0%,0,0%,True,Nelson Agholor,False,20,27
2016.0,2016-10-23,6.0,7.0,23.152,PHI,MIN,W 21-10,True,6,2,10,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,43,74%,0,0%,0,0%,False,Nelson Agholor,True,21,10
2016.0,2016-10-30,7.0,8.0,23.159,PHI,DAL,L 23-29,True,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,69,91%,0,0%,0,0%,True,Nelson Agholor,False,23,29
2016.0,2016-11-06,8.0,9.0,23.166,PHI,NYG,L 23-28,True,7,4,41,10.25,0,57.1%,5.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,1,0,0,69,92%,0,0%,0,0%,True,Nelson Agholor,False,23,28
2016.0,2016-11-13,9.0,10.0,23.173,PHI,ATL,W 24-15,True,5,2,7,3.50,0,40.0%,1.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,72,91%,0,0%,0,0%,False,Nelson Agholor,True,24,15
2016.0,2016-11-20,10.0,11.0,23.18,PHI,SEA,L 15-26,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,2,0,0,0,0,0,0,69,86%,0,0%,0,0%,True,Nelson Agholor,False,15,26
2016.0,2016-11-28,11.0,12.0,,PHI,GNB,L 13-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Nelson Agholor,False,13,27
2016.0,2016-12-04,12.0,13.0,23.194,PHI,CIN,L 14-32,True,5,4,23,5.75,0,80.0%,4.60,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,True,Nelson Agholor,False,14,32
2016.0,2016-12-11,13.0,14.0,23.201,PHI,WAS,L 22-27,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,2,27,13.50,0,0,0,,0,,0,0,0,0,0,0,0,0,68,87%,0,0%,4,16%,False,Nelson Agholor,False,22,27
2016.0,2016-12-18,14.0,15.0,23.208,PHI,BAL,L 26-27,True,4,1,9,9.00,0,25.0%,2.25,1,1,1.00,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,,0,,0,0,0,0,0,0,0,0,85,98%,0,0%,9,32%,True,Nelson Agholor,False,26,27
2016.0,2016-12-22,15.0,16.0,23.212,PHI,NYG,W 24-19,True,5,2,47,23.50,1,40.0%,9.40,1,5,5.00,0,0,0,,0,0,0,,0,0,,,2,38,19.00,0,0,0,,0,,1,6,0,0,0,0,0,0,54,96%,0,0%,6,21%,False,Nelson Agholor,True,24,19
2016.0,2017-01-01,16.0,17.0,23.222,PHI,DAL,W 27-13,True,0,0,0,,0,0.0%,,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,6,8%,0,0%,0,0%,False,Nelson Agholor,True,27,13
2017.0,2017-09-10,1.0,1.0,24.109,PHI,WAS,W 30-17,False,8,6,86,14.33,1,75.0%,10.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,41,59%,0,0%,0,0%,True,Nelson Agholor,True,30,17
2017.0,2017-09-17,2.0,2.0,24.116,PHI,KAN,L 20-27,False,3,1,9,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,55,76%,0,0%,0,0%,True,Nelson Agholor,False,20,27
2017.0,2017-09-24,3.0,3.0,24.123,PHI,NYG,W 27-24,False,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,45,59%,0,0%,0,0%,False,Nelson Agholor,True,27,24
2017.0,2017-10-01,4.0,4.0,24.13,PHI,LAC,W 26-24,True,4,3,58,19.33,0,75.0%,14.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,77%,0,0%,0,0%,True,Nelson Agholor,True,26,24
2017.0,2017-10-08,5.0,5.0,24.137,PHI,ARI,W 34-7,True,5,4,93,23.25,1,80.0%,18.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,47,70%,0,0%,0,0%,False,Nelson Agholor,True,34,7
2017.0,2017-10-12,6.0,6.0,24.141,PHI,CAR,W 28-23,True,7,4,55,13.75,1,57.1%,7.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,48,77%,0,0%,0,0%,True,Nelson Agholor,True,28,23
2017.0,2017-10-23,7.0,7.0,24.152,PHI,WAS,W 34-24,True,5,4,45,11.25,1,80.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,47,72%,0,0%,0,0%,False,Nelson Agholor,True,34,24
2017.0,2017-10-29,8.0,8.0,24.158,PHI,SFO,W 33-10,True,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,36,51%,0,0%,0,0%,False,Nelson Agholor,True,33,10
2017.0,2017-11-05,9.0,9.0,24.165,PHI,DEN,W 51-23,False,4,2,36,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,39,57%,0,0%,0,0%,False,Nelson Agholor,True,51,23
