Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-12-31,16,17,24.303,NOR,@,TAM,L 24-31,True,8,6,94,15.67,0,75.0%,11.75,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,91%,0,0%,1,4%,True,Michael Thomas
2018,2018-09-09,1,1,25.190,NOR,,TAM,L 40-48,True,17,16,180,11.25,1,94.1%,10.59,0,0,,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,61,95%,0,0%,0,0%,False,Michael Thomas
2018,2018-09-16,2,2,25.197,NOR,,CLE,W 21-18,True,13,12,89,7.42,2,92.3%,6.85,0,0,,0,2,12,0.0,0,0,0,,,1,1,0,0,0,0,58,88%,0,0%,1,4%,False,Michael Thomas
2018,2018-09-23,3,3,25.204,NOR,@,ATL,W 43-37,True,10,10,129,12.90,0,100.0%,12.90,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,76,96%,0,0%,0,0%,True,Michael Thomas
2018,2018-09-30,4,4,25.211,NOR,@,NYG,W 33-18,True,4,4,47,11.75,0,100.0%,11.75,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,94%,0,0%,1,3%,True,Michael Thomas
2018,2018-10-08,5,5,25.219,NOR,,WAS,W 43-19,True,5,4,74,18.50,0,80.0%,14.80,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,77%,0,0%,1,4%,False,Michael Thomas
2018,2018-10-21,6,7,25.232,NOR,@,BAL,W 24-23,True,9,7,69,9.86,1,77.8%,7.67,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,92%,0,0%,1,4%,True,Michael Thomas
2018,2018-10-28,7,8,25.239,NOR,@,MIN,W 30-20,True,6,5,81,16.20,0,83.3%,13.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,96%,0,0%,1,4%,True,Michael Thomas
2018,2018-11-04,8,9,25.246,NOR,,LAR,W 45-35,True,15,12,211,17.58,1,80.0%,14.07,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,92%,0,0%,0,0%,False,Michael Thomas
2018,2018-11-11,9,10,25.253,NOR,@,CIN,W 51-14,True,8,8,70,8.75,2,100.0%,8.75,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,46,61%,0,0%,0,0%,True,Michael Thomas
2018,2018-11-18,10,11,25.260,NOR,,PHI,W 48-7,True,4,4,92,23.00,1,100.0%,23.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,57,81%,0,0%,0,0%,False,Michael Thomas
2018,2018-11-22,11,12,25.264,NOR,,ATL,W 31-17,True,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,91%,0,0%,1,4%,False,Michael Thomas
2018,2018-11-29,12,13,25.271,NOR,@,DAL,L 10-13,True,8,5,40,8.00,0,62.5%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,51,98%,0,0%,0,0%,True,Michael Thomas
2018,2018-12-09,13,14,25.281,NOR,@,TAM,W 28-14,True,13,11,98,8.91,0,84.6%,7.54,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,91%,0,0%,0,0%,True,Michael Thomas
2018,2018-12-17,14,15,25.289,NOR,@,CAR,W 12-9,True,9,7,49,7.00,0,77.8%,5.44,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,93%,0,0%,0,0%,True,Michael Thomas
2018,2018-12-23,15,16,25.295,NOR,,PIT,W 31-28,True,13,11,109,9.91,1,84.6%,8.38,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,92%,0,0%,0,0%,False,Michael Thomas
2018,2018-12-30,16,17,25.302,NOR,,CAR,L 14-33,True,7,5,29,5.80,0,71.4%,4.14,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,79%,0,0%,0,0%,False,Michael Thomas
2019,2019-09-09,1,1,26.190,NOR,,HOU,W 30-28,True,13,10,123,12.30,0,76.9%,9.46,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,89%,0,0%,0,0%,False,Michael Thomas
2019,2019-09-15,2,2,26.196,NOR,@,LAR,L 9-27,True,13,10,89,8.90,0,76.9%,6.85,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%,True,Michael Thomas
2019,2019-09-22,3,3,26.203,NOR,@,SEA,W 33-27,True,7,5,54,10.80,1,71.4%,7.71,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,88%,0,0%,1,4%,True,Michael Thomas
2019,2019-09-29,4,4,26.210,NOR,,DAL,W 12-10,True,9,9,95,10.56,0,100.0%,10.56,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,False,Michael Thomas
2019,2019-10-06,5,5,26.217,NOR,,TAM,W 31-24,True,13,11,182,16.55,2,84.6%,14.00,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,63,91%,0,0%,1,3%,False,Michael Thomas
2019,2019-10-13,6,6,26.224,NOR,@,JAX,W 13-6,True,12,8,89,11.13,0,66.7%,7.42,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,98%,0,0%,0,0%,True,Michael Thomas
2019,2019-10-20,7,7,26.231,NOR,@,CHI,W 36-25,True,11,9,131,14.56,0,81.8%,11.91,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,95%,0,0%,2,6%,True,Michael Thomas
2019,2019-10-27,8,8,26.238,NOR,,ARI,W 31-9,True,11,11,112,10.18,1,100.0%,10.18,1,-9,-9.00,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,89%,0,0%,0,0%,False,Michael Thomas
2019,2019-11-10,9,10,26.252,NOR,,ATL,L 9-26,True,14,13,152,11.69,0,92.9%,10.86,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,95%,0,0%,0,0%,False,Michael Thomas
2019,2019-11-17,10,11,26.259,NOR,@,TAM,W 34-17,True,10,8,114,14.25,1,80.0%,11.40,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,82%,0,0%,0,0%,True,Michael Thomas
2019,2019-11-24,11,12,26.266,NOR,,CAR,W 34-31,False,11,10,101,10.10,1,90.9%,9.18,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,88%,0,0%,0,0%,False,Michael Thomas
