Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-11-04,8,9,25.069,OAK,,TAM,L 32-42,True,7,17,2.43,0,3,2,0,0.00,0,66.7%,0.00,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,18,22%,0,0%,0,0%,False,Darren McFadden
2012,2012-11-11,9,10,,OAK,@,BAL,L 20-55,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2012,2012-11-18,10,11,,OAK,,NOR,L 17-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2012,2012-11-25,11,12,,OAK,@,CIN,L 10-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2012,2012-12-02,12,13,,OAK,,CLE,L 17-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2012,2012-12-06,13,14,25.101,OAK,,DEN,L 13-26,True,11,52,4.73,0,4,2,12,6.00,1,50.0%,3.00,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0,0,0,0,0,0,30,59%,0,0%,0,0%,False,Darren McFadden
2012,2012-12-16,14,15,25.111,OAK,,KAN,W 15-0,True,30,110,3.67,0,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,1,1,0,0,0,0,46,60%,0,0%,0,0%,False,Darren McFadden
2012,2012-12-23,15,16,25.118,OAK,@,CAR,L 6-17,True,17,33,1.94,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,48,77%,0,0%,0,0%,True,Darren McFadden
2012,2012-12-30,16,17,25.125,OAK,@,SDG,L 21-24,True,19,57,3.00,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,56,88%,0,0%,0,0%,True,Darren McFadden
2013,2013-09-08,1,1,26.012,OAK,@,IND,L 17-21,True,17,48,2.82,1,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0,0,0,0,0,0,57,90%,0,0%,0,0%,True,Darren McFadden
2013,2013-09-15,2,2,26.019,OAK,,JAX,W 19-9,True,19,129,6.79,0,4,4,28,7.00,0,100.0%,7.00,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,1,1,0,0,0,0,45,71%,0,0%,0,0%,False,Darren McFadden
2013,2013-09-23,3,3,26.027,OAK,@,DEN,L 21-37,True,12,9,0.75,1,1,0,0,,0,0.0%,0.00,1,1,100.00,16,1,0,158.3,0,0,16.00,36.00,0,0,,0,,1,6,0,0,0,0,0,0,47,87%,0,0%,0,0%,True,Darren McFadden
2013,2013-09-29,4,4,26.033,OAK,,WAS,L 14-24,True,5,29,5.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,7,11%,0,0%,0,0%,False,Darren McFadden
2013,2013-10-06,5,5,,OAK,,SDG,W 27-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2013,2013-10-13,6,6,26.047,OAK,@,KAN,L 7-24,True,16,52,3.25,0,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,49,66%,0,0%,0,0%,True,Darren McFadden
2013,2013-10-27,7,8,26.061,OAK,,PIT,W 21-18,True,24,73,3.04,2,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,,0,,,0,0,,0,,2,12,0,0,0,0,0,0,48,81%,0,0%,0,0%,False,Darren McFadden
2013,2013-11-03,8,9,26.068,OAK,,PHI,L 20-49,True,5,12,2.40,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,17,18%,0,0%,0,0%,False,Darren McFadden
