Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2002,2002-12-15,14,15,24.028,IND,CLE,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,True,28,23,Reggie Wayne
2002,2002-12-22,15,16,24.035,IND,NYG,False,6,6,104,17.33,2,100.0%,17.33,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0,,0,0,0,0,,,,,,,False,False,27,44,Reggie Wayne
2002,2002-12-29,16,17,24.042,IND,JAX,True,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,20,13,Reggie Wayne
2003,2003-09-07,1,1,24.294,IND,CLE,True,5,3,39,13.00,0,60.0%,7.80,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,9,6,Reggie Wayne
2003,2003-09-14,2,2,24.301,IND,TEN,True,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,33,7,Reggie Wayne
2003,2003-09-21,3,3,24.308,IND,JAX,True,13,10,141,14.10,2,76.9%,10.85,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0,,0,0,0,0,,,,,,,False,True,23,13,Reggie Wayne
2003,2003-09-28,4,4,24.315,IND,NOR,True,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,55,21,Reggie Wayne
2003,2003-10-06,5,5,24.323,IND,TAM,True,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,38,35,Reggie Wayne
2003,2003-10-12,6,6,24.329,IND,CAR,True,5,4,71,17.75,1,80.0%,14.20,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,False,20,23,Reggie Wayne
2003,2003-10-26,7,8,24.343,IND,HOU,True,7,6,96,16.00,2,85.7%,13.71,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0,,0,0,0,0,,,,,,,False,True,30,21,Reggie Wayne
2003,2003-11-02,8,9,24.350,IND,MIA,True,6,2,20,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,23,17,Reggie Wayne
2003,2003-11-09,9,10,24.357,IND,JAX,True,12,6,46,7.67,0,50.0%,3.83,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,23,28,Reggie Wayne
2003,2003-11-16,10,11,24.364,IND,NYJ,True,10,9,141,15.67,0,90.0%,14.10,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,38,31,Reggie Wayne
2003,2003-11-23,11,12,25.006,IND,BUF,True,9,4,39,9.75,0,44.4%,4.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,17,14,Reggie Wayne
2003,2003-11-30,12,13,25.013,IND,NWE,True,9,3,30,10.00,1,33.3%,3.33,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,False,34,38,Reggie Wayne
2003,2003-12-07,13,14,25.020,IND,TEN,True,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,29,27,Reggie Wayne
2003,2003-12-14,14,15,25.027,IND,ATL,True,8,7,57,8.14,1,87.5%,7.13,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,38,7,Reggie Wayne
2003,2003-12-21,15,16,25.034,IND,DEN,True,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,False,17,31,Reggie Wayne
2003,2003-12-28,16,17,25.041,IND,HOU,True,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,20,17,Reggie Wayne
2004,2004-09-09,1,1,25.297,IND,NWE,True,7,1,42,42.00,0,14.3%,6.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,24,27,Reggie Wayne
2004,2004-09-19,2,2,25.307,IND,TEN,True,10,7,119,17.00,1,70.0%,11.90,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,True,31,17,Reggie Wayne
2004,2004-09-26,3,3,25.314,IND,GNB,True,14,11,184,16.73,1,78.6%,13.14,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,45,31,Reggie Wayne
2004,2004-10-03,4,4,25.321,IND,JAX,True,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,24,17,Reggie Wayne
2004,2004-10-10,5,5,25.328,IND,OAK,True,8,5,69,13.80,1,62.5%,8.63,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,35,14,Reggie Wayne
2004,2004-10-24,6,7,25.342,IND,JAX,True,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,24,27,Reggie Wayne
2004,2004-10-31,7,8,25.349,IND,KAN,True,11,6,119,19.83,2,54.5%,10.82,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0,,0,0,0,0,,,,,,,True,False,35,45,Reggie Wayne
2004,2004-11-08,8,9,25.357,IND,MIN,True,4,3,22,7.33,1,75.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,31,28,Reggie Wayne
2004,2004-11-14,9,10,25.363,IND,HOU,True,6,4,33,8.25,1,66.7%,5.50,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,True,49,14,Reggie Wayne
2004,2004-11-21,10,11,26.004,IND,CHI,True,8,6,106,17.67,2,75.0%,13.25,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0,,0,0,0,0,,,,,,,True,True,41,10,Reggie Wayne
