Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-28,4.0,4.0,,MIN,ATL,W 41-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kyle Rudolph,True,41,28
2014.0,2014-10-02,5.0,5.0,,MIN,GNB,L 10-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kyle Rudolph,False,10,42
2014.0,2014-10-12,6.0,6.0,,MIN,DET,L 3-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kyle Rudolph,False,3,17
2014.0,2014-10-19,7.0,7.0,,MIN,BUF,L 16-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kyle Rudolph,False,16,17
2014.0,2014-10-26,8.0,8.0,,MIN,TAM,W 19-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kyle Rudolph,True,19,13
2014.0,2014-11-02,9.0,9.0,,MIN,WAS,W 29-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kyle Rudolph,True,29,26
2014.0,2014-11-16,10.0,11.0,25.007,MIN,CHI,L 13-21,False,0,,,,,0.0%,,,,,,,0,0,0,,,0,0,0,14,30%,0,0%,0,0%,True,Kyle Rudolph,False,13,21
2014.0,2014-11-23,11.0,12.0,25.014,MIN,GNB,L 21-24,True,5,3,50,16.67,0,60.0%,10.00,0,0,,0,,0,0,0,0,0,0,0,0,60,88%,0,0%,0,0%,False,Kyle Rudolph,False,21,24
2014.0,2014-11-30,12.0,13.0,25.021,MIN,CAR,W 31-13,True,3,2,7,3.50,1,66.7%,2.33,0,0,,0,,1,6,1,0,0,0,0,0,44,92%,0,0%,0,0%,False,Kyle Rudolph,True,31,13
2014.0,2014-12-07,13.0,14.0,25.028,MIN,NYJ,W 30-24,True,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,0,0,0,0,0,0,0,0,54,93%,0,0%,0,0%,False,Kyle Rudolph,True,30,24
2014.0,2014-12-14,14.0,15.0,25.035,MIN,DET,L 14-16,True,7,7,69,9.86,0,100.0%,9.86,0,0,,0,,0,0,0,0,0,0,0,0,61,88%,0,0%,1,4%,True,Kyle Rudolph,False,14,16
2014.0,2014-12-21,15.0,16.0,,MIN,MIA,L 35-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kyle Rudolph,False,35,37
2014.0,2014-12-28,16.0,17.0,25.049,MIN,CHI,W 13-9,True,0,,,,,0.0%,,,,,,,0,0,0,,,0,0,0,42,68%,0,0%,0,0%,False,Kyle Rudolph,True,13,9
2015.0,2015-09-14,1.0,1.0,25.309,MIN,SFO,L 3-20,True,7,5,53,10.60,0,71.4%,7.57,0,0,,0,,0,0,0,0,0,0,0,0,50,93%,0,0%,2,9%,True,Kyle Rudolph,False,3,20
2015.0,2015-09-20,2.0,2.0,25.315,MIN,DET,W 26-16,True,7,5,30,6.00,1,71.4%,4.29,0,0,,0,,1,6,0,0,0,0,0,0,55,85%,0,0%,5,21%,False,Kyle Rudolph,True,26,16
2015.0,2015-09-27,3.0,3.0,25.322,MIN,SDG,W 31-14,True,5,2,14,7.00,0,40.0%,2.80,0,0,,0,,0,0,0,0,0,0,0,0,49,88%,0,0%,6,22%,False,Kyle Rudolph,True,31,14
2015.0,2015-10-04,4.0,4.0,25.329,MIN,DEN,L 20-23,True,4,2,7,3.50,0,50.0%,1.75,0,0,,0,,0,0,0,0,0,0,0,0,68,93%,0,0%,5,17%,True,Kyle Rudolph,False,20,23
2015.0,2015-10-18,5.0,6.0,25.343,MIN,KAN,W 16-10,True,5,2,9,4.50,1,40.0%,1.80,0,0,,0,,1,6,0,0,0,0,0,0,56,80%,0,0%,4,17%,False,Kyle Rudolph,True,16,10
2015.0,2015-10-25,6.0,7.0,25.35,MIN,DET,W 28-19,True,2,2,10,5.00,1,100.0%,5.00,0,0,,0,,1,6,0,0,0,0,0,0,53,71%,0,0%,7,23%,True,Kyle Rudolph,True,28,19
2015.0,2015-11-01,7.0,8.0,25.357,MIN,CHI,W 23-20,True,2,2,22,11.00,0,100.0%,11.00,0,0,,0,,0,0,0,0,0,0,0,0,51,88%,0,0%,5,17%,True,Kyle Rudolph,True,23,20
2015.0,2015-11-08,8.0,9.0,25.364,MIN,STL,W 21-18,True,2,2,30,15.00,0,100.0%,15.00,0,0,,0,,0,0,0,0,0,0,0,0,61,85%,0,0%,3,9%,False,Kyle Rudolph,True,21,18
2015.0,2015-11-15,9.0,10.0,26.006,MIN,OAK,W 30-14,True,4,1,7,7.00,0,25.0%,1.75,0,0,,0,,0,0,0,0,0,0,0,0,53,85%,0,0%,8,28%,True,Kyle Rudolph,True,30,14
2015.0,2015-11-22,10.0,11.0,26.013,MIN,GNB,L 13-30,True,9,6,106,17.67,1,66.7%,11.78,0,0,,0,,1,6,0,0,0,0,0,0,54,84%,0,0%,2,7%,False,Kyle Rudolph,False,13,30
2015.0,2015-11-29,11.0,12.0,26.02,MIN,ATL,W 20-10,True,10,7,53,7.57,0,70.0%,5.30,0,0,,0,,0,0,0,0,0,0,0,0,59,84%,0,0%,6,32%,True,Kyle Rudolph,True,20,10
2015.0,2015-12-06,12.0,13.0,26.027,MIN,SEA,L 7-38,True,4,3,13,4.33,0,75.0%,3.25,0,0,,0,,0,0,0,0,0,0,0,0,32,62%,0,0%,1,4%,False,Kyle Rudolph,False,7,38
2015.0,2015-12-10,13.0,14.0,26.031,MIN,ARI,L 20-23,True,6,6,67,11.17,0,100.0%,11.17,0,0,,0,,0,0,0,0,0,0,0,0,57,84%,0,0%,4,16%,True,Kyle Rudolph,False,20,23
2015.0,2015-12-20,14.0,15.0,26.041,MIN,CHI,W 38-17,True,2,2,21,10.50,0,100.0%,10.50,0,0,,0,,0,0,0,0,0,0,0,0,53,85%,0,0%,7,26%,False,Kyle Rudolph,True,38,17
2015.0,2015-12-27,15.0,16.0,26.048,MIN,NYG,W 49-17,True,3,2,53,26.50,1,66.7%,17.67,0,0,,0,,1,6,0,0,0,0,0,0,52,73%,0,0%,11,29%,False,Kyle Rudolph,True,49,17
2015.0,2016-01-03,16.0,17.0,26.055,MIN,GNB,W 20-13,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,42,88%,0,0%,4,15%,True,Kyle Rudolph,True,20,13
2016.0,2016-09-11,1.0,1.0,26.307,MIN,TEN,W 25-16,True,8,4,65,16.25,0,50.0%,8.13,0,0,,0,,0,0,0,0,0,0,0,0,58,92%,0,0%,9,31%,True,Kyle Rudolph,True,25,16
2016.0,2016-09-18,2.0,2.0,26.314,MIN,GNB,W 17-14,True,8,3,31,10.33,1,37.5%,3.88,0,0,,0,,1,6,0,0,0,0,0,0,56,97%,0,0%,3,12%,False,Kyle Rudolph,True,17,14
2016.0,2016-09-25,3.0,3.0,26.321,MIN,CAR,W 22-10,True,10,7,70,10.00,1,70.0%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,53,96%,0,0%,3,11%,True,Kyle Rudolph,True,22,10
2016.0,2016-10-03,4.0,4.0,26.329,MIN,NYG,W 24-10,True,7,5,55,11.00,1,71.4%,7.86,0,0,,0,,1,6,0,0,0,0,0,0,72,97%,0,0%,5,19%,False,Kyle Rudolph,True,24,10
2016.0,2016-10-09,5.0,5.0,26.335,MIN,HOU,W 31-13,True,4,2,15,7.50,0,50.0%,3.75,0,0,,0,,0,0,0,0,0,0,0,0,68,92%,0,0%,5,17%,False,Kyle Rudolph,True,31,13
2016.0,2016-10-23,6.0,7.0,26.349,MIN,PHI,L 10-21,True,11,5,55,11.00,0,45.5%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,72,95%,0,0%,2,9%,True,Kyle Rudolph,False,10,21
2016.0,2016-10-31,7.0,8.0,26.357,MIN,CHI,L 10-20,True,6,5,31,6.20,0,83.3%,5.17,0,0,,0,,0,0,0,0,0,0,0,0,57,93%,0,0%,2,8%,True,Kyle Rudolph,False,10,20
2016.0,2016-11-06,8.0,9.0,26.363,MIN,DET,L 16-22,True,3,1,1,1.00,1,33.3%,0.33,0,0,,0,,1,6,0,0,0,0,0,0,65,93%,0,0%,4,15%,False,Kyle Rudolph,False,16,22
