Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-11,1,1,29.292,SEA,,MIA,W 12-10,False,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,21%,0,0%,0,0%,False,Jimmy Graham
2016,2016-09-18,2,2,29.299,SEA,@,LAR,L 3-9,True,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,82%,0,0%,0,0%,True,Jimmy Graham
2016,2016-09-25,3,3,29.306,SEA,,SFO,W 37-18,True,9,6,100,16.67,1,66.7%,11.11,0,0,,0,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,47,67%,0,0%,2,6%,False,Jimmy Graham
2016,2016-10-02,4,4,29.313,SEA,@,NYJ,W 27-17,True,8,6,113,18.83,0,75.0%,14.13,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,67%,0,0%,1,4%,True,Jimmy Graham
2016,2016-10-16,5,6,29.327,SEA,,ATL,W 26-24,True,9,6,89,14.83,0,66.7%,9.89,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,95%,0,0%,0,0%,False,Jimmy Graham
2016,2016-10-23,6,7,29.334,SEA,@,ARI,T 6-6,True,10,5,53,10.60,0,50.0%,5.30,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,97%,0,0%,0,0%,True,Jimmy Graham
2016,2016-10-30,7,8,29.341,SEA,@,NOR,L 20-25,True,5,3,34,11.33,0,60.0%,6.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,91%,0,0%,0,0%,True,Jimmy Graham
2016,2016-11-07,8,9,29.349,SEA,,BUF,W 31-25,True,8,8,103,12.88,2,100.0%,12.88,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,42,89%,0,0%,0,0%,False,Jimmy Graham
2016,2016-11-13,9,10,29.355,SEA,@,NWE,W 31-24,True,4,4,48,12.00,0,100.0%,12.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,96%,0,0%,0,0%,True,Jimmy Graham
2016,2016-11-20,10,11,29.362,SEA,,PHI,W 26-15,True,5,3,46,15.33,1,60.0%,9.20,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,75%,0,0%,1,3%,False,Jimmy Graham
2016,2016-11-27,11,12,30.003,SEA,@,TAM,L 5-14,True,7,6,67,11.17,0,85.7%,9.57,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,63,100%,0,0%,0,0%,True,Jimmy Graham
2016,2016-12-04,12,13,30.010,SEA,,CAR,W 40-7,True,9,6,63,10.50,1,66.7%,7.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,75%,0,0%,0,0%,False,Jimmy Graham
2016,2016-12-11,13,14,30.017,SEA,@,GNB,L 10-38,True,4,1,16,16.00,0,25.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,58%,0,0%,0,0%,True,Jimmy Graham
2016,2016-12-15,14,15,30.021,SEA,,LAR,W 24-3,True,2,1,31,31.00,0,50.0%,15.50,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,61%,0,0%,0,0%,False,Jimmy Graham
2016,2016-12-24,15,16,30.030,SEA,,ARI,L 31-34,True,3,2,43,21.50,1,66.7%,14.33,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,82%,0,0%,0,0%,False,Jimmy Graham
2016,2017-01-01,16,17,30.038,SEA,@,SFO,W 25-23,True,7,4,64,16.00,0,57.1%,9.14,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,58%,0,0%,1,3%,True,Jimmy Graham
2017,2017-09-10,1,1,30.290,SEA,@,GNB,L 9-17,True,8,3,8,2.67,0,37.5%,1.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,82%,0,0%,0,0%,True,Jimmy Graham
2017,2017-09-17,2,2,30.297,SEA,,SFO,W 12-9,False,2,1,1,1.00,0,50.0%,0.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,66%,0,0%,0,0%,False,Jimmy Graham
2017,2017-09-24,3,3,30.304,SEA,@,TEN,L 27-33,True,11,7,72,10.29,0,63.6%,6.55,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,66%,0,0%,0,0%,True,Jimmy Graham
2017,2017-10-01,4,4,30.311,SEA,,IND,W 46-18,True,6,4,61,15.25,0,66.7%,10.17,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,68%,0,0%,0,0%,False,Jimmy Graham
2017,2017-10-08,5,5,30.318,SEA,@,LAR,W 16-10,True,8,6,37,6.17,1,75.0%,4.63,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,62%,0,0%,0,0%,True,Jimmy Graham
2017,2017-10-22,6,7,30.332,SEA,@,NYG,W 24-7,True,6,3,51,17.00,1,50.0%,8.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,63%,0,0%,0,0%,True,Jimmy Graham
2017,2017-10-29,7,8,30.339,SEA,,HOU,W 41-38,True,5,4,39,9.75,2,80.0%,7.80,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,49,71%,0,0%,0,0%,False,Jimmy Graham
2017,2017-11-05,8,9,30.346,SEA,,WAS,L 14-17,True,8,5,59,11.80,0,62.5%,7.38,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,69%,0,0%,0,0%,False,Jimmy Graham
2017,2017-11-09,9,10,30.350,SEA,@,ARI,W 22-16,True,9,6,27,4.50,2,66.7%,3.00,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,44,70%,0,0%,1,3%,True,Jimmy Graham
2017,2017-11-20,10,11,30.361,SEA,,ATL,L 31-34,True,11,7,58,8.29,1,63.6%,5.27,0,0,,0,1,1,8,0.0,0,0,0,,,0,0,0,0,0,0,48,65%,0,0%,0,0%,False,Jimmy Graham
2017,2017-11-26,11,12,31.002,SEA,@,SFO,W 24-13,True,6,3,34,11.33,1,50.0%,5.67,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,47,69%,0,0%,4,13%,True,Jimmy Graham
2017,2017-12-03,12,13,31.009,SEA,,PHI,W 24-10,False,4,3,26,8.67,1,75.0%,6.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,68%,0,0%,0,0%,False,Jimmy Graham
2017,2017-12-10,13,14,31.016,SEA,@,JAX,L 24-30,False,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,61%,0,0%,0,0%,True,Jimmy Graham
2017,2017-12-17,14,15,31.023,SEA,,LAR,L 7-42,True,3,1,-1,-1.00,0,33.3%,-0.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,80%,0,0%,1,3%,False,Jimmy Graham
2017,2017-12-24,15,16,31.030,SEA,@,DAL,W 21-12,True,1,1,3,3.00,1,100.0%,3.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,70%,0,0%,0,0%,True,Jimmy Graham
2017,2017-12-31,16,17,31.037,SEA,,ARI,L 24-26,True,6,3,45,15.00,0,50.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,72%,0,0%,5,14%,False,Jimmy Graham
2018,2018-09-09,1,1,31.289,GNB,,CHI,W 24-23,True,4,2,8,4.00,0,50.0%,2.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,98%,0,0%,0,0%,False,Jimmy Graham
2018,2018-09-16,2,2,31.296,GNB,,MIN,T 29-29,True,8,6,95,15.83,0,75.0%,11.88,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,75%,0,0%,0,0%,False,Jimmy Graham
2018,2018-09-23,3,3,31.303,GNB,@,WAS,L 17-31,True,7,5,45,9.00,0,71.4%,6.43,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,93%,0,0%,0,0%,True,Jimmy Graham
2018,2018-09-30,4,4,31.310,GNB,,BUF,W 22-0,True,6,3,21,7.00,1,50.0%,3.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,71%,0,0%,0,0%,False,Jimmy Graham
2018,2018-10-07,5,5,31.317,GNB,@,DET,L 23-31,True,10,6,76,12.67,0,60.0%,7.60,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,81%,0,0%,0,0%,True,Jimmy Graham
2018,2018-10-15,6,6,31.325,GNB,,SFO,W 33-30,False,9,5,104,20.80,0,55.6%,11.56,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,79%,0,0%,0,0%,False,Jimmy Graham
2018,2018-10-28,7,8,31.338,GNB,@,LAR,L 27-29,True,4,1,21,21.00,0,25.0%,5.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,88%,0,0%,0,0%,True,Jimmy Graham
2018,2018-11-04,8,9,31.345,GNB,@,NWE,L 17-31,True,6,4,55,13.75,1,66.7%,9.17,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,80%,0,0%,0,0%,True,Jimmy Graham
2018,2018-11-11,9,10,31.352,GNB,,MIA,W 31-12,True,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,68%,0,0%,0,0%,False,Jimmy Graham
2018,2018-11-15,10,11,31.356,GNB,@,SEA,L 24-27,True,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,43%,0,0%,0,0%,True,Jimmy Graham
2018,2018-11-25,11,12,32.001,GNB,@,MIN,L 17-24,False,4,2,34,17.00,0,50.0%,8.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,42%,0,0%,0,0%,True,Jimmy Graham
2018,2018-12-02,12,13,32.008,GNB,,ARI,L 17-20,True,11,8,50,6.25,0,72.7%,4.55,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,71%,0,0%,0,0%,False,Jimmy Graham
2018,2018-12-09,13,14,32.015,GNB,,ATL,W 34-20,True,5,2,13,6.50,0,40.0%,2.60,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,72%,0,0%,0,0%,False,Jimmy Graham
2018,2018-12-16,14,15,32.022,GNB,@,CHI,L 17-24,False,4,3,32,10.67,0,75.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,69%,0,0%,0,0%,True,Jimmy Graham
2018,2018-12-23,15,16,32.029,GNB,@,NYJ,W 44-38,False,4,3,34,11.33,0,75.0%,8.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,71%,0,0%,0,0%,True,Jimmy Graham
2018,2018-12-30,16,17,32.036,GNB,,DET,L 0-31,True,5,3,21,7.00,0,60.0%,4.20,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,70%,0,0%,0,0%,False,Jimmy Graham
2019,2019-09-05,1,1,32.285,GNB,@,CHI,W 10-3,False,5,3,30,10.00,1,60.0%,6.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,54%,0,0%,0,0%,True,Jimmy Graham
2019,2019-09-15,2,2,32.295,GNB,,MIN,W 21-16,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,72%,0,0%,0,0%,False,Jimmy Graham
2019,2019-09-22,3,3,32.302,GNB,,DEN,W 27-16,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,41%,0,0%,0,0%,False,Jimmy Graham
2019,2019-09-26,4,4,32.306,GNB,,PHI,L 27-34,True,9,6,61,10.17,1,66.7%,6.78,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,71%,0,0%,0,0%,False,Jimmy Graham
2019,2019-10-06,5,5,32.316,GNB,@,DAL,W 34-24,True,3,3,41,13.67,0,100.0%,13.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,69%,0,0%,1,3%,True,Jimmy Graham
2019,2019-10-14,6,6,32.324,GNB,,DET,W 23-22,False,5,2,17,8.50,0,40.0%,3.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,73%,0,0%,0,0%,False,Jimmy Graham
2019,2019-10-20,7,7,32.330,GNB,,OAK,W 42-24,False,4,4,65,16.25,1,100.0%,16.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,55%,0,0%,1,4%,False,Jimmy Graham
2019,2019-10-27,8,8,32.337,GNB,@,KAN,W 31-24,True,5,3,20,6.67,0,60.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,61%,0,0%,0,0%,True,Jimmy Graham
2019,2019-11-03,9,9,32.344,GNB,@,LAC,L 11-26,True,4,4,17,4.25,0,100.0%,4.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,64%,0,0%,0,0%,True,Jimmy Graham
2019,2019-11-10,10,10,32.351,GNB,,CAR,W 24-16,True,3,2,59,29.50,0,66.7%,19.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,64%,0,0%,0,0%,False,Jimmy Graham
2019,2019-11-24,11,12,33.000,GNB,@,SFO,L 8-37,True,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,48%,0,0%,0,0%,True,Jimmy Graham
2019,2019-12-01,12,13,33.007,GNB,@,NYG,W 31-13,False,1,1,16,16.00,0,100.0%,16.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,42%,0,0%,0,0%,True,Jimmy Graham
2019,2019-12-08,13,14,33.014,GNB,,WAS,W 20-15,True,5,3,49,16.33,0,60.0%,9.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,52%,0,0%,1,4%,False,Jimmy Graham
