Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-10-12,6,6,25.021,GNB,SEA,True,7,5,84,16.80,1,71.4%,12.00,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,27,17,Greg Jennings
2008,2008-10-19,7,7,25.028,GNB,IND,True,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,34,14,Greg Jennings
2008,2008-11-02,8,9,25.042,GNB,TEN,True,11,3,79,26.33,0,27.3%,7.18,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,16,19,Greg Jennings
2008,2008-11-09,9,10,25.049,GNB,MIN,True,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,,0,0,1,0,0,1,0,0,,,,,,,True,False,27,28,Greg Jennings
2008,2008-11-16,10,11,25.056,GNB,CHI,True,6,5,64,12.80,1,83.3%,10.67,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,37,3,Greg Jennings
2008,2008-11-24,11,12,25.064,GNB,NOR,True,15,8,101,12.63,1,53.3%,6.73,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,29,51,Greg Jennings
2008,2008-11-30,12,13,25.070,GNB,CAR,False,13,8,91,11.38,1,61.5%,7.00,0,0,,0,0,0,,0,1,1,8,0,,0,0,0,0,,,,,,,False,False,31,35,Greg Jennings
2008,2008-12-07,13,14,25.077,GNB,HOU,True,7,2,74,37.00,0,28.6%,10.57,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,21,24,Greg Jennings
2008,2008-12-14,14,15,25.084,GNB,JAX,True,9,3,22,7.33,1,33.3%,2.44,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,16,20,Greg Jennings
2008,2008-12-22,15,16,25.092,GNB,CHI,True,9,6,38,6.33,1,66.7%,4.22,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,17,20,Greg Jennings
