Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_Sfty,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-12-15,14.0,15.0,23.312,SEA,NYG,W 23-0,True,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,49,71%,0,0%,12,44%,True,Jermaine Kearse,True,23,0
2013.0,2013-12-22,15.0,16.0,23.319,SEA,ARI,L 10-17,False,7,3,38,12.67,0,42.9%,5.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,41,79%,0,0%,1,3%,False,Jermaine Kearse,False,10,17
2013.0,2013-12-29,16.0,17.0,,SEA,STL,W 27-9,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Jermaine Kearse,True,27,9
2014.0,2014-09-04,1.0,1.0,24.21,SEA,GNB,W 36-16,False,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,77%,0,0%,8,30%,False,Jermaine Kearse,True,36,16
2014.0,2014-09-14,2.0,2.0,24.22,SEA,SDG,L 21-30,True,5,4,61,15.25,0,80.0%,12.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,88%,0,0%,4,14%,True,Jermaine Kearse,False,21,30
2014.0,2014-09-21,3.0,3.0,24.227,SEA,DEN,W 26-20,True,2,2,22,11.00,0,100.0%,11.00,0,0,,0,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,81%,0,0%,16,50%,False,Jermaine Kearse,True,26,20
2014.0,2014-10-06,4.0,5.0,24.242,SEA,WAS,W 27-17,True,2,1,15,15.00,1,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,88%,0,0%,9,27%,True,Jermaine Kearse,True,27,17
2014.0,2014-10-12,5.0,6.0,24.248,SEA,DAL,L 23-30,True,7,3,62,20.67,0,42.9%,8.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,96%,0,0%,16,52%,False,Jermaine Kearse,False,23,30
2014.0,2014-10-19,6.0,7.0,24.255,SEA,STL,L 26-28,True,7,3,50,16.67,0,42.9%,7.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,64,90%,0,0%,7,25%,True,Jermaine Kearse,False,26,28
2014.0,2014-10-26,7.0,8.0,24.262,SEA,CAR,W 13-9,True,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,92%,0,0%,4,21%,True,Jermaine Kearse,True,13,9
2014.0,2014-11-02,8.0,9.0,24.269,SEA,OAK,W 30-24,True,7,1,4,4.00,0,14.3%,0.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,68,84%,0,0%,12,33%,False,Jermaine Kearse,True,30,24
