Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-10-20,7,7,28.239,DET,CIN,True,7,3,7,2.33,1,42.9%,1.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,75,96%,0,0%,5,17%,False,False,24,27,Brandon Pettigrew
2013,2013-10-27,8,8,28.246,DET,DAL,True,6,3,31,10.33,0,50.0%,5.17,0,0,0.0,0,0,0,,,0,0,0,0,0,0,77,96%,0,0%,5,14%,False,True,31,30,Brandon Pettigrew
2013,2013-11-10,9,10,28.260,DET,CHI,True,5,5,70,14.00,0,100.0%,14.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,92%,0,0%,5,20%,True,True,21,19,Brandon Pettigrew
2013,2013-11-17,10,11,28.267,DET,PIT,True,5,3,37,12.33,0,60.0%,7.40,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,84%,0,0%,6,17%,True,False,27,37,Brandon Pettigrew
2013,2013-11-24,11,12,28.274,DET,TAM,True,5,3,32,10.67,1,60.0%,6.40,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,91%,0,0%,3,11%,False,False,21,24,Brandon Pettigrew
2013,2013-11-28,12,13,28.278,DET,GNB,True,2,1,6,6.00,0,50.0%,3.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,88%,0,0%,7,26%,False,True,40,10,Brandon Pettigrew
2013,2013-12-08,13,14,28.288,DET,PHI,True,3,1,23,23.00,0,33.3%,7.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,1,4%,True,False,20,34,Brandon Pettigrew
2013,2013-12-16,14,15,28.296,DET,BAL,True,2,2,23,11.50,0,100.0%,11.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,85%,0,0%,2,7%,False,False,16,18,Brandon Pettigrew
2013,2013-12-22,15,16,,DET,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,23,Brandon Pettigrew
2013,2013-12-29,16,17,,DET,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,13,14,Brandon Pettigrew
2014,2014-09-08,1,1,29.197,DET,NYG,True,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,58%,0,0%,6,23%,False,True,35,14,Brandon Pettigrew
