Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-27,3.0,3.0,27.058,CIN,BAL,W 28-24,True,13,10,227,22.70,2,76.9%,17.46,0,0,,0,2,12,0,0,0,0,0,0,0,0,0,0,68,93%,0,0%,0,0%,True,A.J. Green,True,28,24
2015.0,2015-10-04,4.0,4.0,27.065,CIN,KAN,W 36-21,True,10,7,82,11.71,0,70.0%,8.20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,44,81%,0,0%,1,3%,False,A.J. Green,True,36,21
2015.0,2015-10-11,5.0,5.0,27.072,CIN,SEA,W 27-24,True,8,6,78,13.00,0,75.0%,9.75,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,82,96%,0,0%,0,0%,False,A.J. Green,True,27,24
2015.0,2015-10-18,6.0,6.0,27.079,CIN,BUF,W 34-21,True,7,4,36,9.00,0,57.1%,5.14,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,57,93%,0,0%,0,0%,True,A.J. Green,True,34,21
2015.0,2015-11-01,7.0,8.0,27.093,CIN,PIT,W 16-10,True,17,11,118,10.73,1,64.7%,6.94,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,64,96%,0,0%,0,0%,True,A.J. Green,True,16,10
2015.0,2015-11-05,8.0,9.0,27.097,CIN,CLE,W 31-10,True,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,59,88%,0,0%,0,0%,False,A.J. Green,True,31,10
2015.0,2015-11-16,9.0,10.0,27.108,CIN,HOU,L 6-10,True,7,5,67,13.40,0,71.4%,9.57,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%,False,A.J. Green,False,6,10
2015.0,2015-11-22,10.0,11.0,27.114,CIN,ARI,L 31-34,True,12,4,79,19.75,0,33.3%,6.58,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,68,89%,0,0%,0,0%,True,A.J. Green,False,31,34
2015.0,2015-11-29,11.0,12.0,27.121,CIN,STL,W 31-7,True,8,6,61,10.17,2,75.0%,7.63,0,0,,0,2,12,0,0,0,0,0,0,0,0,0,0,51,86%,0,0%,0,0%,False,A.J. Green,True,31,7
2015.0,2015-12-06,12.0,13.0,27.128,CIN,CLE,W 37-3,True,6,5,128,25.60,1,83.3%,21.33,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,40,70%,0,0%,0,0%,True,A.J. Green,True,37,3
2015.0,2015-12-13,13.0,14.0,27.135,CIN,PIT,L 20-33,True,9,6,132,22.00,1,66.7%,14.67,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,55,95%,0,0%,0,0%,False,A.J. Green,False,20,33
2015.0,2015-12-20,14.0,15.0,27.142,CIN,SFO,W 24-14,True,3,1,37,37.00,0,33.3%,12.33,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,38,59%,0,0%,0,0%,True,A.J. Green,True,24,14
2015.0,2015-12-28,15.0,16.0,27.15,CIN,DEN,L 17-20,True,9,5,57,11.40,1,55.6%,6.33,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,67,93%,0,0%,0,0%,True,A.J. Green,False,17,20
2015.0,2016-01-03,16.0,17.0,27.156,CIN,BAL,W 24-16,True,5,4,34,8.50,1,80.0%,6.80,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,52,85%,0,0%,1,4%,False,A.J. Green,True,24,16
2016.0,2016-09-11,1.0,1.0,28.042,CIN,NYJ,W 23-22,True,13,12,180,15.00,1,92.3%,13.85,0,0,,0,1,6,0,,0,0,0,0,0,0,0,0,54,95%,0,0%,0,0%,True,A.J. Green,True,23,22
2016.0,2016-09-18,2.0,2.0,28.049,CIN,PIT,L 16-24,True,8,2,38,19.00,0,25.0%,4.75,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,72,95%,0,0%,0,0%,True,A.J. Green,False,16,24
2016.0,2016-09-25,3.0,3.0,28.056,CIN,DEN,L 17-29,True,11,8,77,9.63,0,72.7%,7.00,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,64,96%,0,0%,0,0%,False,A.J. Green,False,17,29
2016.0,2016-09-29,4.0,4.0,28.06,CIN,MIA,W 22-7,True,12,10,173,17.30,1,83.3%,14.42,0,0,,0,1,6,0,,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,False,A.J. Green,True,22,7
2016.0,2016-10-09,5.0,5.0,28.07,CIN,DAL,L 14-28,True,8,4,50,12.50,0,50.0%,6.25,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,True,A.J. Green,False,14,28
2016.0,2016-10-16,6.0,6.0,28.077,CIN,NWE,L 17-35,True,10,6,88,14.67,0,60.0%,8.80,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,62,91%,0,0%,0,0%,True,A.J. Green,False,17,35
2016.0,2016-10-23,7.0,7.0,28.084,CIN,CLE,W 31-17,True,8,8,169,21.13,1,100.0%,21.13,0,0,,0,1,6,0,,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,False,A.J. Green,True,31,17
2016.0,2016-10-30,8.0,8.0,28.091,CIN,WAS,T 27-27,True,18,9,121,13.44,0,50.0%,6.72,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,81,92%,1,1%,0,0%,False,A.J. Green,False,27,27
2016.0,2016-11-14,9.0,10.0,28.106,CIN,NYG,L 20-21,True,11,7,68,9.71,1,63.6%,6.18,0,0,,0,1,6,0,,0,0,0,0,0,0,0,0,50,86%,0,0%,0,0%,True,A.J. Green,False,20,21
2016.0,2016-11-20,10.0,11.0,28.112,CIN,BUF,L 12-16,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,False,A.J. Green,False,12,16
2016.0,2016-11-27,11.0,12.0,,CIN,BAL,L 14-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,A.J. Green,False,14,19
2016.0,2016-12-04,12.0,13.0,,CIN,PHI,W 32-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,A.J. Green,True,32,14
2016.0,2016-12-11,13.0,14.0,,CIN,CLE,W 23-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,A.J. Green,True,23,10
2016.0,2016-12-18,14.0,15.0,,CIN,PIT,L 20-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,A.J. Green,False,20,24
2016.0,2016-12-24,15.0,16.0,,CIN,HOU,L 10-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,A.J. Green,False,10,12
2016.0,2017-01-01,16.0,17.0,,CIN,BAL,W 27-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,A.J. Green,True,27,10
2017.0,2017-09-10,1.0,1.0,29.041,CIN,BAL,L 0-20,True,10,5,74,14.80,0,50.0%,7.40,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,55,90%,0,0%,0,0%,False,A.J. Green,False,0,20
2017.0,2017-09-14,2.0,2.0,29.045,CIN,HOU,L 9-13,True,8,5,67,13.40,0,62.5%,8.38,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,False,A.J. Green,False,9,13
2017.0,2017-09-24,3.0,3.0,29.055,CIN,GNB,L 24-27,True,13,10,111,11.10,1,76.9%,8.54,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,56,92%,0,0%,0,0%,True,A.J. Green,False,24,27
2017.0,2017-10-01,4.0,4.0,29.062,CIN,CLE,W 31-7,True,7,5,63,12.60,1,71.4%,9.00,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,55,86%,0,0%,0,0%,True,A.J. Green,True,31,7
