Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-12-18,14,15,22.246,HOU,,JAX,W 21-20,True,8,4,42,10.50,0,50.0%,5.25,1,-3,-3.00,0,1,12,12.00,0,4,38,9.50,0,,0,0,1,0,0,0,0,0,68,81%,0,0%,9,26%,False,Will Fuller
2016,2016-12-24,15,16,22.252,HOU,,CIN,W 12-10,True,6,3,39,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,95%,0,0%,0,0%,False,Will Fuller
2016,2017-01-01,16,17,22.260,HOU,@,TEN,L 17-24,True,7,3,24,8.00,0,42.9%,3.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,73,99%,0,0%,0,0%,True,Will Fuller
2017,2017-09-10,1,1,,HOU,,JAX,L 7-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Will Fuller
2017,2017-09-14,2,2,,HOU,@,CIN,W 13-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Will Fuller
2017,2017-09-24,3,3,,HOU,@,NWE,L 33-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Will Fuller
2017,2017-10-01,4,4,23.168,HOU,,TEN,W 57-14,True,6,4,35,8.75,2,66.7%,5.83,1,4,4.00,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,67,80%,0,0%,3,9%,False,Will Fuller
2017,2017-10-08,5,5,23.175,HOU,,KAN,L 34-42,True,3,2,57,28.50,2,66.7%,19.00,1,5,5.00,0,0,0,,0,1,49,49.00,0,,2,12,0,0,0,0,0,0,59,92%,0,0%,2,6%,False,Will Fuller
2017,2017-10-15,6,6,23.182,HOU,,CLE,W 33-17,True,5,2,62,31.00,1,40.0%,12.40,0,0,,0,0,0,,0,2,39,19.50,0,,1,6,0,0,0,0,0,0,54,82%,0,0%,4,12%,False,Will Fuller
2017,2017-10-29,7,8,23.196,HOU,@,SEA,L 38-41,True,8,5,125,25.00,2,62.5%,15.63,0,0,,0,0,0,,0,3,27,9.00,0,,2,12,0,0,0,0,0,0,62,87%,0,0%,5,13%,True,Will Fuller
2017,2017-11-05,8,9,23.203,HOU,,IND,L 14-20,True,8,2,32,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,2,4,2.00,0,,0,0,0,0,0,0,0,0,71,100%,0,0%,6,21%,False,Will Fuller
2017,2017-11-12,9,10,23.210,HOU,@,LAR,L 7-33,True,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,32,46%,0,0%,0,0%,True,Will Fuller
2017,2017-11-19,10,11,,HOU,,ARI,W 31-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Will Fuller
2017,2017-11-27,11,12,,HOU,@,BAL,L 16-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Will Fuller
2017,2017-12-03,12,13,,HOU,@,TEN,L 13-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Will Fuller
2017,2017-12-10,13,14,23.238,HOU,,SFO,L 16-26,True,5,3,26,8.67,0,60.0%,5.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Will Fuller
2017,2017-12-17,14,15,23.245,HOU,@,JAX,L 7-45,True,5,5,44,8.80,0,100.0%,8.80,0,0,,0,0,0,,0,1,16,16.00,0,,0,0,0,0,0,0,0,0,54,95%,0,0%,5,14%,True,Will Fuller
2017,2017-12-25,15,16,23.253,HOU,,PIT,L 6-34,True,5,1,10,10.00,0,20.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,95%,0,0%,0,0%,False,Will Fuller
2017,2017-12-31,16,17,23.259,HOU,@,IND,L 13-22,True,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,5,9%,0,0%,0,0%,True,Will Fuller
2018,2018-09-09,1,1,,HOU,@,NWE,L 20-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Will Fuller
2018,2018-09-16,2,2,24.153,HOU,@,TEN,L 17-20,True,9,8,113,14.13,1,88.9%,12.56,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,55,82%,0,0%,0,0%,True,Will Fuller
2018,2018-09-23,3,3,24.160,HOU,,NYG,L 22-27,True,11,5,101,20.20,1,45.5%,9.18,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%,False,Will Fuller
2018,2018-09-30,4,4,24.167,HOU,@,IND,W 37-34,True,5,4,49,12.25,1,80.0%,9.80,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,27,31%,0,0%,0,0%,True,Will Fuller
2018,2018-10-07,5,5,24.174,HOU,,DAL,W 19-16,True,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,77,96%,0,0%,0,0%,False,Will Fuller
2018,2018-10-14,6,6,24.181,HOU,,BUF,W 20-13,True,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,False,Will Fuller
2018,2018-10-21,7,7,24.188,HOU,@,JAX,W 20-7,True,8,6,68,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,81%,0,0%,0,0%,True,Will Fuller
2018,2018-10-25,8,8,24.192,HOU,,MIA,W 42-23,True,6,5,124,24.80,1,83.3%,20.67,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,44,72%,0,0%,0,0%,False,Will Fuller
2018,2018-11-04,9,9,,HOU,@,DEN,W 19-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Will Fuller
2018,2018-11-18,10,11,,HOU,@,WAS,W 23-21,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Will Fuller
2018,2018-11-26,11,12,,HOU,,TEN,W 34-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Will Fuller
2018,2018-12-02,12,13,,HOU,,CLE,W 29-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Will Fuller
2018,2018-12-09,13,14,,HOU,,IND,L 21-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Will Fuller
2018,2018-12-15,14,15,,HOU,@,NYJ,W 29-22,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Will Fuller
2018,2018-12-23,15,16,,HOU,@,PHI,L 30-32,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Will Fuller
2018,2018-12-30,16,17,,HOU,,JAX,W 20-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Will Fuller
2019,2019-09-09,1,1,25.146,HOU,@,NOR,L 28-30,True,3,2,69,34.50,0,66.7%,23.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,True,Will Fuller
2019,2019-09-15,2,2,25.152,HOU,,JAX,W 13-12,True,7,4,40,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,58,91%,0,0%,0,0%,False,Will Fuller
2019,2019-09-22,3,3,25.159,HOU,@,LAC,W 27-20,True,7,5,51,10.20,0,71.4%,7.29,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,97%,0,0%,0,0%,True,Will Fuller
2019,2019-09-29,4,4,25.166,HOU,,CAR,L 10-16,True,6,3,23,7.67,0,50.0%,3.83,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,99%,0,0%,0,0%,False,Will Fuller
2019,2019-10-06,5,5,25.173,HOU,,ATL,W 53-32,True,16,14,217,15.50,3,87.5%,13.56,0,0,,0,0,0,,0,0,0,,0,,3,18,1,0,0,0,0,0,69,99%,0,0%,0,0%,False,Will Fuller
2019,2019-10-13,6,6,25.180,HOU,@,KAN,W 31-24,True,9,5,44,8.80,0,55.6%,4.89,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,78,88%,0,0%,0,0%,True,Will Fuller
2019,2019-10-20,7,7,25.187,HOU,@,IND,L 23-30,True,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,True,Will Fuller
2019,2019-10-27,8,8,,HOU,,OAK,W 27-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Will Fuller
2019,2019-11-03,9,9,,HOU,@,JAX,W 26-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Will Fuller
2019,2019-11-17,10,11,,HOU,@,BAL,L 7-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Will Fuller
2019,2019-11-21,11,12,25.219,HOU,,IND,W 20-17,True,11,7,140,20.00,0,63.6%,12.73,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,90%,0,0%,0,0%,False,Will Fuller
2019,2019-12-01,12,13,25.229,HOU,,NWE,W 28-22,True,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,75%,0,0%,0,0%,False,Will Fuller
2019,2019-12-08,13,14,,HOU,,DEN,L 24-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Will Fuller
2019,2019-12-15,14,15,25.243,HOU,@,TEN,W 24-21,True,7,5,61,12.20,0,71.4%,8.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,True,Will Fuller
2019,2019-12-21,15,16,25.249,HOU,@,TAM,W 23-20,True,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,19,29%,0,0%,0,0%,True,Will Fuller
2019,2019-12-29,16,17,,HOU,,TEN,L 14-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Will Fuller
2020,2020-09-10,1,1,26.147,HOU,@,KAN,L 20-34,True,10,8,112,14.00,0,80.0%,11.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,80%,0,0%,0,0%,True,Will Fuller
2020,2020-09-20,2,2,26.157,HOU,,BAL,L 16-33,True,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,63%,0,0%,0,0%,False,Will Fuller
2020,2020-09-27,3,3,26.164,HOU,@,PIT,L 21-28,True,5,4,54,13.50,1,80.0%,10.80,0,0,,0,0,0,,0,1,1,1.00,0,,1,6,0,0,0,0,0,0,44,94%,0,0%,1,4%,True,Will Fuller
2020,2020-10-04,4,4,26.171,HOU,,MIN,L 23-31,True,7,6,108,18.00,1,85.7%,15.43,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,77%,0,0%,0,0%,False,Will Fuller
2020,2020-10-11,5,5,26.178,HOU,,JAX,W 30-14,True,8,4,58,14.50,1,50.0%,7.25,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,48,83%,0,0%,0,0%,False,Will Fuller
2020,2020-10-18,6,6,26.185,HOU,@,TEN,L 36-42,True,11,6,123,20.50,1,54.5%,11.18,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,66,93%,0,0%,0,0%,True,Will Fuller
2020,2020-10-25,7,7,26.192,HOU,,GNB,L 20-35,True,6,3,35,11.67,1,50.0%,5.83,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,67,99%,0,0%,0,0%,False,Will Fuller
2020,2020-11-08,8,9,26.206,HOU,@,JAX,W 27-25,True,5,5,100,20.00,1,100.0%,20.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,88%,0,0%,0,0%,True,Will Fuller
2020,2020-11-15,9,10,26.213,HOU,@,CLE,L 7-10,True,8,5,38,7.60,0,62.5%,4.75,0,0,,0,0,0,,0,1,13,13.00,0,,0,0,0,0,0,0,0,0,55,96%,0,0%,2,12%,True,Will Fuller
2020,2020-11-22,10,11,26.220,HOU,,NWE,W 27-20,True,8,6,80,13.33,0,75.0%,10.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,98%,0,0%,0,0%,False,Will Fuller
2020,2020-11-26,11,12,26.224,HOU,@,DET,W 41-25,True,7,6,171,28.50,2,85.7%,24.43,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,47,82%,0,0%,1,3%,True,Will Fuller
2020,2020-12-06,12,13,,HOU,,IND,L 20-26,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Will Fuller
2020,2020-12-13,13,14,,HOU,@,CHI,L 7-36,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Will Fuller
2020,2020-12-20,14,15,,HOU,@,IND,L 20-27,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Will Fuller
2020,2020-12-27,15,16,,HOU,,CIN,L 31-37,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Will Fuller
2020,2021-01-03,16,17,,HOU,,TEN,L 38-41,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Will Fuller
2021,2021-09-12,1,1,,MIA,@,NWE,W 17-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Will Fuller
