Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-23,3,3,25.165,IND,JAX,True,18,62,3.44,0,1,1,39,39.00,0,100.0%,39.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,51%,0,0%,0,0%,False,False,17,22,Donald Brown
2012,2012-10-07,4,5,25.179,IND,GNB,True,17,84,4.94,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,68,71%,0,0%,0,0%,False,True,30,27,Donald Brown
2012,2012-10-14,5,6,,IND,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,35,Donald Brown
2012,2012-10-21,6,7,,IND,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,17,13,Donald Brown
2012,2012-10-28,7,8,25.200,IND,TEN,False,14,80,5.71,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,38%,0,0%,0,0%,True,True,19,13,Donald Brown
2012,2012-11-04,8,9,25.207,IND,MIA,False,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,True,23,20,Donald Brown
2012,2012-11-08,9,10,25.211,IND,JAX,False,14,42,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,42%,0,0%,0,0%,True,True,27,10,Donald Brown
2012,2012-11-18,10,11,25.221,IND,NWE,False,4,17,4.25,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,24%,0,0%,0,0%,True,False,24,59,Donald Brown
2012,2012-11-25,11,12,25.228,IND,BUF,False,10,26,2.60,0,1,1,23,23.00,0,100.0%,23.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,37%,0,0%,0,0%,False,True,20,13,Donald Brown
2012,2012-12-02,12,13,25.235,IND,DET,False,6,13,2.17,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,31%,0,0%,0,0%,True,True,35,33,Donald Brown
2012,2012-12-09,13,14,,IND,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,23,Donald Brown
2012,2012-12-16,14,15,,IND,HOU,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,17,29,Donald Brown
2012,2012-12-23,15,16,,IND,KAN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,20,13,Donald Brown
