Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-11-08,9,9,23.167,NYG,SDG,True,6,6,52,8.67,0,100.0%,8.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,20,21,Mario Manningham
2009,2009-11-22,10,11,23.181,NYG,ATL,True,10,6,126,21.00,0,60.0%,12.60,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,31,Mario Manningham
2009,2009-11-26,11,12,23.185,NYG,DEN,True,11,5,48,9.60,0,45.5%,4.36,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,6,26,Mario Manningham
2009,2009-12-06,12,13,23.195,NYG,DAL,True,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,24,Mario Manningham
2009,2009-12-13,13,14,23.202,NYG,PHI,False,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,38,45,Mario Manningham
2009,2009-12-21,14,15,23.210,NYG,WAS,False,4,3,44,14.67,1,75.0%,11.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,45,12,Mario Manningham
2009,2009-12-27,15,16,23.216,NYG,CAR,False,8,6,87,14.50,0,75.0%,10.88,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,False,9,41,Mario Manningham
2009,2010-01-03,16,17,,NYG,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,44,Mario Manningham
2010,2010-09-12,1,1,24.110,NYG,CAR,False,4,4,85,21.25,0,100.0%,21.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,31,18,Mario Manningham
2010,2010-09-19,2,2,24.117,NYG,IND,True,6,4,75,18.75,1,66.7%,12.50,1,2,2.00,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,38,Mario Manningham
