Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2001,2001-11-11,8,9,26.337,PHI,MIN,False,0,0,,0,0,0,,0,0,0,,,,,,6,6,100.0,2,2,100.0,0,12,0.0,2,0,2,0,,0,0,,0,,,,,,,False,True,48,17,David Akers
2001,2001-11-18,9,10,26.344,PHI,DAL,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,5,5,100.0,0,18,0.0,2,0,2,0,,0,0,,0,,,,,,,True,True,36,3,David Akers
2001,2001-11-25,10,11,26.351,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,False,False,3,13,David Akers
2001,2001-11-29,11,12,26.355,PHI,KAN,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,,0,0,,0,,,,,,,True,True,23,10,David Akers
2001,2001-12-09,12,13,27.000,PHI,SDG,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,True,24,14,David Akers
2001,2001-12-16,13,14,27.007,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,True,20,6,David Akers
2001,2001-12-22,14,15,27.013,PHI,SFO,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,False,3,13,David Akers
2001,2001-12-30,15,16,27.021,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,,0,0,,0,,,,,,,False,True,24,21,David Akers
2001,2002-01-06,16,17,27.028,PHI,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,0,,0,0,,0,,,,,,,True,True,17,13,David Akers
2002,2002-09-08,1,1,27.273,PHI,TEN,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,False,24,27,David Akers
2002,2002-09-16,2,2,27.281,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,3,3,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,True,True,37,7,David Akers
2002,2002-09-22,3,3,27.287,PHI,DAL,False,1,10,10.00,0,0,0,,0,0,0,,,,,,5,5,100.0,3,3,100.0,0,14,0.0,,,,,,0,0,,0,,,,,,,False,True,44,13,David Akers
2002,2002-09-29,4,4,27.294,PHI,HOU,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,1,0,1,0,,0,0,,0,,,,,,,False,True,35,17,David Akers
2002,2002-10-06,5,5,27.301,PHI,JAX,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0,0,,0,,,,,,,True,False,25,28,David Akers
2002,2002-10-20,6,7,27.315,PHI,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0,0,,0,,,,,,,False,True,20,10,David Akers
2002,2002-10-28,7,8,27.323,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,,,,3,4,75.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,True,17,3,David Akers
2002,2002-11-03,8,9,27.329,PHI,CHI,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,True,True,19,13,David Akers
2002,2002-11-10,9,10,27.336,PHI,IND,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,False,13,35,David Akers
2002,2002-11-17,10,11,27.343,PHI,ARI,False,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,True,38,14,David Akers
2002,2002-11-25,11,12,27.351,PHI,SFO,False,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,1,2,50.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,True,38,17,David Akers
2002,2002-12-01,12,13,27.357,PHI,STL,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,True,10,3,David Akers
2002,2002-12-08,13,14,27.364,PHI,SEA,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0.0,1,0,1,0,,0,0,,0,,,,,,,True,True,27,20,David Akers
2002,2002-12-15,14,15,28.006,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,True,34,21,David Akers
2002,2002-12-21,15,16,28.012,PHI,DAL,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,True,True,27,3,David Akers
2002,2002-12-28,16,17,28.019,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,0,1,1,0,,0,0,,0,,,,,,,True,False,7,10,David Akers
2003,2003-09-08,1,1,28.273,PHI,TAM,False,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,False,False,0,17,David Akers
2003,2003-09-14,2,2,28.279,PHI,NWE,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,False,10,31,David Akers
2003,2003-09-28,3,4,28.293,PHI,BUF,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,,0,0,,0,,,,,,,True,True,23,13,David Akers
2003,2003-10-05,4,5,28.300,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,True,27,25,David Akers
2003,2003-10-12,5,6,28.307,PHI,DAL,False,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,True,False,21,23,David Akers
2003,2003-10-19,6,7,28.314,PHI,NYG,False,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0,0,,,,,,,,,True,True,14,10,David Akers
2003,2003-10-26,7,8,28.321,PHI,NYJ,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,1,0,1,0,,0,0,,0,,,,,,,False,True,24,17,David Akers
2003,2003-11-02,8,9,28.328,PHI,ATL,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,4,75.0,0,11,0.0,,,,,,0,0,,0,,,,,,,True,True,23,16,David Akers
2003,2003-11-10,9,10,28.336,PHI,GNB,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,,0,0,,0,,,,,,,True,True,17,14,David Akers
2003,2003-11-16,10,11,28.342,PHI,NYG,False,0,0,,0,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,,,,,,,,False,True,28,10,David Akers
2003,2003-11-23,11,12,28.349,PHI,NOR,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,4,4,100.0,0,15,0.0,,,,,,0,0,,0,,,,,,,False,True,33,20,David Akers
2003,2003-11-30,12,13,28.356,PHI,CAR,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,,0,0,,0,,,,,,,True,True,25,16,David Akers
2003,2003-12-07,13,14,28.363,PHI,DAL,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,,0,0,,0,,,,,,,False,True,36,10,David Akers
2003,2003-12-15,14,15,29.006,PHI,MIA,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,0,0,,0,,,,,,,True,True,34,27,David Akers
2003,2003-12-21,15,16,29.012,PHI,SFO,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,,2,0.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,False,28,31,David Akers
2003,2003-12-27,16,17,29.018,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,True,31,7,David Akers
2004,2004-09-12,1,1,29.278,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,True,31,17,David Akers
2004,2004-09-20,2,2,29.286,PHI,MIN,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,True,27,16,David Akers
2004,2004-09-26,3,3,29.292,PHI,DET,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,0,,0,,,,,,,True,True,30,13,David Akers
2004,2004-10-03,4,4,29.299,PHI,CHI,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,4,6,66.7,0,13,0.0,,,,,,0,0,,0,,,,,,,True,True,19,9,David Akers
2004,2004-10-17,5,6,29.313,PHI,CAR,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,1,36,36.00,0,,,,,,,False,True,30,8,David Akers
2004,2004-10-24,6,7,29.320,PHI,CLE,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,True,True,34,31,David Akers
2004,2004-10-31,7,8,29.327,PHI,BAL,False,0,0,,0,0,0,,0,0,0,,,,,,,,,3,3,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,True,15,10,David Akers
2004,2004-11-07,8,9,29.334,PHI,PIT,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,False,3,27,David Akers
2004,2004-11-15,9,10,29.342,PHI,DAL,False,0,0,,0,0,0,,0,0,,,,,,,7,7,100.0,,,,0,7,0.0,1,0,1,0,,0,0,,,,,,,,,True,True,49,21,David Akers
2004,2004-11-21,10,11,29.348,PHI,WAS,False,0,0,,0,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,,,,,,,,False,True,28,6,David Akers
2004,2004-11-28,11,12,29.355,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,True,True,27,6,David Akers
2004,2004-12-05,12,13,29.362,PHI,GNB,False,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,4,4,100.0,0,17,0.0,,,,,,0,0,,0,,,,,,,False,True,47,17,David Akers
2004,2004-12-12,13,14,30.003,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,True,17,14,David Akers
2004,2004-12-19,14,15,30.010,PHI,DAL,False,0,0,,0,0,0,,0,0,,,,,,,,1,0.0,,,,0,0,0.0,,,,,,0,0,,,,,,,,,False,True,12,7,David Akers
2004,2004-12-27,15,16,30.018,PHI,STL,False,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,True,False,7,20,David Akers
2004,2005-01-02,16,17,30.024,PHI,CIN,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,False,10,38,David Akers
2005,2005-09-12,1,1,30.277,PHI,ATL,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,3,33.3,0,4,0.0,,,,,,0,0,,0,,,,,,,True,False,10,14,David Akers
2005,2005-09-18,2,2,30.283,PHI,SFO,False,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,,1,0.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,True,42,3,David Akers
2005,2005-09-25,3,3,30.290,PHI,OAK,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,True,23,20,David Akers
2005,2005-10-02,4,4,,PHI,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,37,31,David Akers
2005,2005-10-09,5,5,,PHI,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,33,David Akers
2005,2005-10-23,6,7,,PHI,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,17,David Akers
2005,2005-10-30,7,8,,PHI,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,21,49,David Akers
