Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2003.0,2003-11-23,11.0,12.0,24.208,SEA,BAL,L 41-44,False,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,41,44
2003.0,2003-11-30,12.0,13.0,24.215,SEA,CLE,W 34-7,False,0,0,,0,0,0,,,,,,4,4,100.0,2,3,66.7,0,10,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,34,7
2003.0,2003-12-07,13.0,14.0,24.222,SEA,MIN,L 7-34,False,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0.0,1,0,1,0,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,7,34
2003.0,2003-12-14,14.0,15.0,24.229,SEA,STL,L 22-27,False,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,22,27
2003.0,2003-12-21,15.0,16.0,24.236,SEA,ARI,W 28-10,False,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,False,Josh Brown,True,28,10
2003.0,2003-12-27,16.0,17.0,24.242,SEA,SFO,W 24-17,False,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,24,17
2004.0,2004-09-12,1.0,1.0,25.136,SEA,NOR,W 21-7,False,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,0.0,0,0,0,0,,0,0,,0,0,0,0,0,,,,,,,,,True,Josh Brown,True,21,7
2004.0,2004-09-19,2.0,2.0,25.143,SEA,TAM,W 10-6,False,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,10,6
2004.0,2004-09-26,3.0,3.0,25.15,SEA,SFO,W 34-0,False,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,0,1,1,0,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,34,0
2004.0,2004-10-10,4.0,5.0,25.164,SEA,STL,L 27-33,False,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,0,0,0,0,1,35,35.00,0,,,,,,,False,Josh Brown,False,27,33
2004.0,2004-10-17,5.0,6.0,25.171,SEA,NWE,L 20-30,False,0,0,,0,0,0,,,,,,,,,4,4,100.0,0,12,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,20,30
2004.0,2004-10-24,6.0,7.0,25.178,SEA,ARI,L 17-25,False,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,17,25
2004.0,2004-10-31,7.0,8.0,25.185,SEA,CAR,W 23-17,False,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,23,17
2004.0,2004-11-07,8.0,9.0,25.192,SEA,SFO,W 42-27,False,0,0,,0,0,,,,,,,6,6,100.0,,,,0,6,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,True,Josh Brown,True,42,27
2004.0,2004-11-14,9.0,10.0,25.199,SEA,STL,L 12-23,False,0,0,,0,0,0,,,,,,,,,4,4,100.0,0,12,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,12,23
2004.0,2004-11-21,10.0,11.0,25.206,SEA,MIA,W 24-17,False,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,24,17
2004.0,2004-11-28,11.0,12.0,25.213,SEA,BUF,L 9-38,False,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,9,38
2004.0,2004-12-06,12.0,13.0,25.221,SEA,DAL,L 39-43,False,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0.0,0,1,1,0,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,39,43
2004.0,2004-12-12,13.0,14.0,25.227,SEA,MIN,W 27-23,False,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,27,23
2004.0,2004-12-19,14.0,15.0,25.234,SEA,NYJ,L 14-37,False,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,True,Josh Brown,False,14,37
2004.0,2004-12-26,15.0,16.0,25.241,SEA,ARI,W 24-21,False,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,24,21
2004.0,2005-01-02,16.0,17.0,25.248,SEA,ATL,W 28-26,False,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,False,Josh Brown,True,28,26
2005.0,2005-09-11,1.0,1.0,26.135,SEA,JAX,L 14-26,False,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,True,Josh Brown,False,14,26
2005.0,2005-09-18,2.0,2.0,26.142,SEA,ATL,W 21-18,False,0,0,,0,0,0,,,,,,3,3,100.0,,,,0,3,0.0,,,,,,0,0,0,0,0,0,1,20,20.00,0,,,,,,,False,Josh Brown,True,21,18
2005.0,2005-09-25,3.0,3.0,26.149,SEA,ARI,W 37-12,False,0,0,,0,0,0,,,,,,4,4,100.0,3,3,100.0,0,13,0.0,1,0,1,0,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,37,12
2005.0,2005-10-02,4.0,4.0,26.156,SEA,WAS,L 17-20,False,0,0,,0,0,0,,,,,,2,2,100.0,1,3,33.3,0,5,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,17,20
2005.0,2005-10-09,5.0,5.0,26.163,SEA,STL,W 37-31,False,0,0,,0,0,0,,,,,,4,4,100.0,3,3,100.0,0,13,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,37,31
2005.0,2005-10-16,6.0,6.0,26.17,SEA,HOU,W 42-10,False,0,0,,0,0,,,,,,,6,6,100.0,,,,0,6,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,False,Josh Brown,True,42,10
2005.0,2005-10-23,7.0,7.0,26.177,SEA,DAL,W 13-10,False,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,13,10
2005.0,2005-11-06,8.0,9.0,26.191,SEA,ARI,W 33-19,False,0,0,,0,0,0,,,,,,3,4,75.0,2,2,100.0,0,9,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,33,19
2005.0,2005-11-13,9.0,10.0,26.198,SEA,STL,W 31-16,False,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,31,16
2005.0,2005-11-20,10.0,11.0,26.205,SEA,SFO,W 27-25,False,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0.0,1,1,2,0,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,27,25
2005.0,2005-11-27,11.0,12.0,26.212,SEA,NYG,W 24-21,False,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,24,21
2005.0,2005-12-05,12.0,13.0,26.22,SEA,PHI,W 42-0,False,0,0,,0,0,0,,,,,,6,6,100.0,,1,0.0,0,6,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,42,0
2005.0,2005-12-11,13.0,14.0,26.226,SEA,SFO,W 41-3,False,0,0,,0,0,0,,,,,,5,5,100.0,2,3,66.7,0,11,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,41,3
2005.0,2005-12-18,14.0,15.0,26.233,SEA,TEN,W 28-24,False,0,0,,0,0,0,,,,,,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,28,24
2005.0,2005-12-24,15.0,16.0,26.239,SEA,IND,W 28-13,False,0,0,,0,0,0,,,,,,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,28,13
2005.0,2006-01-01,16.0,17.0,26.247,SEA,GNB,L 17-23,False,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,17,23
2006.0,2006-09-10,1.0,1.0,27.134,SEA,DET,W 9-6,False,0,0,,0,0,0,,,,,,,,,3,5,60.0,0,9,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,9,6
2006.0,2006-09-17,2.0,2.0,27.141,SEA,ARI,W 21-10,False,0,0,,0,0,0,,,,,,3,3,100.0,,1,0.0,0,3,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,21,10
2006.0,2006-09-24,3.0,3.0,27.148,SEA,NYG,W 42-30,False,0,0,,0,0,,,,,,,6,6,100.0,,,,0,6,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,False,Josh Brown,True,42,30
2006.0,2006-10-01,4.0,4.0,27.155,SEA,CHI,L 6-37,False,0,0,,0,0,0,,,,,,,,,2,2,100.0,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,6,37
2006.0,2006-10-15,5.0,6.0,27.169,SEA,STL,W 30-28,False,0,0,,0,0,0,,,,,,3,3,100.0,3,4,75.0,0,12,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,30,28
2006.0,2006-10-22,6.0,7.0,27.176,SEA,MIN,L 13-31,False,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,13,31
2006.0,2006-10-29,7.0,8.0,27.183,SEA,KAN,L 28-35,False,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,True,Josh Brown,False,28,35
2006.0,2006-11-06,8.0,9.0,27.191,SEA,OAK,W 16-0,False,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,16,0
2006.0,2006-11-12,9.0,10.0,27.197,SEA,STL,W 24-22,False,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,24,22
2006.0,2006-11-19,10.0,11.0,27.204,SEA,SFO,L 14-20,False,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,True,Josh Brown,False,14,20
2006.0,2006-11-27,11.0,12.0,27.212,SEA,GNB,W 34-24,False,0,0,,0,0,0,,,,,,2,2,100.0,4,4,100.0,0,14,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,34,24
2006.0,2006-12-03,12.0,13.0,27.218,SEA,DEN,W 23-20,False,0,0,,0,0,0,,,,,,2,2,100.0,3,5,60.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,1,21,21.00,0,,,,,,,True,Josh Brown,True,23,20
2006.0,2006-12-10,13.0,14.0,27.225,SEA,ARI,L 21-27,False,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,True,Josh Brown,False,21,27
2006.0,2006-12-14,14.0,15.0,27.229,SEA,SFO,L 14-24,False,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,False,Josh Brown,False,14,24
2006.0,2006-12-24,15.0,16.0,27.239,SEA,SDG,L 17-20,False,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,17,20
2006.0,2006-12-31,16.0,17.0,27.246,SEA,TAM,W 23-7,False,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,0,0,0,0,1,28,28.00,0,,,,,,,True,Josh Brown,True,23,7
2007.0,2007-09-09,1.0,1.0,28.133,SEA,TAM,W 20-6,False,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,20,6
2007.0,2007-09-16,2.0,2.0,28.14,SEA,ARI,L 20-23,False,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,20,23
2007.0,2007-09-23,3.0,3.0,28.147,SEA,CIN,W 24-21,False,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,24,21
2007.0,2007-09-30,4.0,4.0,28.154,SEA,SFO,W 23-3,False,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,23,3
2007.0,2007-10-07,5.0,5.0,28.161,SEA,PIT,L 0-21,False,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,0,0,0,0,0,,,,,,,,,True,Josh Brown,False,0,21
2007.0,2007-10-14,6.0,6.0,28.168,SEA,NOR,L 17-28,False,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,17,28
2007.0,2007-10-21,7.0,7.0,28.175,SEA,STL,W 33-6,False,0,0,,0,0,0,,,,,,3,3,100.0,4,4,100.0,0,15,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,33,6
2007.0,2007-11-04,8.0,9.0,28.189,SEA,CLE,L 30-33,False,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,30,33
2007.0,2007-11-12,9.0,10.0,28.197,SEA,SFO,W 24-0,False,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,24,0
2007.0,2007-11-18,10.0,11.0,28.203,SEA,CHI,W 30-23,False,0,0,,0,0,0,,,,,,3,3,100.0,3,4,75.0,0,12,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,30,23
2007.0,2007-11-25,11.0,12.0,28.21,SEA,STL,W 24-19,False,0,0,,0,0,0,,,,,,3,3,100.0,1,3,33.3,0,6,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,24,19
2007.0,2007-12-02,12.0,13.0,28.217,SEA,PHI,W 28-24,False,0,0,,0,0,0,,,,,,4,4,100.0,,1,0.0,0,4,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,28,24
2007.0,2007-12-09,13.0,14.0,28.224,SEA,ARI,W 42-21,False,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,42,21
2007.0,2007-12-16,14.0,15.0,28.231,SEA,CAR,L 10-13,False,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,10,13
2007.0,2007-12-23,15.0,16.0,28.238,SEA,BAL,W 27-6,False,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,True,27,6
2007.0,2007-12-30,16.0,17.0,28.245,SEA,ATL,L 41-44,False,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,41,44
2008.0,2008-09-07,1.0,1.0,29.131,STL,PHI,L 3-38,False,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,3,38
2008.0,2008-09-14,2.0,2.0,29.138,STL,NYG,L 13-41,False,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,13,41
2008.0,2008-09-21,3.0,3.0,29.145,STL,SEA,L 13-37,False,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,13,37
2008.0,2008-09-28,4.0,4.0,29.152,STL,BUF,L 14-31,False,0,0,,0,0,0,,,,,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,14,31
2008.0,2008-10-12,5.0,6.0,29.166,STL,WAS,W 19-17,False,0,0,,0,0,0,,,,,,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,19,17
2008.0,2008-10-19,6.0,7.0,29.173,STL,DAL,W 34-14,False,0,0,,0,0,0,,,,,,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,,,0,0,0,0,0,0,1,20,20.00,0,,,,,,,False,Josh Brown,True,34,14
2008.0,2008-10-26,7.0,8.0,29.18,STL,NWE,L 16-23,False,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,16,23
2008.0,2008-11-02,8.0,9.0,29.187,STL,ARI,L 13-34,False,0,0,,0,0,0,,,,,,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,13,34
2008.0,2008-11-09,9.0,10.0,29.194,STL,NYJ,L 3-47,False,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,3,47
2008.0,2008-11-16,10.0,11.0,29.201,STL,SFO,L 16-35,False,0,0,,0,0,0,,,,,,1,1,100.0,3,4,75.0,0,10,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,16,35
2008.0,2008-11-23,11.0,12.0,29.208,STL,CHI,L 3-27,False,0,0,,0,0,0,,,,,,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,3,27
2008.0,2008-11-30,12.0,13.0,29.215,STL,MIA,L 12-16,False,0,0,,0,0,0,,,,,,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,12,16
2008.0,2008-12-07,13.0,14.0,29.222,STL,ARI,L 10-34,False,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,10,34
2008.0,2008-12-14,14.0,15.0,29.229,STL,SEA,L 20-23,False,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,20,23
2008.0,2008-12-21,15.0,16.0,29.236,STL,SFO,L 16-17,False,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,16,17
2008.0,2008-12-28,16.0,17.0,29.243,STL,ATL,L 27-31,False,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,27,31
2009.0,2009-09-13,1.0,1.0,30.137,STL,SEA,L 0-28,False,0,0,,0,0,0,,0,,,,,,,,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,0,28
2009.0,2009-09-20,2.0,2.0,30.144,STL,WAS,L 7-9,False,0,0,,0,0,0,,0,,,,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,7,9
2009.0,2009-09-27,3.0,3.0,30.151,STL,GNB,L 17-36,False,0,0,,0,0,0,,0,,,,2,2,100.0,1,2,50.0,0,5,0.0,1,0,1,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,17,36
2009.0,2009-10-04,4.0,4.0,30.158,STL,SFO,L 0-35,False,0,0,,0,0,0,,0,,,,,,,,1,0.0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,0,35
2009.0,2009-10-11,5.0,5.0,30.165,STL,MIN,L 10-38,False,0,0,,0,0,0,,0,,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,10,38
2009.0,2009-10-18,6.0,6.0,30.172,STL,JAX,L 20-23,False,0,0,,0,0,0,,0,,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,False,20,23
2009.0,2009-10-25,7.0,7.0,30.179,STL,IND,L 6-42,False,0,0,,0,0,0,,0,,,,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,6,42
2009.0,2009-11-01,8.0,8.0,30.186,STL,DET,W 17-10,False,1,1,100.00,36,1,0,158.3,0,0,36.00,56.00,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,True,Josh Brown,True,17,10
2009.0,2009-11-15,9.0,10.0,30.2,STL,NOR,L 23-28,False,0,0,,0,0,0,,0,,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,,,,,False,Josh Brown,False,23,28
