Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-10-18,5,6,23.110,TEN,,HOU,W 42-36,True,7,5,58,11.60,2,71.4%,8.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,63,84%,0,0%,0,0%,False,A.J. Brown
2020,2020-10-25,6,7,23.117,TEN,,PIT,L 24-27,True,8,6,153,25.50,1,75.0%,19.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,93%,0,0%,0,0%,False,A.J. Brown
2020,2020-11-01,7,8,23.124,TEN,@,CIN,L 20-31,True,7,4,24,6.00,1,57.1%,3.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,True,A.J. Brown
2020,2020-11-08,8,9,23.131,TEN,,CHI,W 24-17,True,9,4,101,25.25,1,44.4%,11.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,82%,0,0%,2,6%,False,A.J. Brown
2020,2020-11-12,9,10,23.135,TEN,,IND,L 17-34,False,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,75%,0,0%,0,0%,False,A.J. Brown
2020,2020-11-22,10,11,23.145,TEN,@,BAL,W 30-24,True,7,4,62,15.50,1,57.1%,8.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,True,A.J. Brown
2020,2020-11-29,11,12,23.152,TEN,@,IND,W 45-26,True,6,4,98,24.50,1,66.7%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,1,42,42.00,1,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,58,81%,0,0%,1,3%,True,A.J. Brown
2020,2020-12-06,12,13,23.159,TEN,,CLE,L 35-41,True,7,4,87,21.75,0,57.1%,12.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,63,86%,0,0%,0,0%,False,A.J. Brown
2020,2020-12-13,13,14,23.166,TEN,@,JAX,W 31-10,True,9,7,112,16.00,1,77.8%,12.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,56%,0,0%,0,0%,True,A.J. Brown
2020,2020-12-20,14,15,23.173,TEN,,DET,W 46-25,True,6,5,44,8.80,1,83.3%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,84%,0,0%,3,12%,False,A.J. Brown
